pollutant,country,sampling_point,station_name,municipality,latitude,longitude,station_area,annual_mean,n_observations,unit,agg_type,year
PM2.5,AT,SPO.04.S184.63740.6001.1,Linz Stadtpark; Noßbergerstraße,4020 Linz,48.30612,14.2975,urban,14.8142,8319,ug.m-3,hour,2013
PM2.5,AT,SPO.04.S184.63740.6001.1,Linz Stadtpark; Noßbergerstraße,4020 Linz,48.30612,14.2975,urban,14.0762,8716,ug.m-3,hour,2014
PM2.5,AT,SPO.04.S184.63740.6001.1,Linz Stadtpark; Noßbergerstraße,4020 Linz,48.30612,14.2975,urban,12.7362,8719,ug.m-3,hour,2015
PM2.5,AT,SPO.04.S184.63740.6001.1,Linz Stadtpark; Noßbergerstraße,4020 Linz,48.30612,14.2975,urban,72.1383,1,ug.m-3,hour,2016
PM2.5,AT,SPO.04.S184.63740.6001.1,Linz Stadtpark; Noßbergerstraße,4020 Linz,48.30612,14.2975,urban,14.3847,8645,ug.m-3,hour,2017
PM2.5,AT,SPO.04.S184.63740.6001.1,Linz Stadtpark; Noßbergerstraße,4020 Linz,48.30612,14.2975,urban,14.7534,8714,ug.m-3,hour,2018
PM2.5,AT,SPO.04.S184.63740.6001.1,Linz Stadtpark; Noßbergerstraße,4020 Linz,48.30612,14.2975,urban,12.3746,8679,ug.m-3,hour,2019
PM2.5,AT,SPO.04.S184.63740.6001.1,Linz Stadtpark; Noßbergerstraße,4020 Linz,48.30612,14.2975,urban,11.4318,8703,ug.m-3,hour,2020
PM2.5,AT,SPO.04.S184.63740.6001.1,Linz Stadtpark; Noßbergerstraße,4020 Linz,48.30612,14.2975,urban,12.1338,8737,ug.m-3,hour,2021
PM2.5,AT,SPO.04.S184.63740.6001.1,Linz Stadtpark; Noßbergerstraße,4020 Linz,48.30612,14.2975,urban,11.0025,8671,ug.m-3,hour,2022
PM2.5,AT,SPO.04.S184.63740.6001.1,Linz Stadtpark; Noßbergerstraße,4020 Linz,48.30612,14.2975,urban,9.9061,8735,ug.m-3,hour,2023
