DiseaseName,DiseaseCode,Country,CountryCode,Gender,AgeGroup,Incidence,MortalityRate,Year
Malignant neoplasm of lung,C0242379,Austria,AT,Female,0-14,0.0,0.0,2024
Malignant neoplasm of lung,C0242379,Austria,AT,Female,15-29,0.0,0.0,2024
Malignant neoplasm of lung,C0242379,Austria,AT,Female,30-44,1.8,0.0,2024
Malignant neoplasm of lung,C0242379,Austria,AT,Female,45-59,44.8,20.7,2024
Malignant neoplasm of lung,C0242379,Austria,AT,Female,60-74,139.6,101.9,2024
Malignant neoplasm of lung,C0242379,Austria,AT,Female,75-85+,129.8,146.3,2024
Malignant neoplasm of lung,C0242379,Austria,AT,Male,0-14,0.0,0.0,2024
Malignant neoplasm of lung,C0242379,Austria,AT,Male,15-29,0.0,0.0,2024
Malignant neoplasm of lung,C0242379,Austria,AT,Male,30-44,1.0,0.1,2024
Malignant neoplasm of lung,C0242379,Austria,AT,Male,45-59,52.1,29.7,2024
Malignant neoplasm of lung,C0242379,Austria,AT,Male,60-74,190.0,154.7,2024
Malignant neoplasm of lung,C0242379,Austria,AT,Male,75-85+,230.1,262.3,2024
Malignant neoplasm of lung,C0242379,Belgium,BE,Female,0-14,0.0,0.0,2024
Malignant neoplasm of lung,C0242379,Belgium,BE,Female,15-29,0.0,0.0,2024
Malignant neoplasm of lung,C0242379,Belgium,BE,Female,30-44,1.8,0.1,2024
Malignant neoplasm of lung,C0242379,Belgium,BE,Female,45-59,61.1,24.0,2024
Malignant neoplasm of lung,C0242379,Belgium,BE,Female,60-74,175.3,96.1,2024
Malignant neoplasm of lung,C0242379,Belgium,BE,Female,75-85+,162.7,138.4,2024
Malignant neoplasm of lung,C0242379,Belgium,BE,Male,0-14,0.0,0.0,2024
Malignant neoplasm of lung,C0242379,Belgium,BE,Male,15-29,0.0,0.0,2024
Malignant neoplasm of lung,C0242379,Belgium,BE,Male,30-44,1.4,0.4,2024
Malignant neoplasm of lung,C0242379,Belgium,BE,Male,45-59,62.8,31.5,2024
Malignant neoplasm of lung,C0242379,Belgium,BE,Male,60-74,275.2,175.0,2024
Malignant neoplasm of lung,C0242379,Belgium,BE,Male,75-85+,399.5,376.5,2024
Malignant neoplasm of lung,C0242379,Bulgaria,BG,Female,0-14,0.0,0.0,2024
Malignant neoplasm of lung,C0242379,Bulgaria,BG,Female,15-29,0.0,0.0,2024
Malignant neoplasm of lung,C0242379,Bulgaria,BG,Female,30-44,3.6,2.7,2024
Malignant neoplasm of lung,C0242379,Bulgaria,BG,Female,45-59,30.4,25.1,2024
Malignant neoplasm of lung,C0242379,Bulgaria,BG,Female,60-74,66.9,57.0,2024
Malignant neoplasm of lung,C0242379,Bulgaria,BG,Female,75-85+,58.7,56.3,2024
Malignant neoplasm of lung,C0242379,Bulgaria,BG,Male,0-14,0.0,0.2,2024
Malignant neoplasm of lung,C0242379,Bulgaria,BG,Male,15-29,0.2,0.2,2024
Malignant neoplasm of lung,C0242379,Bulgaria,BG,Male,30-44,4.9,4.3,2024
Malignant neoplasm of lung,C0242379,Bulgaria,BG,Male,45-59,98.8,62.2,2024
Malignant neoplasm of lung,C0242379,Bulgaria,BG,Male,60-74,278.4,242.2,2024
Malignant neoplasm of lung,C0242379,Bulgaria,BG,Male,75-85+,192.8,259.2,2024
Malignant neoplasm of lung,C0242379,Croatia,HR,Female,0-14,0.0,0.0,2024
Malignant neoplasm of lung,C0242379,Croatia,HR,Female,15-29,0.0,0.0,2024
Malignant neoplasm of lung,C0242379,Croatia,HR,Female,30-44,1.3,0.0,2024
Malignant neoplasm of lung,C0242379,Croatia,HR,Female,45-59,54.4,36.8,2024
Malignant neoplasm of lung,C0242379,Croatia,HR,Female,60-74,152.2,114.3,2024
Malignant neoplasm of lung,C0242379,Croatia,HR,Female,75-85+,159.6,136.2,2024
Malignant neoplasm of lung,C0242379,Croatia,HR,Male,0-14,0.0,0.0,2024
Malignant neoplasm of lung,C0242379,Croatia,HR,Male,15-29,0.0,0.0,2024
Malignant neoplasm of lung,C0242379,Croatia,HR,Male,30-44,0.0,0.0,2024
Malignant neoplasm of lung,C0242379,Croatia,HR,Male,45-59,92.7,69.4,2024
Malignant neoplasm of lung,C0242379,Croatia,HR,Male,60-74,330.8,273.1,2024
Malignant neoplasm of lung,C0242379,Croatia,HR,Male,75-85+,433.6,419.8,2024
Malignant neoplasm of lung,C0242379,Cyprus,CY,Female,0-14,0.0,0.0,2024
Malignant neoplasm of lung,C0242379,Cyprus,CY,Female,15-29,0.9,0.0,2024
Malignant neoplasm of lung,C0242379,Cyprus,CY,Female,30-44,2.0,1.8,2024
Malignant neoplasm of lung,C0242379,Cyprus,CY,Female,45-59,25.9,16.0,2024
Malignant neoplasm of lung,C0242379,Cyprus,CY,Female,60-74,71.8,55.2,2024
Malignant neoplasm of lung,C0242379,Cyprus,CY,Female,75-85+,92.8,97.9,2024
Malignant neoplasm of lung,C0242379,Cyprus,CY,Male,0-14,0.0,0.0,2024
Malignant neoplasm of lung,C0242379,Cyprus,CY,Male,15-29,1.8,2.3,2024
Malignant neoplasm of lung,C0242379,Cyprus,CY,Male,30-44,1.1,0.0,2024
Malignant neoplasm of lung,C0242379,Cyprus,CY,Male,45-59,55.3,46.2,2024
Malignant neoplasm of lung,C0242379,Cyprus,CY,Male,60-74,272.3,224.9,2024
Malignant neoplasm of lung,C0242379,Cyprus,CY,Male,75-85+,366.7,354.4,2024
Malignant neoplasm of lung,C0242379,Czechia,CZ,Female,0-14,0.1,0.0,2024
Malignant neoplasm of lung,C0242379,Czechia,CZ,Female,15-29,0.6,0.1,2024
Malignant neoplasm of lung,C0242379,Czechia,CZ,Female,30-44,1.4,0.8,2024
Malignant neoplasm of lung,C0242379,Czechia,CZ,Female,45-59,29.3,13.4,2024
Malignant neoplasm of lung,C0242379,Czechia,CZ,Female,60-74,125.8,88.6,2024
Malignant neoplasm of lung,C0242379,Czechia,CZ,Female,75-85+,140.7,141.1,2024
Malignant neoplasm of lung,C0242379,Czechia,CZ,Male,0-14,0.0,0.0,2024
Malignant neoplasm of lung,C0242379,Czechia,CZ,Male,15-29,1.6,0.4,2024
Malignant neoplasm of lung,C0242379,Czechia,CZ,Male,30-44,0.3,1.8,2024
Malignant neoplasm of lung,C0242379,Czechia,CZ,Male,45-59,27.6,22.8,2024
Malignant neoplasm of lung,C0242379,Czechia,CZ,Male,60-74,247.7,190.1,2024
Malignant neoplasm of lung,C0242379,Czechia,CZ,Male,75-85+,316.9,335.1,2024
Malignant neoplasm of lung,C0242379,Denmark,DK,Female,0-14,0.0,0.0,2024
Malignant neoplasm of lung,C0242379,Denmark,DK,Female,15-29,2.2,0.0,2024
Malignant neoplasm of lung,C0242379,Denmark,DK,Female,30-44,0.8,1.6,2024
Malignant neoplasm of lung,C0242379,Denmark,DK,Female,45-59,50.3,22.5,2024
Malignant neoplasm of lung,C0242379,Denmark,DK,Female,60-74,264.5,158.4,2024
Malignant neoplasm of lung,C0242379,Denmark,DK,Female,75-85+,316.9,298.6,2024
Malignant neoplasm of lung,C0242379,Denmark,DK,Male,0-14,0.0,0.0,2024
Malignant neoplasm of lung,C0242379,Denmark,DK,Male,15-29,0.2,0.0,2024
Malignant neoplasm of lung,C0242379,Denmark,DK,Male,30-44,3.7,1.4,2024
Malignant neoplasm of lung,C0242379,Denmark,DK,Male,45-59,32.3,20.5,2024
Malignant neoplasm of lung,C0242379,Denmark,DK,Male,60-74,237.4,156.6,2024
Malignant neoplasm of lung,C0242379,Denmark,DK,Male,75-85+,403.3,392.3,2024
Malignant neoplasm of lung,C0242379,Estonia,EE,Female,0-14,0.0,0.0,2024
Malignant neoplasm of lung,C0242379,Estonia,EE,Female,15-29,0.0,0.0,2024
Malignant neoplasm of lung,C0242379,Estonia,EE,Female,30-44,3.0,0.7,2024
Malignant neoplasm of lung,C0242379,Estonia,EE,Female,45-59,20.6,9.9,2024
Malignant neoplasm of lung,C0242379,Estonia,EE,Female,60-74,81.4,51.2,2024
Malignant neoplasm of lung,C0242379,Estonia,EE,Female,75-85+,116.2,94.7,2024
Malignant neoplasm of lung,C0242379,Estonia,EE,Male,0-14,0.0,0.0,2024
Malignant neoplasm of lung,C0242379,Estonia,EE,Male,15-29,3.0,0.0,2024
Malignant neoplasm of lung,C0242379,Estonia,EE,Male,30-44,0.0,2.6,2024
Malignant neoplasm of lung,C0242379,Estonia,EE,Male,45-59,53.8,43.0,2024
Malignant neoplasm of lung,C0242379,Estonia,EE,Male,60-74,301.5,244.7,2024
Malignant neoplasm of lung,C0242379,Estonia,EE,Male,75-85+,492.2,421.1,2024
Malignant neoplasm of lung,C0242379,Finland,FI,Female,0-14,0.0,0.0,2024
Malignant neoplasm of lung,C0242379,Finland,FI,Female,15-29,0.0,0.0,2024
Malignant neoplasm of lung,C0242379,Finland,FI,Female,30-44,0.8,0.0,2024
Malignant neoplasm of lung,C0242379,Finland,FI,Female,45-59,19.2,9.5,2024
Malignant neoplasm of lung,C0242379,Finland,FI,Female,60-74,95.4,66.6,2024
Malignant neoplasm of lung,C0242379,Finland,FI,Female,75-85+,155.7,128.0,2024
Malignant neoplasm of lung,C0242379,Finland,FI,Male,0-14,0.0,0.0,2024
Malignant neoplasm of lung,C0242379,Finland,FI,Male,15-29,0.0,0.0,2024
Malignant neoplasm of lung,C0242379,Finland,FI,Male,30-44,0.0,0.0,2024
Malignant neoplasm of lung,C0242379,Finland,FI,Male,45-59,24.6,20.1,2024
Malignant neoplasm of lung,C0242379,Finland,FI,Male,60-74,155.0,126.1,2024
Malignant neoplasm of lung,C0242379,Finland,FI,Male,75-85+,308.5,270.6,2024
Malignant neoplasm of lung,C0242379,France,FR,Female,0-14,0.2,0.0,2024
Malignant neoplasm of lung,C0242379,France,FR,Female,15-29,1.2,0.1,2024
Malignant neoplasm of lung,C0242379,France,FR,Female,30-44,3.1,1.1,2024
Malignant neoplasm of lung,C0242379,France,FR,Female,45-59,44.3,23.4,2024
Malignant neoplasm of lung,C0242379,France,FR,Female,60-74,126.9,86.4,2024
Malignant neoplasm of lung,C0242379,France,FR,Female,75-85+,135.7,116.0,2024
Malignant neoplasm of lung,C0242379,France,FR,Male,0-14,0.2,0.0,2024
Malignant neoplasm of lung,C0242379,France,FR,Male,15-29,2.3,0.1,2024
Malignant neoplasm of lung,C0242379,France,FR,Male,30-44,3.3,2.4,2024
Malignant neoplasm of lung,C0242379,France,FR,Male,45-59,76.3,46.4,2024
Malignant neoplasm of lung,C0242379,France,FR,Male,60-74,267.8,202.4,2024
Malignant neoplasm of lung,C0242379,France,FR,Male,75-85+,356.2,322.2,2024
Malignant neoplasm of lung,C0242379,Germany,DE,Female,0-14,0.0,0.0,2024
Malignant neoplasm of lung,C0242379,Germany,DE,Female,15-29,1.4,0.0,2024
Malignant neoplasm of lung,C0242379,Germany,DE,Female,30-44,2.2,1.1,2024
Malignant neoplasm of lung,C0242379,Germany,DE,Female,45-59,49.2,27.0,2024
Malignant neoplasm of lung,C0242379,Germany,DE,Female,60-74,154.5,109.5,2024
Malignant neoplasm of lung,C0242379,Germany,DE,Female,75-85+,141.2,131.4,2024
Malignant neoplasm of lung,C0242379,Germany,DE,Male,0-14,0.0,0.0,2024
Malignant neoplasm of lung,C0242379,Germany,DE,Male,15-29,0.3,0.1,2024
Malignant neoplasm of lung,C0242379,Germany,DE,Male,30-44,2.8,1.8,2024
Malignant neoplasm of lung,C0242379,Germany,DE,Male,45-59,46.4,27.8,2024
Malignant neoplasm of lung,C0242379,Germany,DE,Male,60-74,264.0,188.2,2024
Malignant neoplasm of lung,C0242379,Germany,DE,Male,75-85+,314.8,287.0,2024
Malignant neoplasm of lung,C0242379,Greece,GR,Female,0-14,0.0,0.0,2024
Malignant neoplasm of lung,C0242379,Greece,GR,Female,15-29,2.2,0.1,2024
Malignant neoplasm of lung,C0242379,Greece,GR,Female,30-44,2.4,1.0,2024
Malignant neoplasm of lung,C0242379,Greece,GR,Female,45-59,30.0,18.7,2024
Malignant neoplasm of lung,C0242379,Greece,GR,Female,60-74,88.5,65.6,2024
Malignant neoplasm of lung,C0242379,Greece,GR,Female,75-85+,105.7,95.1,2024
Malignant neoplasm of lung,C0242379,Greece,GR,Male,0-14,0.0,0.0,2024
Malignant neoplasm of lung,C0242379,Greece,GR,Male,15-29,4.5,3.0,2024
Malignant neoplasm of lung,C0242379,Greece,GR,Male,30-44,0.0,0.0,2024
Malignant neoplasm of lung,C0242379,Greece,GR,Male,45-59,79.9,51.9,2024
Malignant neoplasm of lung,C0242379,Greece,GR,Male,60-74,332.7,283.9,2024
Malignant neoplasm of lung,C0242379,Greece,GR,Male,75-85+,463.2,450.7,2024
Malignant neoplasm of lung,C0242379,Hungary,HU,Female,0-14,0.0,0.0,2024
Malignant neoplasm of lung,C0242379,Hungary,HU,Female,15-29,0.2,0.1,2024
Malignant neoplasm of lung,C0242379,Hungary,HU,Female,30-44,2.5,1.6,2024
Malignant neoplasm of lung,C0242379,Hungary,HU,Female,45-59,60.2,41.5,2024
Malignant neoplasm of lung,C0242379,Hungary,HU,Female,60-74,219.3,184.9,2024
Malignant neoplasm of lung,C0242379,Hungary,HU,Female,75-85+,199.5,188.8,2024
Malignant neoplasm of lung,C0242379,Hungary,HU,Male,0-14,0.0,0.0,2024
Malignant neoplasm of lung,C0242379,Hungary,HU,Male,15-29,13.2,0.1,2024
Malignant neoplasm of lung,C0242379,Hungary,HU,Male,30-44,6.3,3.8,2024
Malignant neoplasm of lung,C0242379,Hungary,HU,Male,45-59,93.5,70.8,2024
Malignant neoplasm of lung,C0242379,Hungary,HU,Male,60-74,409.6,353.4,2024
Malignant neoplasm of lung,C0242379,Hungary,HU,Male,75-85+,436.5,423.5,2024
Malignant neoplasm of lung,C0242379,Ireland,IE,Female,0-14,0.0,0.0,2024
Malignant neoplasm of lung,C0242379,Ireland,IE,Female,15-29,0.0,0.0,2024
Malignant neoplasm of lung,C0242379,Ireland,IE,Female,30-44,1.0,0.0,2024
Malignant neoplasm of lung,C0242379,Ireland,IE,Female,45-59,39.1,15.4,2024
Malignant neoplasm of lung,C0242379,Ireland,IE,Female,60-74,172.5,100.1,2024
Malignant neoplasm of lung,C0242379,Ireland,IE,Female,75-85+,264.6,214.0,2024
Malignant neoplasm of lung,C0242379,Ireland,IE,Male,0-14,0.0,0.0,2024
Malignant neoplasm of lung,C0242379,Ireland,IE,Male,15-29,0.0,0.0,2024
Malignant neoplasm of lung,C0242379,Ireland,IE,Male,30-44,1.2,0.5,2024
