ChemicalID,CountryName,CountryCode,CityName,Value,Units,Population,Year
As_PM10,Austria,AT,Brixlegg,1.3436,ng.m-3,3124,2013
As_PM10,Austria,AT,Graz,0.5178,ng.m-3,302749,2013
As_PM10,Austria,AT,Illmitz,0.986,ng.m-3,2357,2013
As_PM10,Austria,AT,Leoben,0.9665,ng.m-3,24605,2013
As_PM10,Austria,AT,Linz,0.5946,ng.m-3,211944,2013
As_PM10,Austria,AT,Steyregg,0.5929,ng.m-3,5039,2013
As_PM10,Austria,AT,Wels,0.3438,ng.m-3,65287,2013
As_PM10,Belgium,BE,Antwerpen,18.3723,ng.m-3,544759,2013
As_PM10,Belgium,BE,Beerse,2.7376,ng.m-3,18601,2013
As_PM10,Belgium,BE,Genk,0.2424,ng.m-3,67877,2013
As_PM10,Belgium,BE,Gent,-0.1217,ng.m-3,269597,2013
As_PM10,Belgium,BE,Tournai,0.4922,ng.m-3,68554,2013
As_PM10,Belgium,BE,Zelzate,-0.0841,ng.m-3,13704,2013
As_PM10,Belgium,BE,Zutendaal,0.1051,ng.m-3,7384,2013
As_PM10,Croatia,HR,Sisak,0.8225,ng.m-3,40121,2013
As_PM10,Cyprus,CY,Agia Marina (Xyliatou),0.4229,ng.m-3,102,2013
As_PM10,Cyprus,CY,Lefkosia,0.1508,ng.m-3,56848,2013
As_PM10,Czechia,CZ,Brno,1.6688,ng.m-3,400566,2013
As_PM10,Czechia,CZ,Ceske Budejovice,0.6653,ng.m-3,97377,2013
As_PM10,Czechia,CZ,Cesky Tesin,1.567,ng.m-3,23282,2013
As_PM10,Czechia,CZ,Hradec Kralove,1.2816,ng.m-3,93906,2013
As_PM10,Czechia,CZ,Jihlava,0.6588,ng.m-3,53986,2013
As_PM10,Czechia,CZ,Kolin,1.789,ng.m-3,33229,2013
As_PM10,Czechia,CZ,Korenov,0.6716,ng.m-3,990,2013
As_PM10,Czechia,CZ,Kresin,0.6456,ng.m-3,322,2013
As_PM10,Czechia,CZ,Kucharovice,0.5184,ng.m-3,898,2013
As_PM10,Czechia,CZ,Liberec,0.6511,ng.m-3,107982,2013
As_PM10,Czechia,CZ,Marianske Radcice,2.224,ng.m-3,460,2013
As_PM10,Czechia,CZ,Olomouc,1.5924,ng.m-3,102293,2013
As_PM10,Czechia,CZ,Ostrava,2.6146,ng.m-3,284765,2013
As_PM10,Czechia,CZ,Plzen,2.5377,ng.m-3,185599,2013
As_PM10,Czechia,CZ,Praha,1.5795,ng.m-3,1384732,2013
As_PM10,Czechia,CZ,Sokolov,1.6803,ng.m-3,22155,2013
As_PM10,Czechia,CZ,Stare Hamry,0.8117,ng.m-3,554,2013
As_PM10,Czechia,CZ,Usti Nad Labem,0.5296,ng.m-3,91342,2013
As_PM10,Czechia,CZ,Zlin,0.5513,ng.m-3,74255,2013
As_PM10,Estonia,EE,Kohtla-Jarve,0.2551,ng.m-3,33434,2013
As_PM10,Estonia,EE,Narva,0.2876,ng.m-3,53360,2013
As_PM10,Estonia,EE,Noo,0.3184,ng.m-3,4387,2013
As_PM10,Estonia,EE,Tallinn,0.2453,ng.m-3,457572,2013
As_PM10,Estonia,EE,Vihula,0.1644,ng.m-3,,2013
As_PM10,Finland,FI,Ahtari,0.2272,ng.m-3,5316,2013
As_PM10,Finland,FI,Harjavalta,10.68,ng.m-3,6703,2013
As_PM10,Finland,FI,Helsinki,0.7508,ng.m-3,674500,2013
As_PM10,Finland,FI,Kittila,0.1101,ng.m-3,6822,2013
As_PM10,Finland,FI,Virolahti,0.3664,ng.m-3,2927,2013
As_PM10,France,FR,Aix-En-Provence,0.3096,ng.m-3,147478,2013
As_PM10,France,FR,Albertville,0.8627,ng.m-3,19812,2013
As_PM10,France,FR,Arles,0.4381,ng.m-3,50415,2013
As_PM10,France,FR,Avignon,0.2268,ng.m-3,90330,2013
As_PM10,France,FR,Bassens,0.5242,ng.m-3,7842,2013
As_PM10,France,FR,Berre-L'Etang,0.4088,ng.m-3,13912,2013
As_PM10,France,FR,Bessieres,0.3477,ng.m-3,4197,2013
As_PM10,France,FR,Bourg-Fidele,1.6932,ng.m-3,837,2013
As_PM10,France,FR,Bourg-Les-Valence,0.5229,ng.m-3,19581,2013
As_PM10,France,FR,Cannes,0.2192,ng.m-3,73255,2013
As_PM10,France,FR,Carling,0.376,ng.m-3,3373,2013
As_PM10,France,FR,Champforgeuil,0.4733,ng.m-3,2595,2013
As_PM10,France,FR,Dieulefit,0.2263,ng.m-3,3230,2013
As_PM10,France,FR,Fort-De-France,0.3912,ng.m-3,74921,2013
As_PM10,France,FR,Fos-Sur-Mer,0.5663,ng.m-3,15469,2013
As_PM10,France,FR,Gonfreville-L'Orcher,0.2974,ng.m-3,8961,2013
As_PM10,France,FR,Grande-Synthe,1.3621,ng.m-3,20331,2013
As_PM10,France,FR,Grenoble,0.5769,ng.m-3,157477,2013
As_PM10,France,FR,Gueret,0.2962,ng.m-3,12840,2013
As_PM10,France,FR,Guipry-Messac,0.2325,ng.m-3,7202,2013
As_PM10,France,FR,Jonville-En-Woevre,0.358,ng.m-3,145,2013
As_PM10,France,FR,L'Hopital,0.3083,ng.m-3,5182,2013
As_PM10,France,FR,Le Havre,0.3279,ng.m-3,166058,2013
As_PM10,France,FR,Le Palais-Sur-Vienne,0.6527,ng.m-3,5947,2013
As_PM10,France,FR,Les Ancizes-Comps,0.3583,ng.m-3,1699,2013
As_PM10,France,FR,Lorient,0.5256,ng.m-3,57846,2013
As_PM10,France,FR,Lunel-Viel,0.7,ng.m-3,4488,2013
As_PM10,France,FR,Lyon,0.5269,ng.m-3,522250,2013
As_PM10,France,FR,Marcq-En-Barul,0.6354,ng.m-3,39356,2013
As_PM10,France,FR,Marseille,0.3304,ng.m-3,873076,2013
As_PM10,France,FR,Mayenne,0.18,ng.m-3,12900,2013
As_PM10,France,FR,Nantes,0.4014,ng.m-3,323204,2013
As_PM10,France,FR,Neuves-Maisons,0.6391,ng.m-3,6619,2013
As_PM10,France,FR,Nogent-Sur-Oise,0.4589,ng.m-3,21382,2013
As_PM10,France,FR,Paris,0.363,ng.m-3,2133111,2013
As_PM10,France,FR,Peyrusse-Vieille,0.155,ng.m-3,65,2013
As_PM10,France,FR,Poitiers,0.687,ng.m-3,90240,2013
As_PM10,France,FR,Port-Saint-Louis-Du-Rhone,0.4665,ng.m-3,8446,2013
As_PM10,France,FR,Reims,0.675,ng.m-3,179380,2013
As_PM10,France,FR,Rennes,0.29,ng.m-3,225081,2013
As_PM10,France,FR,Rouen,0.2923,ng.m-3,114083,2013
As_PM10,France,FR,Saint-Esteve,0.2,ng.m-3,11550,2013
As_PM10,France,FR,Saint-Etienne,5.0719,ng.m-3,172718,2013
As_PM10,France,FR,Saint-Pierre-Des-Corps,0.45,ng.m-3,15909,2013
As_PM10,France,FR,Saran,0.2989,ng.m-3,16679,2013
As_PM10,France,FR,Toulon,0.3338,ng.m-3,180452,2013
As_PM10,France,FR,Toulouse,0.2798,ng.m-3,504078,2013
As_PM10,France,FR,Ugine,0.7723,ng.m-3,7148,2013
As_PM10,France,FR,Valenciennes,0.6231,ng.m-3,42991,2013
As_PM10,France,FR,Venissieux,0.7471,ng.m-3,66363,2013
As_PM10,France,FR,Vergeze,3.3,ng.m-3,5621,2013
As_PM10,France,FR,Viviez,0.937,ng.m-3,1216,2013
As_PM10,Germany,DE,Aachen,0.7691,ng.m-3,252769,2013
As_PM10,Germany,DE,Andechs,0.2725,ng.m-3,3865,2013
As_PM10,Germany,DE,Augsburg,0.4342,ng.m-3,303150,2013
As_PM10,Germany,DE,Bad Kreuznach,0.3799,ng.m-3,52989,2013
As_PM10,Germany,DE,Bad Lauterberg Im Harz,0.5223,ng.m-3,10258,2013
As_PM10,Germany,DE,Berlin,0.6242,ng.m-3,3782202,2013
As_PM10,Germany,DE,Bielefeld,0.523,ng.m-3,338410,2013
As_PM10,Germany,DE,Bochum,0.9413,ng.m-3,366385,2013
As_PM10,Germany,DE,Borken,0.6078,ng.m-3,43589,2013
As_PM10,Germany,DE,Borna,1.7023,ng.m-3,20013,2013
As_PM10,Germany,DE,Bosel,0.6026,ng.m-3,8965,2013
As_PM10,Germany,DE,Bottrop,1.1875,ng.m-3,118705,2013
As_PM10,Germany,DE,Braubach,2.0046,ng.m-3,2969,2013
As_PM10,Germany,DE,Buchholz (Westerwald),0.516,ng.m-3,4801,2013
As_PM10,Germany,DE,Chemnitz,1.596,ng.m-3,250681,2013
As_PM10,Germany,DE,Cottbus,1.1696,ng.m-3,100010,2013
As_PM10,Germany,DE,Darmstadt,0.4378,ng.m-3,164792,2013
As_PM10,Germany,DE,Dillingen/ Saar,0.6502,ng.m-3,20070,2013
As_PM10,Germany,DE,Dortmund,0.7959,ng.m-3,595471,2013
As_PM10,Germany,DE,Dresden,2.5918,ng.m-3,566222,2013
As_PM10,Germany,DE,Duisburg,1.0999,ng.m-3,503707,2013
As_PM10,Germany,DE,Dusseldorf,0.8049,ng.m-3,631217,2013
As_PM10,Germany,DE,Frankfurt Am Main,0.453,ng.m-3,775790,2013
As_PM10,Germany,DE,Freiberg,1.9227,ng.m-3,41045,2013
As_PM10,Germany,DE,Gelsenkirchen,0.8585,ng.m-3,265885,2013
As_PM10,Germany,DE,Glashutten,0.2125,ng.m-3,5394,2013
As_PM10,Germany,DE,Gorlitz,3.3032,ng.m-3,56694,2013
As_PM10,Germany,DE,Goslar,0.4865,ng.m-3,50253,2013
As_PM10,Germany,DE,Gottingen,0.6115,ng.m-3,120261,2013
As_PM10,Germany,DE,Gulzow-Pruzen,0.3175,ng.m-3,1611,2013
As_PM10,Germany,DE,Hamburg,2.266,ng.m-3,1910160,2013
As_PM10,Germany,DE,Hanau,0.5337,ng.m-3,103184,2013
As_PM10,Germany,DE,Hannover,0.6246,ng.m-3,548186,2013
As_PM10,Germany,DE,Kamp-Lintfort,0.715,ng.m-3,38731,2013
As_PM10,Germany,DE,Kassel,0.494,ng.m-3,204687,2013
As_PM10,Germany,DE,Koln,0.6232,ng.m-3,1087353,2013
As_PM10,Germany,DE,Krefeld,0.8596,ng.m-3,228550,2013
As_PM10,Germany,DE,Leipzig,1.6144,ng.m-3,619879,2013
As_PM10,Germany,DE,Linden,0.366,ng.m-3,1154,2013
As_PM10,Germany,DE,Lubeck,0.3339,ng.m-3,219044,2013
