ChemicalId,ChemicalName,CityId,CountryName,CityName,Value,Units,Population
C5890534,Particulate matter (PM2.5),CH_zrich_664a,Switzerland,Zürich (greater city),8.6,Microgramos por metro cúbico (µg/m³),677118
C5890534,Particulate matter (PM2.5),IT_aless_7e23,Italy,Alessandria,19.3,Microgramos por metro cúbico (µg/m³),92876
C5890534,Particulate matter (PM2.5),DE_ulm_e90c,Germany,Ulm,8.3,Microgramos por metro cúbico (µg/m³),126790
C5890534,Particulate matter (PM2.5),RO_clujn_1ffc,Romania,Cluj-Napoca,15.6,Microgramos por metro cúbico (µg/m³),324960
C5890534,Particulate matter (PM2.5),DE_jena_1aa9,Germany,Jena,8.5,Microgramos por metro cúbico (µg/m³),111343
C5890534,Particulate matter (PM2.5),IE_cork_5154,Ireland,Cork,5.2,Microgramos por metro cúbico (µg/m³),118713
C5890534,Particulate matter (PM2.5),DE_osnab_c30e,Germany,Osnabrück,8,Microgramos por metro cúbico (µg/m³),165251
C5890534,Particulate matter (PM2.5),FR_pau_0ea5,France,Pau,9,Microgramos por metro cúbico (µg/m³),110402
C5890534,Particulate matter (PM2.5),FI_oulu_6504,Finland,Oulu,4,Microgramos por metro cúbico (µg/m³),205489
C5890534,Particulate matter (PM2.5),FR_anger_0768,France,Angers,9.3,Microgramos por metro cúbico (µg/m³),180297
C5890534,Particulate matter (PM2.5),PL_torun_6e62,Poland,Torun,14.1,Microgramos por metro cúbico (µg/m³),202074
C5890534,Particulate matter (PM2.5),FR_lyon_10b5,France,Lyon,10.2,Microgramos por metro cúbico (µg/m³),1076752
C5890534,Particulate matter (PM2.5),ES_sanse_7e46,Spain,San Sebastián/Donostia,8.6,Microgramos por metro cúbico (µg/m³),188240
C5890534,Particulate matter (PM2.5),IT_asti_7a1b,Italy,Asti,18.7,Microgramos por metro cúbico (µg/m³),75051
C5890534,Particulate matter (PM2.5),NO_trond_9bd6,Norway,Trondheim,5.2,Microgramos por metro cúbico (µg/m³),179692
C5890534,Particulate matter (PM2.5),FI_helsi_101a,Finland,Helsinki / Helsingfors (greater city),4.9,Microgramos por metro cúbico (µg/m³),1154967
C5890534,Particulate matter (PM2.5),FR_paris_f0d0,France,Paris (greater city),10.5,Microgramos por metro cúbico (µg/m³),9845879
C5890534,Particulate matter (PM2.5),IT_pavia_f2f1,Italy,Pavia,19,Microgramos por metro cúbico (µg/m³),71882
C5890534,Particulate matter (PM2.5),RO_ploie_15ca,Romania,Ploiesti,15.8,Microgramos por metro cúbico (µg/m³),227445
C5890534,Particulate matter (PM2.5),IT_prato_c02c,Italy,Prato,15.8,Microgramos por metro cúbico (µg/m³),194223
C5890534,Particulate matter (PM2.5),BG_ruse_e6ce,Bulgaria,Ruse,16,Microgramos por metro cúbico (µg/m³),141231
C5890534,Particulate matter (PM2.5),CY_lemes_4b53,Cyprus,Lemesos,14,Microgramos por metro cúbico (µg/m³),189600
C5890534,Particulate matter (PM2.5),DE_lever_9b99,Germany,Leverkusen,7.6,Microgramos por metro cúbico (µg/m³),163729
C5890534,Particulate matter (PM2.5),DE_neuul_5ac3,Germany,Neu-Ulm,9.8,Microgramos por metro cúbico (µg/m³),58978
C5890534,Particulate matter (PM2.5),DE_speye_a989,Germany,Speyer,10.4,Microgramos por metro cúbico (µg/m³),50561
C5890534,Particulate matter (PM2.5),IT_venez_b0c3,Italy,Venezia,22.6,Microgramos por metro cúbico (µg/m³),258685
C5890534,Particulate matter (PM2.5),PL_opole_5b42,Poland,Opole,14.5,Microgramos por metro cúbico (µg/m³),128137
C5890534,Particulate matter (PM2.5),CZ_olomo_dc84,Czechia,Olomouc,14.1,Microgramos por metro cúbico (µg/m³),100663
C5890534,Particulate matter (PM2.5),IT_caser_8c0d,Italy,Caserta,10.9,Microgramos por metro cúbico (µg/m³),73984
C5890534,Particulate matter (PM2.5),BG_sofia_17da,Bulgaria,Sofia,10.3,Microgramos por metro cúbico (µg/m³),1242568
C5890534,Particulate matter (PM2.5),PL_bialy_8561,Poland,Bialystok,12,Microgramos por metro cúbico (µg/m³),297459
C5890534,Particulate matter (PM2.5),CH_basel_6aa3,Switzerland,Basel (greater city),8.8,Microgramos por metro cúbico (µg/m³),342698
C5890534,Particulate matter (PM2.5),ES_arrec_4735,Spain,Arrecife,11.3,Microgramos por metro cúbico (µg/m³),64645
C5890534,Particulate matter (PM2.5),DE_reutl_9b84,Germany,Reutlingen,7.7,Microgramos por metro cúbico (µg/m³),115865
C5890534,Particulate matter (PM2.5),FR_limog_c4a7,France,Limoges,7.7,Microgramos por metro cúbico (µg/m³),143147
C5890534,Particulate matter (PM2.5),AT_salzb_f264,Austria,Salzburg,8.1,Microgramos por metro cúbico (µg/m³),146631
C5890534,Particulate matter (PM2.5),IT_raven_94eb,Italy,Ravenna,16.1,Microgramos por metro cúbico (µg/m³),158247
C5890534,Particulate matter (PM2.5),PL_gdyni_0e17,Poland,Gdynia,13.3,Microgramos por metro cúbico (µg/m³),246309
C5890534,Particulate matter (PM2.5),ES_acoru_a738,Spain,A Coruña,15.5,Microgramos por metro cúbico (µg/m³),247604
C5890534,Particulate matter (PM2.5),GR_athin_66b5,Greece,Athina,14.2,Microgramos por metro cúbico (µg/m³),664046
C5890534,Particulate matter (PM2.5),FR_orlan_2e33,France,Orléans,9,Microgramos por metro cúbico (µg/m³),208564
C5890534,Particulate matter (PM2.5),NO_krist_f7c0,Norway,Kristiansand,7.2,Microgramos por metro cúbico (µg/m³),84476
C5890534,Particulate matter (PM2.5),IT_padov_1b58,Italy,Padova,22.7,Microgramos por metro cúbico (µg/m³),210077
C5890534,Particulate matter (PM2.5),PL_nowys_50ee,Poland,Nowy Sacz,24,Microgramos por metro cúbico (µg/m³),83896
C5890534,Particulate matter (PM2.5),IT_pisa_9428,Italy,Pisa,12.6,Microgramos por metro cúbico (µg/m³),90036
C5890534,Particulate matter (PM2.5),ES_madri_ed25,Spain,Madrid,8.9,Microgramos por metro cúbico (µg/m³),5098717
