DiseaseCui,DiseaseName,ChromosomalRearrengementName,ChromosomalRearrengementType
C0149782,Squamous cell carcinoma of lung,del(4)(p16p16),Deletions
C0149782,Squamous cell carcinoma of lung,del(2)(p23p21),Deletions
C0152013,Adenocarcinoma of lung (disorder),del(2)(p23p21),Deletions
C0149782,Squamous cell carcinoma of lung,der(15)(q14),Derivative chromosomes
C0152013,Adenocarcinoma of lung (disorder),der(2)(p23),Derivative chromosomes
C0152013,Adenocarcinoma of lung (disorder),der(6)(q22),Derivative chromosomes
C0152013,Adenocarcinoma of lung (disorder),der(10)(q11),Derivative chromosomes
C0149782,Squamous cell carcinoma of lung,inv(2)(p23p21),Inverstions
C0149782,Squamous cell carcinoma of lung,inv(10)(p11q11),Inverstions
C0152013,Adenocarcinoma of lung (disorder),inv(10)(p11q11),Inverstions
C0152013,Adenocarcinoma of lung (disorder),inv(10)(q11q21),Inverstions
C0152013,Adenocarcinoma of lung (disorder),inv(2)(p23p21),Inverstions
C0152013,Adenocarcinoma of lung (disorder),inv(10)(q11q11),Inverstions
C0152013,Adenocarcinoma of lung (disorder),inv(6)(q22q25),Inverstions
C0149782,Squamous cell carcinoma of lung,t(18;18)(q11;q11),Translocations
C0149782,Squamous cell carcinoma of lung,t(7;7)(q31;q34),Translocations
C0149782,Squamous cell carcinoma of lung,t(17;17)(q12;q21),Translocations
C0149782,Squamous cell carcinoma of lung,t(11;11)(q13;q13),Translocations
C0149782,Squamous cell carcinoma of lung,t(3;3)(q25;q27),Translocations
C0149782,Squamous cell carcinoma of lung,t(17;17)(q11;q11),Translocations
C0149782,Squamous cell carcinoma of lung,t(3;20)(p21;q13),Translocations
C0149782,Squamous cell carcinoma of lung,t(2;12)(p23;q23),Translocations
C0149782,Squamous cell carcinoma of lung,t(19;19)(q12;q13),Translocations
C0149782,Squamous cell carcinoma of lung,t(19;21)(p13;q22),Translocations
C0149782,Squamous cell carcinoma of lung,t(17;17)(p13;p13),Translocations
C0149782,Squamous cell carcinoma of lung,t(5;5)(p15;p15),Translocations
C0149782,Squamous cell carcinoma of lung,t(1;1)(p35;p35),Translocations
C0149782,Squamous cell carcinoma of lung,t(11;11)(p15;p15),Translocations
C0149782,Squamous cell carcinoma of lung,t(11;22)(p15;q11),Translocations
