DiseaseCui,DiseaseName,Incidence,MortalityRate,DemographicGroup
C0242379,Malignant neoplasm of lung,4.9000000953674316406,0.69999998807907104492,AT_30-44_female_undefined
C0242379,Malignant neoplasm of lung,47.0,29.299999237060546875,AT_45-59_female_undefined
C0242379,Malignant neoplasm of lung,49.200000762939453125,36.799999237060546875,AT_45-59_male_undefined
C0242379,Malignant neoplasm of lung,157.600006103515625,102.0,AT_60-74_female_undefined
C0242379,Malignant neoplasm of lung,217.1999969482421875,168.5,AT_60-74_male_undefined
C0242379,Malignant neoplasm of lung,129.3000030517578125,127.40000152587890625,AT_75-85%2B_female_undefined
C0242379,Malignant neoplasm of lung,268.399993896484375,273.70001220703125,AT_75-85%2B_male_undefined
C0242379,Malignant neoplasm of lung,3.9000000953674316406,0.30000001192092895508,BE_30-44_female_undefined
C0242379,Malignant neoplasm of lung,3.7000000476837158203,0.10000000149011611938,BE_30-44_male_undefined
C0242379,Malignant neoplasm of lung,44.09999847412109375,32.59999847412109375,BE_45-59_female_undefined
C0242379,Malignant neoplasm of lung,56.200000762939453125,38.40000152587890625,BE_45-59_male_undefined
C0242379,Malignant neoplasm of lung,167.100006103515625,97.90000152587890625,BE_60-74_female_undefined
C0242379,Malignant neoplasm of lung,303.5,189.6999969482421875,BE_60-74_male_undefined
C0242379,Malignant neoplasm of lung,153.1999969482421875,131.899993896484375,BE_75-85%2B_female_undefined
C0242379,Malignant neoplasm of lung,444.5,384.100006103515625,BE_75-85%2B_male_undefined
C0242379,Malignant neoplasm of lung,4.9000000953674316406,3.9000000953674316406,BG_30-44_female_undefined
C0242379,Malignant neoplasm of lung,5.5999999046325683594,2.5,BG_30-44_male_undefined
C0242379,Malignant neoplasm of lung,34.40000152587890625,28.700000762939453125,BG_45-59_female_undefined
C0242379,Malignant neoplasm of lung,92.40000152587890625,79.6999969482421875,BG_45-59_male_undefined
C0242379,Malignant neoplasm of lung,68.6999969482421875,56.59999847412109375,BG_60-74_female_undefined
C0242379,Malignant neoplasm of lung,285.399993896484375,237.8000030517578125,BG_60-74_male_undefined
C0242379,Malignant neoplasm of lung,63.299999237060546875,59.799999237060546875,BG_75-85%2B_female_undefined
C0242379,Malignant neoplasm of lung,228.8000030517578125,243.5,BG_75-85%2B_male_undefined
C0242379,Malignant neoplasm of lung,2.7000000476837158203,1.0,CY_30-44_female_undefined
C0242379,Malignant neoplasm of lung,5.3000001907348632812,2.0,CY_30-44_male_undefined
C0242379,Malignant neoplasm of lung,30.299999237060546875,21.0,CY_45-59_female_undefined
C0242379,Malignant neoplasm of lung,52.799999237060546875,38.799999237060546875,CY_45-59_male_undefined
C0242379,Malignant neoplasm of lung,85.8000030517578125,61.59999847412109375,CY_60-74_female_undefined
C0242379,Malignant neoplasm of lung,268.20001220703125,251.600006103515625,CY_60-74_male_undefined
C0242379,Malignant neoplasm of lung,116.6999969482421875,131.399993896484375,CY_75-85%2B_female_undefined
C0242379,Malignant neoplasm of lung,512.4000244140625,425.399993896484375,CY_75-85%2B_male_undefined
C0242379,Malignant neoplasm of lung,1.7999999523162841797,0.69999998807907104492,CZ_30-44_female_undefined
C0242379,Malignant neoplasm of lung,28.299999237060546875,25.200000762939453125,CZ_45-59_female_undefined
C0242379,Malignant neoplasm of lung,36.700000762939453125,43.5,CZ_45-59_male_undefined
