DiseaseCui,DiseaseName,GeneFusion
C0149782,Squamous cell carcinoma of lung,ESCO1::LAMA3
C0149782,Squamous cell carcinoma of lung,HIPK2::GRM8
C0149782,Squamous cell carcinoma of lung,DUSP14::ATP6V0A1
C0149782,Squamous cell carcinoma of lung,CCDC88B::RELT
C0149782,Squamous cell carcinoma of lung,GFM1::KLHL6
C0149782,Squamous cell carcinoma of lung,CPD::NF1
C0149782,Squamous cell carcinoma of lung,LTF::ZNFX1
C0149782,Squamous cell carcinoma of lung,PPP1CB::DRAM1
C0149782,Squamous cell carcinoma of lung,C19ORF12::ZNF749
C0149782,Squamous cell carcinoma of lung,ITSN1::ZNF490
C0149782,Squamous cell carcinoma of lung,MYO1C::SMG6
C0149782,Squamous cell carcinoma of lung,SEMA5A::ROPN1L
C0149782,Squamous cell carcinoma of lung,KPNA6::ZCCHC17
C0149782,Squamous cell carcinoma of lung,PLEKHA7::PIK3C2A
C0149782,Squamous cell carcinoma of lung,KLHL22::DENND5A
C0149782,Squamous cell carcinoma of lung,OTUD7B::CTSS
C0149782,Squamous cell carcinoma of lung,BTBD1::MRPL46
C0149782,Squamous cell carcinoma of lung,DOP1B::PIBF1
C0149782,Squamous cell carcinoma of lung,TPD52::RALYL
C0149782,Squamous cell carcinoma of lung,UBR1::TGM5
C0149782,Squamous cell carcinoma of lung,MAPK8::PARG
C0149782,Squamous cell carcinoma of lung,MON2::RCC1L
C0149782,Squamous cell carcinoma of lung,DNMBP::TPTE2
C0149782,Squamous cell carcinoma of lung,KATNBL1::EMC7
C0149782,Squamous cell carcinoma of lung,PDE4D::MCTP1
C0149782,Squamous cell carcinoma of lung,FAM83B::COL21A1
C0149782,Squamous cell carcinoma of lung,PRKCA::SDK1
C0149782,Squamous cell carcinoma of lung,XRN2::TMEM40
C0149782,Squamous cell carcinoma of lung,ABHD12::ENTPD6
C0149782,Squamous cell carcinoma of lung,NBEAL1::MLLT3
C0149782,Squamous cell carcinoma of lung,TMEM45A::LNP1
C0149782,Squamous cell carcinoma of lung,ACIN1::SHTN1
C0149782,Squamous cell carcinoma of lung,GTF2H1::PSMA1
C0149782,Squamous cell carcinoma of lung,ULK1::FBXW8
C0149782,Squamous cell carcinoma of lung,KRT19::PLEKHA5
C0149782,Squamous cell carcinoma of lung,RBL1::PISD
C0149782,Squamous cell carcinoma of lung,CPT1A::LPXN
C0149782,Squamous cell carcinoma of lung,ACVR1C::MGAT5
C0149782,Squamous cell carcinoma of lung,PIK3C3::TRPC6
C0149782,Squamous cell carcinoma of lung,COTL1::PREX2
C0149782,Squamous cell carcinoma of lung,DEPTOR::SAMD12
C0149782,Squamous cell carcinoma of lung,NTAN1::SLC17A5
C0149782,Squamous cell carcinoma of lung,DCBLD2::KALRN
C0149782,Squamous cell carcinoma of lung,SPC25::NEK11
C0149782,Squamous cell carcinoma of lung,TXNRD1::GNAS
C0149782,Squamous cell carcinoma of lung,DPYSL2::BNIP3L
C0149782,Squamous cell carcinoma of lung,OAS2::HECTD4
C0149782,Squamous cell carcinoma of lung,PTPN4::GRID1
C0149782,Squamous cell carcinoma of lung,ESR1::TFB1M
C0149782,Squamous cell carcinoma of lung,MCCC1::ADAMTSL3
C0149782,Squamous cell carcinoma of lung,TRMT9B::GATA4
C0149782,Squamous cell carcinoma of lung,ABCA13::BLVRA
C0149782,Squamous cell carcinoma of lung,UBE2R2::NFX1
C0149782,Squamous cell carcinoma of lung,CRYBG3::IL20RB
C0149782,Squamous cell carcinoma of lung,SFT2D2::SUCO
C0149782,Squamous cell carcinoma of lung,AP2M1::MAP3K13
C0149782,Squamous cell carcinoma of lung,HIBCH::MFSD6
C0149782,Squamous cell carcinoma of lung,PHGDH::WDPCP
C0149782,Squamous cell carcinoma of lung,THSD4::WARS1
C0149782,Squamous cell carcinoma of lung,AHNAK::DPF2
C0149782,Squamous cell carcinoma of lung,FRMD8::POLA2
C0149782,Squamous cell carcinoma of lung,FNBP1L::NAV2
C0149782,Squamous cell carcinoma of lung,EML1::ADAMDEC1
C0149782,Squamous cell carcinoma of lung,KLHL29::PSMA8
C0149782,Squamous cell carcinoma of lung,RAD51B::GPHN
C0149782,Squamous cell carcinoma of lung,MBNL1::DCUN1D1
C0149782,Squamous cell carcinoma of lung,RNASE10::CD38
C0149782,Squamous cell carcinoma of lung,RICTOR::FYB1
C0149782,Squamous cell carcinoma of lung,RAD51D::SLCO6A1
C0149782,Squamous cell carcinoma of lung,CLPTM1::CEACAM16
C0149782,Squamous cell carcinoma of lung,TRAF7::LRRC1
C0149782,Squamous cell carcinoma of lung,DPF2::CFL1
C0149782,Squamous cell carcinoma of lung,ADAT1::KARS1
C0149782,Squamous cell carcinoma of lung,CSTF3::HSP90AA1
C0149782,Squamous cell carcinoma of lung,PAK2::ECE2
C0149782,Squamous cell carcinoma of lung,DGKE::EPN3
C0149782,Squamous cell carcinoma of lung,TCEA1::EGFR
C0149782,Squamous cell carcinoma of lung,SEC14L1::SPOP
C0149782,Squamous cell carcinoma of lung,NSD3::NUTM1
C0149782,Squamous cell carcinoma of lung,RDH10::NEDD4
C0149782,Squamous cell carcinoma of lung,RBM6::IDH2
C0149782,Squamous cell carcinoma of lung,PLEKHA1::BTBD16
C0149782,Squamous cell carcinoma of lung,TMEM123::DYNC2H1
C0149782,Squamous cell carcinoma of lung,RTN4IP1::QRSL1
C0149782,Squamous cell carcinoma of lung,ITPR1::SUMF1
C0149782,Squamous cell carcinoma of lung,EHHADH::SENP5
C0149782,Squamous cell carcinoma of lung,ZNF200::COLEC12
C0149782,Squamous cell carcinoma of lung,MPDZ::ZPBP
C0149782,Squamous cell carcinoma of lung,PAXIP1::NCAPG2
C0149782,Squamous cell carcinoma of lung,CCND3::VPS52
C0149782,Squamous cell carcinoma of lung,RNF38::SPINK4
C0149782,Squamous cell carcinoma of lung,C6ORF132::TRERF1
C0149782,Squamous cell carcinoma of lung,MTRR::NMD3
C0149782,Squamous cell carcinoma of lung,WDR45B::B3GNTL1
C0149782,Squamous cell carcinoma of lung,SRD5A1::MBTD1
C0149782,Squamous cell carcinoma of lung,SFMBT2::AKR1C4
C0149782,Squamous cell carcinoma of lung,ITPK1::CEP170B
C0149782,Squamous cell carcinoma of lung,PCNX1::TTC9
C0149782,Squamous cell carcinoma of lung,THRA::PSMD3
C0149782,Squamous cell carcinoma of lung,ADAMTS3::SNX30
C0149782,Squamous cell carcinoma of lung,MYBBP1A::ANKFY1
C0149782,Squamous cell carcinoma of lung,THAP7::NRG1
