Country,Incidence,Mortality,age,gender,disease_id,disease_name,year,country_id,age_code,ethnicity,people_id,vs_id
Austria,0.1,,0-14,Female,C0242379,Malignant neoplasm of lung,2022,AT,0-14 years,undefined,people_0-14_female_undefined,vstat_C0242379_AT_0-14_female_undefined
Belgium,0.1,,0-14,Female,C0242379,Malignant neoplasm of lung,2022,BE,0-14 years,undefined,people_0-14_female_undefined,vstat_C0242379_BE_0-14_female_undefined
Spain,0.1,,0-14,Female,C0242379,Malignant neoplasm of lung,2022,ES,0-14 years,undefined,people_0-14_female_undefined,vstat_C0242379_ES_0-14_female_undefined
Austria,0.2,,0-14,Male,C0242379,Malignant neoplasm of lung,2022,AT,0-14 years,undefined,people_0-14_male_undefined,vstat_C0242379_AT_0-14_male_undefined
France,0.1,,0-14,Male,C0242379,Malignant neoplasm of lung,2022,FR,0-14 years,undefined,people_0-14_male_undefined,vstat_C0242379_FR_0-14_male_undefined
Italy,0.1,,0-14,Male,C0242379,Malignant neoplasm of lung,2022,IT,0-14 years,undefined,people_0-14_male_undefined,vstat_C0242379_IT_0-14_male_undefined
Netherlands,0.1,,0-14,Male,C0242379,Malignant neoplasm of lung,2022,NL,0-14 years,undefined,people_0-14_male_undefined,vstat_C0242379_NL_0-14_male_undefined
Romania,,0.1,0-14,Male,C0242379,Malignant neoplasm of lung,2022,RO,0-14 years,undefined,people_0-14_male_undefined,vstat_C0242379_RO_0-14_male_undefined
Spain,0.1,,0-14,Male,C0242379,Malignant neoplasm of lung,2022,ES,0-14 years,undefined,people_0-14_male_undefined,vstat_C0242379_ES_0-14_male_undefined
Austria,0.6,,15-29,Female,C0242379,Malignant neoplasm of lung,2022,AT,15-29 years,undefined,people_15-29_female_undefined,vstat_C0242379_AT_15-29_female_undefined
Belgium,0.2,,15-29,Female,C0242379,Malignant neoplasm of lung,2022,BE,15-29 years,undefined,people_15-29_female_undefined,vstat_C0242379_BE_15-29_female_undefined
Czechia,0.4,,15-29,Female,C0242379,Malignant neoplasm of lung,2022,CZ,15-29 years,undefined,people_15-29_female_undefined,vstat_C0242379_CZ_15-29_female_undefined
Denmark,0.5,,15-29,Female,C0242379,Malignant neoplasm of lung,2022,DK,15-29 years,undefined,people_15-29_female_undefined,vstat_C0242379_DK_15-29_female_undefined
EU-27,0.2,,15-29,Female,C0242379,Malignant neoplasm of lung,2022,EU-27,15-29 years,undefined,people_15-29_female_undefined,vstat_C0242379_EU-27_15-29_female_undefined
Finland,0.2,,15-29,Female,C0242379,Malignant neoplasm of lung,2022,FI,15-29 years,undefined,people_15-29_female_undefined,vstat_C0242379_FI_15-29_female_undefined
France,0.4,,15-29,Female,C0242379,Malignant neoplasm of lung,2022,FR,15-29 years,undefined,people_15-29_female_undefined,vstat_C0242379_FR_15-29_female_undefined
Germany,0.1,,15-29,Female,C0242379,Malignant neoplasm of lung,2022,DE,15-29 years,undefined,people_15-29_female_undefined,vstat_C0242379_DE_15-29_female_undefined
Ireland,1.1,,15-29,Female,C0242379,Malignant neoplasm of lung,2022,IE,15-29 years,undefined,people_15-29_female_undefined,vstat_C0242379_IE_15-29_female_undefined
Italy,0.1,,15-29,Female,C0242379,Malignant neoplasm of lung,2022,IT,15-29 years,undefined,people_15-29_female_undefined,vstat_C0242379_IT_15-29_female_undefined
Lithuania,0.4,,15-29,Female,C0242379,Malignant neoplasm of lung,2022,LT,15-29 years,undefined,people_15-29_female_undefined,vstat_C0242379_LT_15-29_female_undefined
Netherlands,0.2,,15-29,Female,C0242379,Malignant neoplasm of lung,2022,NL,15-29 years,undefined,people_15-29_female_undefined,vstat_C0242379_NL_15-29_female_undefined
Portugal,0.8,,15-29,Female,C0242379,Malignant neoplasm of lung,2022,PT,15-29 years,undefined,people_15-29_female_undefined,vstat_C0242379_PT_15-29_female_undefined
Spain,0.3,,15-29,Female,C0242379,Malignant neoplasm of lung,2022,ES,15-29 years,undefined,people_15-29_female_undefined,vstat_C0242379_ES_15-29_female_undefined
Sweden,0.3,,15-29,Female,C0242379,Malignant neoplasm of lung,2022,SE,15-29 years,undefined,people_15-29_female_undefined,vstat_C0242379_SE_15-29_female_undefined
Austria,0.5,,15-29,Male,C0242379,Malignant neoplasm of lung,2022,AT,15-29 years,undefined,people_15-29_male_undefined,vstat_C0242379_AT_15-29_male_undefined
Belgium,0.4,,15-29,Male,C0242379,Malignant neoplasm of lung,2022,BE,15-29 years,undefined,people_15-29_male_undefined,vstat_C0242379_BE_15-29_male_undefined
Bulgaria,0.4,,15-29,Male,C0242379,Malignant neoplasm of lung,2022,BG,15-29 years,undefined,people_15-29_male_undefined,vstat_C0242379_BG_15-29_male_undefined
Czechia,0.1,,15-29,Male,C0242379,Malignant neoplasm of lung,2022,CZ,15-29 years,undefined,people_15-29_male_undefined,vstat_C0242379_CZ_15-29_male_undefined
Denmark,0.5,,15-29,Male,C0242379,Malignant neoplasm of lung,2022,DK,15-29 years,undefined,people_15-29_male_undefined,vstat_C0242379_DK_15-29_male_undefined
EU-27,0.2,,15-29,Male,C0242379,Malignant neoplasm of lung,2022,EU-27,15-29 years,undefined,people_15-29_male_undefined,vstat_C0242379_EU-27_15-29_male_undefined
Finland,0.4,,15-29,Male,C0242379,Malignant neoplasm of lung,2022,FI,15-29 years,undefined,people_15-29_male_undefined,vstat_C0242379_FI_15-29_male_undefined
France,0.2,,15-29,Male,C0242379,Malignant neoplasm of lung,2022,FR,15-29 years,undefined,people_15-29_male_undefined,vstat_C0242379_FR_15-29_male_undefined
Germany,0.1,,15-29,Male,C0242379,Malignant neoplasm of lung,2022,DE,15-29 years,undefined,people_15-29_male_undefined,vstat_C0242379_DE_15-29_male_undefined
Ireland,0.4,,15-29,Male,C0242379,Malignant neoplasm of lung,2022,IE,15-29 years,undefined,people_15-29_male_undefined,vstat_C0242379_IE_15-29_male_undefined
Italy,0.3,,15-29,Male,C0242379,Malignant neoplasm of lung,2022,IT,15-29 years,undefined,people_15-29_male_undefined,vstat_C0242379_IT_15-29_male_undefined
Latvia,0.7,,15-29,Male,C0242379,Malignant neoplasm of lung,2022,LV,15-29 years,undefined,people_15-29_male_undefined,vstat_C0242379_LV_15-29_male_undefined
Netherlands,0.3,,15-29,Male,C0242379,Malignant neoplasm of lung,2022,NL,15-29 years,undefined,people_15-29_male_undefined,vstat_C0242379_NL_15-29_male_undefined
Portugal,0.2,,15-29,Male,C0242379,Malignant neoplasm of lung,2022,PT,15-29 years,undefined,people_15-29_male_undefined,vstat_C0242379_PT_15-29_male_undefined
Romania,0.4,,15-29,Male,C0242379,Malignant neoplasm of lung,2022,RO,15-29 years,undefined,people_15-29_male_undefined,vstat_C0242379_RO_15-29_male_undefined
