"Indicator";"Registry";"Cancer";"Age";"Sex";"Year";"Age-specific Rate"
"Incidence";"Republic of Srpska";"Lung";"0-14";"Female";"2008";"0.00"
"Incidence";"Republic of Srpska";"Lung";"0-14";"Female";"2009";"0.00"
"Incidence";"Republic of Srpska";"Lung";"0-14";"Female";"2010";"0.00"
"Incidence";"Republic of Srpska";"Lung";"0-14";"Female";"2011";"0.00"
"Incidence";"Republic of Srpska";"Lung";"0-14";"Female";"2012";"0.00"
"Incidence";"Republic of Srpska";"Lung";"0-14";"Male";"2008";"0.00"
"Incidence";"Republic of Srpska";"Lung";"0-14";"Male";"2009";"0.00"
"Incidence";"Republic of Srpska";"Lung";"0-14";"Male";"2010";"0.00"
"Incidence";"Republic of Srpska";"Lung";"0-14";"Male";"2011";"0.00"
"Incidence";"Republic of Srpska";"Lung";"0-14";"Male";"2012";"0.00"
"Incidence";"Republic of Srpska";"Lung";"15-29";"Male";"2008";"0.77"
"Incidence";"Republic of Srpska";"Lung";"15-29";"Male";"2009";"0.00"
"Incidence";"Republic of Srpska";"Lung";"15-29";"Male";"2010";"0.78"
"Incidence";"Republic of Srpska";"Lung";"15-29";"Male";"2011";"0.00"
"Incidence";"Republic of Srpska";"Lung";"15-29";"Male";"2012";"0.00"
"Incidence";"Republic of Srpska";"Lung";"15-29";"Female";"2008";"0.00"
"Incidence";"Republic of Srpska";"Lung";"15-29";"Female";"2009";"0.00"
"Incidence";"Republic of Srpska";"Lung";"15-29";"Female";"2010";"0.00"
"Incidence";"Republic of Srpska";"Lung";"15-29";"Female";"2011";"0.00"
"Incidence";"Republic of Srpska";"Lung";"15-29";"Female";"2012";"0.78"
"Incidence";"Republic of Srpska";"Lung";"30-44";"Male";"2008";"8.69"
"Incidence";"Republic of Srpska";"Lung";"30-44";"Male";"2009";"6.06"
"Incidence";"Republic of Srpska";"Lung";"30-44";"Male";"2010";"4.74"
"Incidence";"Republic of Srpska";"Lung";"30-44";"Male";"2011";"8.17"
"Incidence";"Republic of Srpska";"Lung";"30-44";"Male";"2012";"5.45"
"Incidence";"Republic of Srpska";"Lung";"30-44";"Female";"2008";"4.19"
"Incidence";"Republic of Srpska";"Lung";"30-44";"Female";"2009";"0.70"
"Incidence";"Republic of Srpska";"Lung";"30-44";"Female";"2010";"0.70"
"Incidence";"Republic of Srpska";"Lung";"30-44";"Female";"2011";"2.10"
"Incidence";"Republic of Srpska";"Lung";"30-44";"Female";"2012";"2.79"
"Incidence";"Republic of Srpska";"Lung";"45-59";"Male";"2008";"97.24"
"Incidence";"Republic of Srpska";"Lung";"45-59";"Male";"2009";"101.15"
"Incidence";"Republic of Srpska";"Lung";"45-59";"Male";"2010";"91.98"
"Incidence";"Republic of Srpska";"Lung";"45-59";"Male";"2011";"120.74"
"Incidence";"Republic of Srpska";"Lung";"45-59";"Male";"2012";"93.75"
"Incidence";"Republic of Srpska";"Lung";"45-59";"Female";"2008";"16.21"
"Incidence";"Republic of Srpska";"Lung";"45-59";"Female";"2009";"24.06"
"Incidence";"Republic of Srpska";"Lung";"45-59";"Female";"2010";"18.79"
"Incidence";"Republic of Srpska";"Lung";"45-59";"Female";"2011";"19.51"
"Incidence";"Republic of Srpska";"Lung";"45-59";"Female";"2012";"30.36"
"Incidence";"Republic of Srpska";"Lung";"60-74";"Male";"2008";"297.05"
"Incidence";"Republic of Srpska";"Lung";"60-74";"Male";"2009";"271.98"
"Incidence";"Republic of Srpska";"Lung";"60-74";"Male";"2010";"224.20"
"Incidence";"Republic of Srpska";"Lung";"60-74";"Male";"2011";"280.02"
"Incidence";"Republic of Srpska";"Lung";"60-74";"Male";"2012";"253.44"
"Incidence";"Republic of Srpska";"Lung";"60-74";"Female";"2008";"47.56"
"Incidence";"Republic of Srpska";"Lung";"60-74";"Female";"2009";"45.41"
"Incidence";"Republic of Srpska";"Lung";"60-74";"Female";"2010";"46.70"
"Incidence";"Republic of Srpska";"Lung";"60-74";"Female";"2011";"44.29"
"Incidence";"Republic of Srpska";"Lung";"60-74";"Female";"2012";"46.55"
"Incidence";"Republic of Srpska";"Lung";"75-85+";"Male";"2008";"291.22"
"Incidence";"Republic of Srpska";"Lung";"75-85+";"Male";"2009";"207.18"
"Incidence";"Republic of Srpska";"Lung";"75-85+";"Male";"2010";"177.95"
"Incidence";"Republic of Srpska";"Lung";"75-85+";"Male";"2011";"269.38"
"Incidence";"Republic of Srpska";"Lung";"75-85+";"Male";"2012";"217.79"
"Incidence";"Republic of Srpska";"Lung";"75-85+";"Female";"2008";"50.82"
"Incidence";"Republic of Srpska";"Lung";"75-85+";"Female";"2009";"55.37"
"Incidence";"Republic of Srpska";"Lung";"75-85+";"Female";"2010";"53.82"
"Incidence";"Republic of Srpska";"Lung";"75-85+";"Female";"2011";"51.28"
"Incidence";"Republic of Srpska";"Lung";"75-85+";"Female";"2012";"45.21"

Historical data: Incidence/mortality trends by age
Incidence and mortality, BA Republic of Srpska, Both sexes, Lung, 0 to 85+ years, by 15 years age groups

Source: ECIS - European Cancer Information System
From https://ecis.jrc.ec.europa.eu, accessed on 28-03-2026
(c) European Union, 2026
