"Indicator";"Registry";"Cancer";"Age";"Sex";"Year";"Age-specific Rate"
"Mortality";"Finland";"Lung";"0-14";"Female";"1953";"0.00"
"Mortality";"Finland";"Lung";"0-14";"Female";"1954";"0.00"
"Mortality";"Finland";"Lung";"0-14";"Female";"1955";"0.00"
"Mortality";"Finland";"Lung";"0-14";"Female";"1956";"0.00"
"Mortality";"Finland";"Lung";"0-14";"Female";"1957";"0.00"
"Mortality";"Finland";"Lung";"0-14";"Female";"1958";"0.00"
"Mortality";"Finland";"Lung";"0-14";"Female";"1959";"0.00"
"Mortality";"Finland";"Lung";"0-14";"Female";"1960";"0.00"
"Mortality";"Finland";"Lung";"0-14";"Female";"1961";"0.00"
"Mortality";"Finland";"Lung";"0-14";"Female";"1962";"0.00"
"Mortality";"Finland";"Lung";"0-14";"Female";"1963";"0.00"
"Mortality";"Finland";"Lung";"0-14";"Female";"1964";"0.00"
"Mortality";"Finland";"Lung";"0-14";"Female";"1965";"0.00"
"Mortality";"Finland";"Lung";"0-14";"Female";"1966";"0.00"
"Mortality";"Finland";"Lung";"0-14";"Female";"1967";"0.00"
"Mortality";"Finland";"Lung";"0-14";"Female";"1968";"0.00"
"Mortality";"Finland";"Lung";"0-14";"Female";"1969";"0.00"
"Mortality";"Finland";"Lung";"0-14";"Female";"1970";"0.18"
"Mortality";"Finland";"Lung";"0-14";"Female";"1971";"0.00"
"Mortality";"Finland";"Lung";"0-14";"Female";"1972";"0.00"
"Mortality";"Finland";"Lung";"0-14";"Female";"1973";"0.00"
"Mortality";"Finland";"Lung";"0-14";"Female";"1974";"0.00"
"Mortality";"Finland";"Lung";"0-14";"Female";"1975";"0.00"
"Mortality";"Finland";"Lung";"0-14";"Female";"1976";"0.00"
"Mortality";"Finland";"Lung";"0-14";"Female";"1977";"0.00"
"Mortality";"Finland";"Lung";"0-14";"Female";"1978";"0.00"
"Mortality";"Finland";"Lung";"0-14";"Female";"1979";"0.00"
"Mortality";"Finland";"Lung";"0-14";"Female";"1980";"0.00"
"Mortality";"Finland";"Lung";"0-14";"Female";"1981";"0.00"
"Mortality";"Finland";"Lung";"0-14";"Female";"1982";"0.00"
"Mortality";"Finland";"Lung";"0-14";"Female";"1983";"0.00"
"Mortality";"Finland";"Lung";"0-14";"Female";"1984";"0.00"
"Mortality";"Finland";"Lung";"0-14";"Female";"1985";"0.00"
"Mortality";"Finland";"Lung";"0-14";"Female";"1986";"0.00"
"Mortality";"Finland";"Lung";"0-14";"Female";"1987";"0.00"
"Mortality";"Finland";"Lung";"0-14";"Female";"1988";"0.00"
"Mortality";"Finland";"Lung";"0-14";"Female";"1989";"0.00"
"Mortality";"Finland";"Lung";"0-14";"Female";"1990";"0.00"
"Mortality";"Finland";"Lung";"0-14";"Female";"1991";"0.00"
"Mortality";"Finland";"Lung";"0-14";"Female";"1992";"0.00"
"Mortality";"Finland";"Lung";"0-14";"Female";"1993";"0.00"
"Mortality";"Finland";"Lung";"0-14";"Female";"1994";"0.00"
"Mortality";"Finland";"Lung";"0-14";"Female";"1995";"0.00"
"Mortality";"Finland";"Lung";"0-14";"Female";"1996";"0.00"
"Mortality";"Finland";"Lung";"0-14";"Female";"1997";"0.00"
"Mortality";"Finland";"Lung";"0-14";"Female";"1998";"0.00"
"Mortality";"Finland";"Lung";"0-14";"Female";"1999";"0.00"
"Mortality";"Finland";"Lung";"0-14";"Female";"2000";"0.00"
"Mortality";"Finland";"Lung";"0-14";"Female";"2001";"0.00"
"Mortality";"Finland";"Lung";"0-14";"Female";"2002";"0.00"
"Mortality";"Finland";"Lung";"0-14";"Female";"2003";"0.00"
"Mortality";"Finland";"Lung";"0-14";"Female";"2004";"0.00"
"Mortality";"Finland";"Lung";"0-14";"Female";"2005";"0.00"
"Mortality";"Finland";"Lung";"0-14";"Female";"2006";"0.00"
"Mortality";"Finland";"Lung";"0-14";"Female";"2007";"0.00"
"Mortality";"Finland";"Lung";"0-14";"Female";"2008";"0.23"
"Mortality";"Finland";"Lung";"0-14";"Female";"2009";"0.00"
"Mortality";"Finland";"Lung";"0-14";"Female";"2010";"0.00"
"Mortality";"Finland";"Lung";"0-14";"Female";"2011";"0.00"
"Mortality";"Finland";"Lung";"0-14";"Female";"2012";"0.00"
"Mortality";"Finland";"Lung";"0-14";"Female";"2013";"0.00"
"Mortality";"Finland";"Lung";"0-14";"Female";"2014";"0.00"
"Mortality";"Finland";"Lung";"0-14";"Female";"2015";"0.00"
"Mortality";"Finland";"Lung";"0-14";"Female";"2016";"0.00"
"Mortality";"Finland";"Lung";"0-14";"Female";"2017";"0.00"
"Mortality";"Finland";"Lung";"0-14";"Female";"2018";"0.00"
"Mortality";"Finland";"Lung";"0-14";"Female";"2019";"0.00"
"Mortality";"Finland";"Lung";"0-14";"Female";"2020";"0.00"
"Mortality";"Finland";"Lung";"0-14";"Female";"2021";"0.00"
"Mortality";"Finland";"Lung";"0-14";"Female";"2022";"0.00"
"Mortality";"Finland";"Lung";"0-14";"Female";"2023";"0.00"
"Incidence";"Finland";"Lung";"0-14";"Female";"1953";"0.00"
"Incidence";"Finland";"Lung";"0-14";"Female";"1954";"0.00"
"Incidence";"Finland";"Lung";"0-14";"Female";"1955";"0.00"
"Incidence";"Finland";"Lung";"0-14";"Female";"1956";"0.00"
"Incidence";"Finland";"Lung";"0-14";"Female";"1957";"0.00"
"Incidence";"Finland";"Lung";"0-14";"Female";"1958";"0.00"
"Incidence";"Finland";"Lung";"0-14";"Female";"1959";"0.00"
"Incidence";"Finland";"Lung";"0-14";"Female";"1960";"0.00"
"Incidence";"Finland";"Lung";"0-14";"Female";"1961";"0.00"
"Incidence";"Finland";"Lung";"0-14";"Female";"1962";"0.16"
"Incidence";"Finland";"Lung";"0-14";"Female";"1963";"0.00"
"Incidence";"Finland";"Lung";"0-14";"Female";"1964";"0.00"
"Incidence";"Finland";"Lung";"0-14";"Female";"1965";"0.00"
"Incidence";"Finland";"Lung";"0-14";"Female";"1966";"0.00"
"Incidence";"Finland";"Lung";"0-14";"Female";"1967";"0.00"
