"Indicator";"Registry";"Cancer";"Age";"Sex";"Year";"Age-specific Rate"
"Incidence";"Latvia";"Lung";"0-14";"Female";"2000";"0.00"
"Incidence";"Latvia";"Lung";"0-14";"Female";"2001";"0.00"
"Incidence";"Latvia";"Lung";"0-14";"Female";"2002";"0.00"
"Incidence";"Latvia";"Lung";"0-14";"Female";"2003";"0.00"
"Incidence";"Latvia";"Lung";"0-14";"Female";"2004";"0.00"
"Incidence";"Latvia";"Lung";"0-14";"Female";"2005";"0.00"
"Incidence";"Latvia";"Lung";"0-14";"Female";"2006";"0.00"
"Incidence";"Latvia";"Lung";"0-14";"Female";"2007";"0.00"
"Incidence";"Latvia";"Lung";"0-14";"Female";"2008";"0.00"
"Incidence";"Latvia";"Lung";"0-14";"Female";"2009";"0.00"
"Incidence";"Latvia";"Lung";"0-14";"Female";"2010";"0.00"
"Incidence";"Latvia";"Lung";"0-14";"Female";"2011";"0.00"
"Incidence";"Latvia";"Lung";"0-14";"Female";"2012";"0.00"
"Incidence";"Latvia";"Lung";"0-14";"Female";"2013";"0.00"
"Incidence";"Latvia";"Lung";"0-14";"Female";"2014";"0.00"
"Incidence";"Latvia";"Lung";"0-14";"Female";"2015";"0.00"
"Incidence";"Latvia";"Lung";"0-14";"Female";"2016";"0.00"
"Incidence";"Latvia";"Lung";"0-14";"Female";"2017";"0.00"
"Mortality";"Latvia";"Lung";"0-14";"Female";"2000";"0.00"
"Mortality";"Latvia";"Lung";"0-14";"Female";"2001";"0.00"
"Mortality";"Latvia";"Lung";"0-14";"Female";"2002";"0.00"
"Mortality";"Latvia";"Lung";"0-14";"Female";"2003";"0.00"
"Mortality";"Latvia";"Lung";"0-14";"Female";"2004";"0.00"
"Mortality";"Latvia";"Lung";"0-14";"Female";"2005";"0.00"
"Mortality";"Latvia";"Lung";"0-14";"Female";"2006";"0.00"
"Mortality";"Latvia";"Lung";"0-14";"Female";"2007";"0.00"
"Mortality";"Latvia";"Lung";"0-14";"Female";"2008";"0.00"
"Mortality";"Latvia";"Lung";"0-14";"Female";"2009";"0.00"
"Mortality";"Latvia";"Lung";"0-14";"Female";"2010";"0.00"
"Mortality";"Latvia";"Lung";"0-14";"Female";"2011";"0.00"
"Mortality";"Latvia";"Lung";"0-14";"Female";"2012";"0.00"
