"Indicator";"Registry";"Cancer";"Age";"Sex";"Year";"Age-specific Rate"
"Incidence";"Netherlands";"Lung";"0-14";"Female";"1989";"0.00"
"Incidence";"Netherlands";"Lung";"0-14";"Female";"1990";"0.00"
"Incidence";"Netherlands";"Lung";"0-14";"Female";"1991";"0.00"
"Incidence";"Netherlands";"Lung";"0-14";"Female";"1992";"0.00"
"Incidence";"Netherlands";"Lung";"0-14";"Female";"1993";"0.00"
"Incidence";"Netherlands";"Lung";"0-14";"Female";"1994";"0.00"
"Incidence";"Netherlands";"Lung";"0-14";"Female";"1995";"0.00"
"Incidence";"Netherlands";"Lung";"0-14";"Female";"1996";"0.00"
"Incidence";"Netherlands";"Lung";"0-14";"Female";"1997";"0.00"
"Incidence";"Netherlands";"Lung";"0-14";"Female";"1998";"0.00"
"Incidence";"Netherlands";"Lung";"0-14";"Female";"1999";"0.00"
"Incidence";"Netherlands";"Lung";"0-14";"Female";"2000";"0.00"
"Incidence";"Netherlands";"Lung";"0-14";"Female";"2001";"0.00"
"Incidence";"Netherlands";"Lung";"0-14";"Female";"2002";"0.07"
"Incidence";"Netherlands";"Lung";"0-14";"Female";"2003";"0.00"
"Incidence";"Netherlands";"Lung";"0-14";"Female";"2004";"0.00"
"Incidence";"Netherlands";"Lung";"0-14";"Female";"2005";"0.00"
"Incidence";"Netherlands";"Lung";"0-14";"Female";"2006";"0.00"
"Incidence";"Netherlands";"Lung";"0-14";"Female";"2007";"0.00"
"Incidence";"Netherlands";"Lung";"0-14";"Female";"2008";"0.00"
"Incidence";"Netherlands";"Lung";"0-14";"Female";"2009";"0.00"
"Incidence";"Netherlands";"Lung";"0-14";"Female";"2010";"0.00"
"Incidence";"Netherlands";"Lung";"0-14";"Female";"2011";"0.14"
"Incidence";"Netherlands";"Lung";"0-14";"Female";"2012";"0.00"
"Incidence";"Netherlands";"Lung";"0-14";"Female";"2013";"0.00"
"Incidence";"Netherlands";"Lung";"0-14";"Female";"2014";"0.00"
"Incidence";"Netherlands";"Lung";"0-14";"Female";"2015";"0.07"
"Incidence";"Netherlands";"Lung";"0-14";"Female";"2016";"0.15"
"Incidence";"Netherlands";"Lung";"0-14";"Female";"2017";"0.00"
"Incidence";"Netherlands";"Lung";"0-14";"Female";"2018";"0.00"
"Incidence";"Netherlands";"Lung";"0-14";"Female";"2019";"0.00"
"Incidence";"Netherlands";"Lung";"0-14";"Female";"2020";"0.00"
"Mortality";"Netherlands";"Lung";"0-14";"Female";"1989";"0.00"
"Mortality";"Netherlands";"Lung";"0-14";"Female";"1990";"0.00"
"Mortality";"Netherlands";"Lung";"0-14";"Female";"1991";"0.00"
"Mortality";"Netherlands";"Lung";"0-14";"Female";"1992";"0.00"
"Mortality";"Netherlands";"Lung";"0-14";"Female";"1993";"0.00"
"Mortality";"Netherlands";"Lung";"0-14";"Female";"1994";"0.00"
"Mortality";"Netherlands";"Lung";"0-14";"Female";"1995";"0.00"
"Mortality";"Netherlands";"Lung";"0-14";"Female";"1996";"0.00"
"Mortality";"Netherlands";"Lung";"0-14";"Female";"1997";"0.00"
"Mortality";"Netherlands";"Lung";"0-14";"Female";"1998";"0.00"
"Mortality";"Netherlands";"Lung";"0-14";"Female";"1999";"0.00"
"Mortality";"Netherlands";"Lung";"0-14";"Female";"2000";"0.00"
"Mortality";"Netherlands";"Lung";"0-14";"Female";"2001";"0.00"
"Mortality";"Netherlands";"Lung";"0-14";"Female";"2002";"0.00"
"Mortality";"Netherlands";"Lung";"0-14";"Female";"2003";"0.00"
"Mortality";"Netherlands";"Lung";"0-14";"Female";"2004";"0.00"
"Mortality";"Netherlands";"Lung";"0-14";"Female";"2005";"0.00"
"Mortality";"Netherlands";"Lung";"0-14";"Female";"2006";"0.00"
"Mortality";"Netherlands";"Lung";"0-14";"Female";"2007";"0.00"
"Mortality";"Netherlands";"Lung";"0-14";"Female";"2008";"0.00"
"Mortality";"Netherlands";"Lung";"0-14";"Female";"2009";"0.00"
"Mortality";"Netherlands";"Lung";"0-14";"Female";"2010";"0.00"
"Mortality";"Netherlands";"Lung";"0-14";"Female";"2011";"0.00"
"Mortality";"Netherlands";"Lung";"0-14";"Female";"2012";"0.00"
"Mortality";"Netherlands";"Lung";"0-14";"Female";"2013";"0.00"
"Mortality";"Netherlands";"Lung";"0-14";"Female";"2014";"0.00"
"Mortality";"Netherlands";"Lung";"0-14";"Female";"2015";"0.00"
"Mortality";"Netherlands";"Lung";"0-14";"Female";"2016";"0.00"
"Mortality";"Netherlands";"Lung";"0-14";"Female";"2017";"0.00"
"Mortality";"Netherlands";"Lung";"0-14";"Female";"2018";"0.00"
"Mortality";"Netherlands";"Lung";"0-14";"Female";"2019";"0.00"
"Mortality";"Netherlands";"Lung";"0-14";"Female";"2020";"0.00"
"Mortality";"Netherlands";"Lung";"0-14";"Male";"1989";"0.00"
"Mortality";"Netherlands";"Lung";"0-14";"Male";"1990";"0.00"
"Mortality";"Netherlands";"Lung";"0-14";"Male";"1991";"0.00"
"Mortality";"Netherlands";"Lung";"0-14";"Male";"1992";"0.00"
"Mortality";"Netherlands";"Lung";"0-14";"Male";"1993";"0.00"
"Mortality";"Netherlands";"Lung";"0-14";"Male";"1994";"0.00"
"Mortality";"Netherlands";"Lung";"0-14";"Male";"1995";"0.00"
"Mortality";"Netherlands";"Lung";"0-14";"Male";"1996";"0.00"
"Mortality";"Netherlands";"Lung";"0-14";"Male";"1997";"0.00"
"Mortality";"Netherlands";"Lung";"0-14";"Male";"1998";"0.00"
"Mortality";"Netherlands";"Lung";"0-14";"Male";"1999";"0.00"
"Mortality";"Netherlands";"Lung";"0-14";"Male";"2000";"0.00"
"Mortality";"Netherlands";"Lung";"0-14";"Male";"2001";"0.07"
"Mortality";"Netherlands";"Lung";"0-14";"Male";"2002";"0.00"
"Mortality";"Netherlands";"Lung";"0-14";"Male";"2003";"0.00"
"Mortality";"Netherlands";"Lung";"0-14";"Male";"2004";"0.00"
"Mortality";"Netherlands";"Lung";"0-14";"Male";"2005";"0.00"
"Mortality";"Netherlands";"Lung";"0-14";"Male";"2006";"0.00"
"Mortality";"Netherlands";"Lung";"0-14";"Male";"2007";"0.00"
"Mortality";"Netherlands";"Lung";"0-14";"Male";"2008";"0.00"
"Mortality";"Netherlands";"Lung";"0-14";"Male";"2009";"0.00"
"Mortality";"Netherlands";"Lung";"0-14";"Male";"2010";"0.07"
"Mortality";"Netherlands";"Lung";"0-14";"Male";"2011";"0.00"
"Mortality";"Netherlands";"Lung";"0-14";"Male";"2012";"0.07"
"Mortality";"Netherlands";"Lung";"0-14";"Male";"2013";"0.00"
"Mortality";"Netherlands";"Lung";"0-14";"Male";"2014";"0.00"
"Mortality";"Netherlands";"Lung";"0-14";"Male";"2015";"0.00"
"Mortality";"Netherlands";"Lung";"0-14";"Male";"2016";"0.07"
"Mortality";"Netherlands";"Lung";"0-14";"Male";"2017";"0.00"
"Mortality";"Netherlands";"Lung";"0-14";"Male";"2018";"0.00"
"Mortality";"Netherlands";"Lung";"0-14";"Male";"2019";"0.00"
"Mortality";"Netherlands";"Lung";"0-14";"Male";"2020";"0.07"
"Incidence";"Netherlands";"Lung";"0-14";"Male";"1989";"0.00"
"Incidence";"Netherlands";"Lung";"0-14";"Male";"1990";"0.07"
"Incidence";"Netherlands";"Lung";"0-14";"Male";"1991";"0.07"
"Incidence";"Netherlands";"Lung";"0-14";"Male";"1992";"0.00"
"Incidence";"Netherlands";"Lung";"0-14";"Male";"1993";"0.07"
"Incidence";"Netherlands";"Lung";"0-14";"Male";"1994";"0.00"
"Incidence";"Netherlands";"Lung";"0-14";"Male";"1995";"0.07"
"Incidence";"Netherlands";"Lung";"0-14";"Male";"1996";"0.07"
"Incidence";"Netherlands";"Lung";"0-14";"Male";"1997";"0.00"
"Incidence";"Netherlands";"Lung";"0-14";"Male";"1998";"0.00"
"Incidence";"Netherlands";"Lung";"0-14";"Male";"1999";"0.00"
"Incidence";"Netherlands";"Lung";"0-14";"Male";"2000";"0.00"
"Incidence";"Netherlands";"Lung";"0-14";"Male";"2001";"0.00"
"Incidence";"Netherlands";"Lung";"0-14";"Male";"2002";"0.00"
"Incidence";"Netherlands";"Lung";"0-14";"Male";"2003";"0.06"
"Incidence";"Netherlands";"Lung";"0-14";"Male";"2004";"0.00"
"Incidence";"Netherlands";"Lung";"0-14";"Male";"2005";"0.00"
"Incidence";"Netherlands";"Lung";"0-14";"Male";"2006";"0.07"
"Incidence";"Netherlands";"Lung";"0-14";"Male";"2007";"0.00"
"Incidence";"Netherlands";"Lung";"0-14";"Male";"2008";"0.00"
"Incidence";"Netherlands";"Lung";"0-14";"Male";"2009";"0.07"
"Incidence";"Netherlands";"Lung";"0-14";"Male";"2010";"0.13"
"Incidence";"Netherlands";"Lung";"0-14";"Male";"2011";"0.00"
"Incidence";"Netherlands";"Lung";"0-14";"Male";"2012";"0.00"
"Incidence";"Netherlands";"Lung";"0-14";"Male";"2013";"0.07"
"Incidence";"Netherlands";"Lung";"0-14";"Male";"2014";"0.00"
"Incidence";"Netherlands";"Lung";"0-14";"Male";"2015";"0.00"
"Incidence";"Netherlands";"Lung";"0-14";"Male";"2016";"0.14"
"Incidence";"Netherlands";"Lung";"0-14";"Male";"2017";"0.07"
"Incidence";"Netherlands";"Lung";"0-14";"Male";"2018";"0.00"
"Incidence";"Netherlands";"Lung";"0-14";"Male";"2019";"0.00"
"Incidence";"Netherlands";"Lung";"0-14";"Male";"2020";"0.07"
"Mortality";"Netherlands";"Lung";"15-29";"Female";"1989";"0.06"
"Mortality";"Netherlands";"Lung";"15-29";"Female";"1990";"0.11"
"Mortality";"Netherlands";"Lung";"15-29";"Female";"1991";"0.00"
"Mortality";"Netherlands";"Lung";"15-29";"Female";"1992";"0.06"
"Mortality";"Netherlands";"Lung";"15-29";"Female";"1993";"0.29"
"Mortality";"Netherlands";"Lung";"15-29";"Female";"1994";"0.00"
"Mortality";"Netherlands";"Lung";"15-29";"Female";"1995";"0.06"
"Mortality";"Netherlands";"Lung";"15-29";"Female";"1996";"0.12"
"Mortality";"Netherlands";"Lung";"15-29";"Female";"1997";"0.06"
"Mortality";"Netherlands";"Lung";"15-29";"Female";"1998";"0.06"
"Mortality";"Netherlands";"Lung";"15-29";"Female";"1999";"0.07"
"Mortality";"Netherlands";"Lung";"15-29";"Female";"2000";"0.07"
"Mortality";"Netherlands";"Lung";"15-29";"Female";"2001";"0.14"
"Mortality";"Netherlands";"Lung";"15-29";"Female";"2002";"0.07"
"Mortality";"Netherlands";"Lung";"15-29";"Female";"2003";"0.14"
"Mortality";"Netherlands";"Lung";"15-29";"Female";"2004";"0.07"
"Mortality";"Netherlands";"Lung";"15-29";"Female";"2005";"0.34"
"Mortality";"Netherlands";"Lung";"15-29";"Female";"2006";"0.07"
"Mortality";"Netherlands";"Lung";"15-29";"Female";"2007";"0.14"
"Mortality";"Netherlands";"Lung";"15-29";"Female";"2008";"0.07"
"Mortality";"Netherlands";"Lung";"15-29";"Female";"2009";"0.07"
"Mortality";"Netherlands";"Lung";"15-29";"Female";"2010";"0.20"
"Mortality";"Netherlands";"Lung";"15-29";"Female";"2011";"0.27"
"Mortality";"Netherlands";"Lung";"15-29";"Female";"2012";"0.20"
"Mortality";"Netherlands";"Lung";"15-29";"Female";"2013";"0.07"
"Mortality";"Netherlands";"Lung";"15-29";"Female";"2014";"0.00"
"Mortality";"Netherlands";"Lung";"15-29";"Female";"2015";"0.00"
"Mortality";"Netherlands";"Lung";"15-29";"Female";"2016";"0.06"
"Mortality";"Netherlands";"Lung";"15-29";"Female";"2017";"0.06"
"Mortality";"Netherlands";"Lung";"15-29";"Female";"2018";"0.13"
"Mortality";"Netherlands";"Lung";"15-29";"Female";"2019";"0.00"
"Mortality";"Netherlands";"Lung";"15-29";"Female";"2020";"0.00"
"Incidence";"Netherlands";"Lung";"15-29";"Female";"1989";"0.28"
"Incidence";"Netherlands";"Lung";"15-29";"Female";"1990";"0.28"
"Incidence";"Netherlands";"Lung";"15-29";"Female";"1991";"0.28"
"Incidence";"Netherlands";"Lung";"15-29";"Female";"1992";"0.06"
"Incidence";"Netherlands";"Lung";"15-29";"Female";"1993";"0.41"
"Incidence";"Netherlands";"Lung";"15-29";"Female";"1994";"0.24"
"Incidence";"Netherlands";"Lung";"15-29";"Female";"1995";"0.37"
"Incidence";"Netherlands";"Lung";"15-29";"Female";"1996";"0.31"
"Incidence";"Netherlands";"Lung";"15-29";"Female";"1997";"0.25"
"Incidence";"Netherlands";"Lung";"15-29";"Female";"1998";"0.26"
"Incidence";"Netherlands";"Lung";"15-29";"Female";"1999";"0.13"
"Incidence";"Netherlands";"Lung";"15-29";"Female";"2000";"0.27"
"Incidence";"Netherlands";"Lung";"15-29";"Female";"2001";"0.07"
