"Indicator";"Registry";"Cancer";"Age";"Sex";"Year";"Age-specific Rate"
"Incidence";"Cluj";"Lung";"0-14";"Male";"2008";"0.00"
"Incidence";"Cluj";"Lung";"0-14";"Male";"2009";"0.00"
"Incidence";"Cluj";"Lung";"0-14";"Male";"2010";"0.00"
"Incidence";"Cluj";"Lung";"0-14";"Male";"2011";"0.00"
"Incidence";"Cluj";"Lung";"0-14";"Male";"2012";"0.00"
"Incidence";"Cluj";"Lung";"0-14";"Male";"2013";"0.00"
"Incidence";"Cluj";"Lung";"0-14";"Male";"2014";"0.00"
"Incidence";"Cluj";"Lung";"0-14";"Male";"2015";"0.00"
"Incidence";"Cluj";"Lung";"0-14";"Male";"2016";"0.00"
"Incidence";"Cluj";"Lung";"0-14";"Female";"2008";"0.00"
"Incidence";"Cluj";"Lung";"0-14";"Female";"2009";"0.00"
"Incidence";"Cluj";"Lung";"0-14";"Female";"2010";"0.00"
"Incidence";"Cluj";"Lung";"0-14";"Female";"2011";"0.00"
"Incidence";"Cluj";"Lung";"0-14";"Female";"2012";"0.00"
"Incidence";"Cluj";"Lung";"0-14";"Female";"2013";"0.00"
"Incidence";"Cluj";"Lung";"0-14";"Female";"2014";"0.00"
"Incidence";"Cluj";"Lung";"0-14";"Female";"2015";"0.00"
"Incidence";"Cluj";"Lung";"0-14";"Female";"2016";"0.00"
"Incidence";"Cluj";"Lung";"15-29";"Male";"2008";"0.00"
"Incidence";"Cluj";"Lung";"15-29";"Male";"2009";"0.31"
"Incidence";"Cluj";"Lung";"15-29";"Male";"2010";"0.32"
"Incidence";"Cluj";"Lung";"15-29";"Male";"2011";"0.33"
"Incidence";"Cluj";"Lung";"15-29";"Male";"2012";"0.00"
"Incidence";"Cluj";"Lung";"15-29";"Male";"2013";"0.00"
"Incidence";"Cluj";"Lung";"15-29";"Male";"2014";"0.71"
"Incidence";"Cluj";"Lung";"15-29";"Male";"2015";"0.36"
"Incidence";"Cluj";"Lung";"15-29";"Male";"2016";"0.37"
"Incidence";"Cluj";"Lung";"15-29";"Female";"2008";"0.00"
"Incidence";"Cluj";"Lung";"15-29";"Female";"2009";"0.65"
"Incidence";"Cluj";"Lung";"15-29";"Female";"2010";"0.00"
"Incidence";"Cluj";"Lung";"15-29";"Female";"2011";"0.00"
"Incidence";"Cluj";"Lung";"15-29";"Female";"2012";"0.00"
"Incidence";"Cluj";"Lung";"15-29";"Female";"2013";"0.00"
"Incidence";"Cluj";"Lung";"15-29";"Female";"2014";"0.00"
"Incidence";"Cluj";"Lung";"15-29";"Female";"2015";"0.00"
"Incidence";"Cluj";"Lung";"15-29";"Female";"2016";"0.00"
"Incidence";"Cluj";"Lung";"30-44";"Male";"2008";"5.20"
"Incidence";"Cluj";"Lung";"30-44";"Male";"2009";"7.38"
"Incidence";"Cluj";"Lung";"30-44";"Male";"2010";"6.97"
"Incidence";"Cluj";"Lung";"30-44";"Male";"2011";"6.30"
"Incidence";"Cluj";"Lung";"30-44";"Male";"2012";"5.69"
"Incidence";"Cluj";"Lung";"30-44";"Male";"2013";"3.05"
"Incidence";"Cluj";"Lung";"30-44";"Male";"2014";"3.09"
"Incidence";"Cluj";"Lung";"30-44";"Male";"2015";"3.95"
"Incidence";"Cluj";"Lung";"30-44";"Male";"2016";"5.10"
"Incidence";"Cluj";"Lung";"30-44";"Female";"2008";"3.04"
"Incidence";"Cluj";"Lung";"30-44";"Female";"2009";"2.98"
"Incidence";"Cluj";"Lung";"30-44";"Female";"2010";"3.22"
"Incidence";"Cluj";"Lung";"30-44";"Female";"2011";"2.59"
"Incidence";"Cluj";"Lung";"30-44";"Female";"2012";"1.14"
"Incidence";"Cluj";"Lung";"30-44";"Female";"2013";"2.91"
"Incidence";"Cluj";"Lung";"30-44";"Female";"2014";"4.42"
"Incidence";"Cluj";"Lung";"30-44";"Female";"2015";"2.36"
"Incidence";"Cluj";"Lung";"30-44";"Female";"2016";"2.97"
"Incidence";"Cluj";"Lung";"45-59";"Male";"2008";"116.02"
"Incidence";"Cluj";"Lung";"45-59";"Male";"2009";"112.20"
"Incidence";"Cluj";"Lung";"45-59";"Male";"2010";"125.00"
"Incidence";"Cluj";"Lung";"45-59";"Male";"2011";"107.11"
"Incidence";"Cluj";"Lung";"45-59";"Male";"2012";"113.18"
"Incidence";"Cluj";"Lung";"45-59";"Male";"2013";"83.59"
"Incidence";"Cluj";"Lung";"45-59";"Male";"2014";"89.57"
"Incidence";"Cluj";"Lung";"45-59";"Male";"2015";"70.14"
"Incidence";"Cluj";"Lung";"45-59";"Male";"2016";"75.18"
"Incidence";"Cluj";"Lung";"45-59";"Female";"2008";"23.47"
"Incidence";"Cluj";"Lung";"45-59";"Female";"2009";"21.81"
"Incidence";"Cluj";"Lung";"45-59";"Female";"2010";"29.14"
"Incidence";"Cluj";"Lung";"45-59";"Female";"2011";"23.40"
"Incidence";"Cluj";"Lung";"45-59";"Female";"2012";"26.11"
"Incidence";"Cluj";"Lung";"45-59";"Female";"2013";"27.84"
"Incidence";"Cluj";"Lung";"45-59";"Female";"2014";"22.10"
"Incidence";"Cluj";"Lung";"45-59";"Female";"2015";"16.23"
"Incidence";"Cluj";"Lung";"45-59";"Female";"2016";"22.93"
"Incidence";"Cluj";"Lung";"60-74";"Male";"2008";"300.32"
"Incidence";"Cluj";"Lung";"60-74";"Male";"2009";"277.06"
"Incidence";"Cluj";"Lung";"60-74";"Male";"2010";"261.55"
"Incidence";"Cluj";"Lung";"60-74";"Male";"2011";"294.13"
"Incidence";"Cluj";"Lung";"60-74";"Male";"2012";"262.42"
"Incidence";"Cluj";"Lung";"60-74";"Male";"2013";"220.41"
"Incidence";"Cluj";"Lung";"60-74";"Male";"2014";"255.50"
"Incidence";"Cluj";"Lung";"60-74";"Male";"2015";"221.10"
"Incidence";"Cluj";"Lung";"60-74";"Male";"2016";"239.08"
"Incidence";"Cluj";"Lung";"60-74";"Female";"2008";"39.58"
"Incidence";"Cluj";"Lung";"60-74";"Female";"2009";"46.33"
"Incidence";"Cluj";"Lung";"60-74";"Female";"2010";"45.68"
"Incidence";"Cluj";"Lung";"60-74";"Female";"2011";"52.82"
"Incidence";"Cluj";"Lung";"60-74";"Female";"2012";"53.52"
"Incidence";"Cluj";"Lung";"60-74";"Female";"2013";"39.39"
"Incidence";"Cluj";"Lung";"60-74";"Female";"2014";"50.66"
"Incidence";"Cluj";"Lung";"60-74";"Female";"2015";"40.88"
"Incidence";"Cluj";"Lung";"60-74";"Female";"2016";"49.18"
"Incidence";"Cluj";"Lung";"75-85+";"Male";"2008";"224.53"
"Incidence";"Cluj";"Lung";"75-85+";"Male";"2009";"243.45"
"Incidence";"Cluj";"Lung";"75-85+";"Male";"2010";"236.08"
"Incidence";"Cluj";"Lung";"75-85+";"Male";"2011";"227.72"
"Incidence";"Cluj";"Lung";"75-85+";"Male";"2012";"251.37"
"Incidence";"Cluj";"Lung";"75-85+";"Male";"2013";"230.10"
"Incidence";"Cluj";"Lung";"75-85+";"Male";"2014";"205.81"
"Incidence";"Cluj";"Lung";"75-85+";"Male";"2015";"236.95"
"Incidence";"Cluj";"Lung";"75-85+";"Male";"2016";"221.81"
"Incidence";"Cluj";"Lung";"75-85+";"Female";"2008";"44.67"
"Incidence";"Cluj";"Lung";"75-85+";"Female";"2009";"56.78"
"Incidence";"Cluj";"Lung";"75-85+";"Female";"2010";"58.33"
"Incidence";"Cluj";"Lung";"75-85+";"Female";"2011";"45.29"
"Incidence";"Cluj";"Lung";"75-85+";"Female";"2012";"55.44"
"Incidence";"Cluj";"Lung";"75-85+";"Female";"2013";"60.27"
"Incidence";"Cluj";"Lung";"75-85+";"Female";"2014";"56.83"
"Incidence";"Cluj";"Lung";"75-85+";"Female";"2015";"55.94"
"Incidence";"Cluj";"Lung";"75-85+";"Female";"2016";"63.24"
"Mortality";"Cluj";"Lung";"0-14";"Female";"2011";"0.00"
"Mortality";"Cluj";"Lung";"0-14";"Female";"2012";"0.00"
"Mortality";"Cluj";"Lung";"0-14";"Female";"2013";"0.00"
"Mortality";"Cluj";"Lung";"0-14";"Female";"2014";"0.00"
"Mortality";"Cluj";"Lung";"0-14";"Female";"2015";"0.00"
"Mortality";"Cluj";"Lung";"0-14";"Female";"2016";"0.00"
"Mortality";"Cluj";"Lung";"0-14";"Male";"2011";"0.00"
"Mortality";"Cluj";"Lung";"0-14";"Male";"2012";"0.00"
"Mortality";"Cluj";"Lung";"0-14";"Male";"2013";"0.00"
"Mortality";"Cluj";"Lung";"0-14";"Male";"2014";"0.00"
"Mortality";"Cluj";"Lung";"0-14";"Male";"2015";"0.00"
"Mortality";"Cluj";"Lung";"0-14";"Male";"2016";"0.45"
"Mortality";"Cluj";"Lung";"15-29";"Male";"2011";"0.33"
"Mortality";"Cluj";"Lung";"15-29";"Male";"2012";"0.68"
"Mortality";"Cluj";"Lung";"15-29";"Male";"2013";"0.35"
"Mortality";"Cluj";"Lung";"15-29";"Male";"2014";"1.41"
"Mortality";"Cluj";"Lung";"15-29";"Male";"2015";"0.36"
"Mortality";"Cluj";"Lung";"15-29";"Male";"2016";"0.74"
"Mortality";"Cluj";"Lung";"15-29";"Female";"2011";"0.69"
