"Country";"Incidence - Male";"Incidence - Female"
"Hungary";"6.3";"2.5"
"Portugal";"4.9";"7.0"
"Bulgaria";"4.9";"3.6"
"Denmark";"3.7";"0.8"
"France";"3.3";"3.1"
"Germany";"2.8";"2.2"
"Lithuania";"2.7";"2.5"
"Poland";"2.6";"0.3"
"Romania";"2.5";"2.3"
"Luxembourg";"2.4";"0.0"
"EU-27";"2.0";"1.9"
"Netherlands";"1.9";"2.8"
"Slovakia";"1.7";"0.6"
"Belgium";"1.4";"1.8"
"Ireland";"1.2";"1.0"
"Cyprus";"1.1";"2.0"
"Austria";"1.0";"1.8"
"Sweden";"0.6";"0.7"
"Italy";"0.3";"1.4"
"Czechia";"0.3";"1.4"
"Spain";"0.0";"1.1"
"Greece";"0.0";"2.4"
"Croatia";"0.0";"1.3"
"Malta";"0.0";"0.0"
"Slovenia";"0.0";"0.9"
"Estonia";"0.0";"3.0"
"Finland";"0.0";"0.8"
"Latvia";"0.0";"2.2"

2024 estimates: Incidence/mortality by sex
Incidence, EU-27, Trachea, bronchus and lung, Both sexes, 30 to 44 years, 2024

Notes:
"Age-Standardised Rate (European 2013) per 100,000"

Source: ECIS - European Cancer Information System
From https://ecis.jrc.ec.europa.eu, accessed on 03-03-2026
(c) European Union, 2026
