REF_AREA,Reference area,Pollutant,Measure,Unit of measure,TIME_PERIOD,OBS_VALUE,Frequency of observation
AT11,Burgenland,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,1990,23.717388,Annual
AT12,Lower Austria,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,1990,23.043444,Annual
AT13,Vienna,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,1990,27.040358,Annual
AT21,Carinthia,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,1990,20.349636,Annual
AT22,Styria,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,1990,23.658913,Annual
AT31,Upper Austria,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,1990,21.890829,Annual
AT32,Salzburg,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,1990,19.95639,Annual
AT33,Tyrol,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,1990,18.342983,Annual
AT34,Vorarlberg,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,1990,17.930355,Annual
AU1,New South Wales,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,1990,7.0172296,Annual
AU2,Victoria,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,1990,8.0364227,Annual
AU3,Queensland,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,1990,6.0525551,Annual
AU4,South Australia,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,1990,6.1625943,Annual
AU5,Western Australia,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,1990,8.5049067,Annual
AU6,Tasmania,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,1990,6.591116,Annual
AU7,Northern Territory,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,1990,7.6374865,Annual
AU8,Australian Capital Territory,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,1990,6.1939316,Annual
BE1,Brussels-Capital Region,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,1990,23.887993,Annual
BE2,Flemish Region,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,1990,22.674736,Annual
BE3,Walloon Region,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,1990,20.187599,Annual
BG31,North West,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,1990,28.187902,Annual
BG32,North Central,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,1990,25.593872,Annual
BG33,North East,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,1990,19.023369,Annual
BG34,South East,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,1990,21.475599,Annual
BG41,South West,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,1990,29.150396,Annual
BG42,South Central,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,1990,29.985504,Annual
CA10,Newfoundland and Labrador,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,1990,5.7886953,Annual
CA11,Prince Edward Island,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,1990,5.8632097,Annual
CA12,Nova Scotia,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,1990,7.3052969,Annual
CA13,New Brunswick,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,1990,7.221909,Annual
CA24,Quebec,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,1990,11.555893,Annual
CA35,Ontario,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,1990,10.685698,Annual
CA46,Manitoba,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,1990,7.4610491,Annual
CA47,Saskatchewan,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,1990,9.7679815,Annual
CA48,Alberta,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,1990,9.0695829,Annual
CA59,British Columbia,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,1990,8.4633055,Annual
CA60,Yukon,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,1990,5.6842027,Annual
CA61,Northwest Territories,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,1990,7.8685555,Annual
CA62,Nunavut,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,1990,4.2421861,Annual
CH01,Lake Geneva Region,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,1990,17.824415,Annual
CH02,Espace Mittelland,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,1990,17.318329,Annual
CH03,Northwestern Switzerland,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,1990,20.239965,Annual
CH04,Zurich,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,1990,19.661036,Annual
CH05,Eastern Switzerland,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,1990,16.567856,Annual
CH06,Central Switzerland,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,1990,18.595558,Annual
CH07,Ticino,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,1990,27.641018,Annual
CL01,Tarapacá,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,1990,19.608601,Annual
CL02,Antofagasta,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,1990,14.72656,Annual
CL03,Atacama,Fine particulate matter (PM2.5),Mean population-weighted exposure,Microgrammes per cubic metre,1990,14.023376,Annual
