STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,FREQ,Frequency of observation,TERRITORIAL_LEVEL,Territorial level,REF_AREA,Reference area,TERRITORIAL_TYPE,Territorial typology,MEASURE,Measure,AGE,Age,SEX,Sex,UNIT_MEASURE,Unit of measure,TIME_PERIOD,Time period,OBS_VALUE,Observation value,COUNTRY,Country,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,DECIMALS,Decimals
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_DENSITY(2.4),Population density - Regions,I,A,Annual,TL2,TL2,US18,Indiana,_Z,Not applicable,POP,Population,_T,Total,_T,Total,PS,Persons,2000,,6091866,,USA,United States,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_DENSITY(2.4),Population density - Regions,I,A,Annual,TL2,TL2,US09,Connecticut,_Z,Not applicable,POP,Population,_T,Total,_T,Total,PS,Persons,2000,,3411777,,USA,United States,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_DENSITY(2.4),Population density - Regions,I,A,Annual,TL2,TL2,US44,Rhode Island,_Z,Not applicable,POP,Population,_T,Total,_T,Total,PS,Persons,2000,,1050268,,USA,United States,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_DENSITY(2.4),Population density - Regions,I,A,Annual,TL2,TL2,US04,Arizona,_Z,Not applicable,POP,Population,_T,Total,_T,Total,PS,Persons,2000,,5160586,,USA,United States,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_DENSITY(2.4),Population density - Regions,I,A,Annual,TL2,TL2,US08,Colorado,_Z,Not applicable,POP,Population,_T,Total,_T,Total,PS,Persons,2000,,4326921,,USA,United States,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_DENSITY(2.4),Population density - Regions,I,A,Annual,TL2,TL2,US22,Louisiana,_Z,Not applicable,POP,Population,_T,Total,_T,Total,PS,Persons,2000,,4471885,,USA,United States,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_DENSITY(2.4),Population density - Regions,I,A,Annual,TL2,TL2,US30,Montana,_Z,Not applicable,POP,Population,_T,Total,_T,Total,PS,Persons,2000,,903773,,USA,United States,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_DENSITY(2.4),Population density - Regions,I,A,Annual,TL2,TL2,US34,New Jersey,_Z,Not applicable,POP,Population,_T,Total,_T,Total,PS,Persons,2000,,8430621,,USA,United States,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_DENSITY(2.4),Population density - Regions,I,A,Annual,TL2,TL2,US05,Arkansas,_Z,Not applicable,POP,Population,_T,Total,_T,Total,PS,Persons,2000,,2678588,,USA,United States,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_DENSITY(2.4),Population density - Regions,I,A,Annual,TL2,TL2,US31,Nebraska,_Z,Not applicable,POP,Population,_T,Total,_T,Total,PS,Persons,2000,,1713820,,USA,United States,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_DENSITY(2.4),Population density - Regions,I,A,Annual,TL2,TL2,US01,Alabama,_Z,Not applicable,POP,Population,_T,Total,_T,Total,PS,Persons,2000,,4452173,,USA,United States,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_DENSITY(2.4),Population density - Regions,I,A,Annual,TL2,TL2,US06,California,_Z,Not applicable,POP,Population,_T,Total,_T,Total,PS,Persons,2000,,33987977,,USA,United States,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_DENSITY(2.4),Population density - Regions,I,A,Annual,TL2,TL2,US56,Wyoming,_Z,Not applicable,POP,Population,_T,Total,_T,Total,PS,Persons,2000,,494300,,USA,United States,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_DENSITY(2.4),Population density - Regions,I,A,Annual,TL2,TL2,US28,Mississippi,_Z,Not applicable,POP,Population,_T,Total,_T,Total,PS,Persons,2000,,2848353,,USA,United States,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_DENSITY(2.4),Population density - Regions,I,A,Annual,TL2,TL2,US42,Pennsylvania,_Z,Not applicable,POP,Population,_T,Total,_T,Total,PS,Persons,2000,,12284173,,USA,United States,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_DENSITY(2.4),Population density - Regions,I,A,Annual,TL2,TL2,US11,District of Columbia,_Z,Not applicable,POP,Population,_T,Total,_T,Total,PS,Persons,2000,,572046,,USA,United States,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_DENSITY(2.4),Population density - Regions,I,A,Annual,TL2,TL2,US19,Iowa,_Z,Not applicable,POP,Population,_T,Total,_T,Total,PS,Persons,2000,,2929067,,USA,United States,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_DENSITY(2.4),Population density - Regions,I,A,Annual,TL2,TL2,US36,New York,_Z,Not applicable,POP,Population,_T,Total,_T,Total,PS,Persons,2000,,19001780,,USA,United States,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_DENSITY(2.4),Population density - Regions,I,A,Annual,TL2,TL2,US32,Nevada,_Z,Not applicable,POP,Population,_T,Total,_T,Total,PS,Persons,2000,,2018741,,USA,United States,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_DENSITY(2.4),Population density - Regions,I,A,Annual,TL2,TL2,US20,Kansas,_Z,Not applicable,POP,Population,_T,Total,_T,Total,PS,Persons,2000,,2693681,,USA,United States,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_DENSITY(2.4),Population density - Regions,I,A,Annual,TL2,TL2,US54,West Virginia,_Z,Not applicable,POP,Population,_T,Total,_T,Total,PS,Persons,2000,,1807021,,USA,United States,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_DENSITY(2.4),Population density - Regions,I,A,Annual,TL2,TL2,US45,South Carolina,_Z,Not applicable,POP,Population,_T,Total,_T,Total,PS,Persons,2000,,4024223,,USA,United States,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_DENSITY(2.4),Population density - Regions,I,A,Annual,TL2,TL2,US33,New Hampshire,_Z,Not applicable,POP,Population,_T,Total,_T,Total,PS,Persons,2000,,1239882,,USA,United States,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_DENSITY(2.4),Population density - Regions,I,A,Annual,TL2,TL2,US17,Illinois,_Z,Not applicable,POP,Population,_T,Total,_T,Total,PS,Persons,2000,,12434161,,USA,United States,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_DENSITY(2.4),Population density - Regions,I,A,Annual,TL2,TL2,US02,Alaska,_Z,Not applicable,POP,Population,_T,Total,_T,Total,PS,Persons,2000,,627963,,USA,United States,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_DENSITY(2.4),Population density - Regions,I,A,Annual,TL2,TL2,US47,Tennessee,_Z,Not applicable,POP,Population,_T,Total,_T,Total,PS,Persons,2000,,5703719,,USA,United States,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_DENSITY(2.4),Population density - Regions,I,A,Annual,TL2,TL2,US48,Texas,_Z,Not applicable,POP,Population,_T,Total,_T,Total,PS,Persons,2000,,20944499,,USA,United States,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_DENSITY(2.4),Population density - Regions,I,A,Annual,TL2,TL2,US41,Oregon,_Z,Not applicable,POP,Population,_T,Total,_T,Total,PS,Persons,2000,,3429708,,USA,United States,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_DENSITY(2.4),Population density - Regions,I,A,Annual,TL2,TL2,US27,Minnesota,_Z,Not applicable,POP,Population,_T,Total,_T,Total,PS,Persons,2000,,4933692,,USA,United States,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_DENSITY(2.4),Population density - Regions,I,A,Annual,TL2,TL2,US39,Ohio,_Z,Not applicable,POP,Population,_T,Total,_T,Total,PS,Persons,2000,,11363543,,USA,United States,A,Normal value,0,Units,0,Zero
