PathwayDiseaseAssociation,PathwayId,PathwayName,DiseaseCui,DiseaseName,GeneProductId,GeneProductName
C0007131-WP4255,WP4255,Non-small cell lung cancer,C0007131,Non-Small Cell Lung Carcinoma,AKT1,AKT1
C0149925-WP4658,WP4658,Small cell lung cancer,C0149925,Small cell carcinoma of lung,AKT1,AKT1
C0007131-WP4255,WP4255,Non-small cell lung cancer,C0007131,Non-Small Cell Lung Carcinoma,AKT2,AKT2
C0149925-WP4658,WP4658,Small cell lung cancer,C0149925,Small cell carcinoma of lung,AKT2,AKT2
C0007131-WP4255,WP4255,Non-small cell lung cancer,C0007131,Non-Small Cell Lung Carcinoma,AKT3,AKT3
C0149925-WP4658,WP4658,Small cell lung cancer,C0149925,Small cell carcinoma of lung,AKT3,AKT3
C0007131-WP4255,WP4255,Non-small cell lung cancer,C0007131,Non-Small Cell Lung Carcinoma,ALK,ALK
C0149925-WP4658,WP4658,Small cell lung cancer,C0149925,Small cell carcinoma of lung,APAF1,APAF1
C0007131-WP4255,WP4255,Non-small cell lung cancer,C0007131,Non-Small Cell Lung Carcinoma,ARAF,ARAF
C0007131-WP4255,WP4255,Non-small cell lung cancer,C0007131,Non-Small Cell Lung Carcinoma,BAD,BAD
C0007131-WP4255,WP4255,Non-small cell lung cancer,C0007131,Non-Small Cell Lung Carcinoma,BAK1,BAK1
C0149925-WP4658,WP4658,Small cell lung cancer,C0149925,Small cell carcinoma of lung,BAK1,BAK1
C0007131-WP4255,WP4255,Non-small cell lung cancer,C0007131,Non-Small Cell Lung Carcinoma,BAX,BAX
C0149925-WP4658,WP4658,Small cell lung cancer,C0149925,Small cell carcinoma of lung,BAX,BAX
C0149925-WP4658,WP4658,Small cell lung cancer,C0149925,Small cell carcinoma of lung,BCL2,BCL2
C0149925-WP4658,WP4658,Small cell lung cancer,C0149925,Small cell carcinoma of lung,BCL2L1,BCL2L1
C0007131-WP4255,WP4255,Non-small cell lung cancer,C0007131,Non-Small Cell Lung Carcinoma,BID,BID
C0149925-WP4658,WP4658,Small cell lung cancer,C0149925,Small cell carcinoma of lung,BID,BID
C0149925-WP4658,WP4658,Small cell lung cancer,C0149925,Small cell carcinoma of lung,BIRC2,BIRC2
C0149925-WP4658,WP4658,Small cell lung cancer,C0149925,Small cell carcinoma of lung,BIRC3,BIRC3
C0149925-WP4658,WP4658,Small cell lung cancer,C0149925,Small cell carcinoma of lung,BIRC7,BIRC7
C0149925-WP4658,WP4658,Small cell lung cancer,C0149925,Small cell carcinoma of lung,BIRC8,BIRC8
C0007131-WP4255,WP4255,Non-small cell lung cancer,C0007131,Non-Small Cell Lung Carcinoma,BRAF,BRAF
C0007131-WP4255,WP4255,Non-small cell lung cancer,C0007131,Non-Small Cell Lung Carcinoma,CASP3,CASP3
C0149925-WP4658,WP4658,Small cell lung cancer,C0149925,Small cell carcinoma of lung,CASP3,CASP3
C0007131-WP4255,WP4255,Non-small cell lung cancer,C0007131,Non-Small Cell Lung Carcinoma,CASP8,CASP8
C0149925-WP4658,WP4658,Small cell lung cancer,C0149925,Small cell carcinoma of lung,CASP8,CASP8
C0007131-WP4255,WP4255,Non-small cell lung cancer,C0007131,Non-Small Cell Lung Carcinoma,CASP9,CASP9
C0149925-WP4658,WP4658,Small cell lung cancer,C0149925,Small cell carcinoma of lung,CASP9,CASP9
