DiseaseName,DiseaseCode,Country,CountryCode,Registry,Gender,AgeGroup,Incidence,MortalityRate,Year
Malignant neoplasm of lung,C0242379,Finland,FI,Finland,Female,0-14,0.0,0.0,1953
Malignant neoplasm of lung,C0242379,Finland,FI,Finland,Female,15-29,0.0,0.0,1953
Malignant neoplasm of lung,C0242379,Finland,FI,Finland,Female,30-44,1.33,1.33,1953
Malignant neoplasm of lung,C0242379,Finland,FI,Finland,Female,45-59,5.45,5.18,1953
Malignant neoplasm of lung,C0242379,Finland,FI,Finland,Female,60-74,18.02,19.0,1953
Malignant neoplasm of lung,C0242379,Finland,FI,Finland,Female,75-85+,37.87,34.26,1953
Malignant neoplasm of lung,C0242379,Finland,FI,Finland,Male,0-14,0.0,0.0,1953
Malignant neoplasm of lung,C0242379,Finland,FI,Finland,Male,15-29,0.42,0.21,1953
Malignant neoplasm of lung,C0242379,Finland,FI,Finland,Male,30-44,8.9,6.86,1953
Malignant neoplasm of lung,C0242379,Finland,FI,Finland,Male,45-59,114.19,105.14,1953
Malignant neoplasm of lung,C0242379,Finland,FI,Finland,Male,60-74,310.14,270.92,1953
Malignant neoplasm of lung,C0242379,Finland,FI,Finland,Male,75-85+,274.78,233.04,1953
Malignant neoplasm of lung,C0242379,Norway,NO,Norway,Female,0-14,0.0,,1953
Malignant neoplasm of lung,C0242379,Norway,NO,Norway,Female,15-29,0.62,,1953
Malignant neoplasm of lung,C0242379,Norway,NO,Norway,Female,30-44,0.0,,1953
Malignant neoplasm of lung,C0242379,Norway,NO,Norway,Female,45-59,2.88,,1953
Malignant neoplasm of lung,C0242379,Norway,NO,Norway,Female,60-74,9.95,,1953
Malignant neoplasm of lung,C0242379,Norway,NO,Norway,Female,75-85+,8.52,,1953
Malignant neoplasm of lung,C0242379,Norway,NO,Norway,Male,0-14,0.0,,1953
Malignant neoplasm of lung,C0242379,Norway,NO,Norway,Male,15-29,0.59,,1953
Malignant neoplasm of lung,C0242379,Norway,NO,Norway,Male,30-44,2.08,,1953
Malignant neoplasm of lung,C0242379,Norway,NO,Norway,Male,45-59,27.71,,1953
Malignant neoplasm of lung,C0242379,Norway,NO,Norway,Male,60-74,38.33,,1953
Malignant neoplasm of lung,C0242379,Norway,NO,Norway,Male,75-85+,9.22,,1953
Malignant neoplasm of lung,C0242379,Finland,FI,Finland,Female,0-14,0.0,0.0,1954
Malignant neoplasm of lung,C0242379,Finland,FI,Finland,Female,15-29,0.0,0.43,1954
Malignant neoplasm of lung,C0242379,Finland,FI,Finland,Female,30-44,1.78,1.11,1954
