Notes,Cancer Sites,Cancer Sites Code,Sex,Sex Code,Year,Year Code,age,age_code,Ethnicity,Ethnicity Code,Count,disease_id,disease_name,mcs_id,mcs_name,people_id,vs_id,country_id,country_name,country
,Lung and Bronchus,22030,Female,F,1999,1999.0,20-24 years,20-24,Non-Hispanic,2186-5,21,C0242379,Malignant neoplasm of lung,C1513750,Multiple Cancer Sites,people_20-24_female_non-hispanic,vstat_C0242379_US_PRI_20-24_female_non-hispanic,US_PRI,United States and Puerto Rico,United States and Puerto Rico
,Lung and Bronchus,22030,Female,F,1999,1999.0,25-29 years,25-29,Non-Hispanic,2186-5,52,C0242379,Malignant neoplasm of lung,C1513750,Multiple Cancer Sites,people_25-29_female_non-hispanic,vstat_C0242379_US_PRI_25-29_female_non-hispanic,US_PRI,United States and Puerto Rico,United States and Puerto Rico
,Lung and Bronchus,22030,Female,F,1999,1999.0,30-34 years,30-34,Non-Hispanic,2186-5,135,C0242379,Malignant neoplasm of lung,C1513750,Multiple Cancer Sites,people_30-34_female_non-hispanic,vstat_C0242379_US_PRI_30-34_female_non-hispanic,US_PRI,United States and Puerto Rico,United States and Puerto Rico
,Lung and Bronchus,22030,Female,F,1999,1999.0,35-39 years,35-39,Hispanic,2135-2,38,C0242379,Malignant neoplasm of lung,C1513750,Multiple Cancer Sites,people_35-39_female_hispanic,vstat_C0242379_US_PRI_35-39_female_hispanic,US_PRI,United States and Puerto Rico,United States and Puerto Rico
,Lung and Bronchus,22030,Female,F,1999,1999.0,35-39 years,35-39,Non-Hispanic,2186-5,555,C0242379,Malignant neoplasm of lung,C1513750,Multiple Cancer Sites,people_35-39_female_non-hispanic,vstat_C0242379_US_PRI_35-39_female_non-hispanic,US_PRI,United States and Puerto Rico,United States and Puerto Rico
,Lung and Bronchus,22030,Female,F,1999,1999.0,40-44 years,40-44,Hispanic,2135-2,73,C0242379,Malignant neoplasm of lung,C1513750,Multiple Cancer Sites,people_40-44_female_hispanic,vstat_C0242379_US_PRI_40-44_female_hispanic,US_PRI,United States and Puerto Rico,United States and Puerto Rico
,Lung and Bronchus,22030,Female,F,1999,1999.0,40-44 years,40-44,Non-Hispanic,2186-5,1474,C0242379,Malignant neoplasm of lung,C1513750,Multiple Cancer Sites,people_40-44_female_non-hispanic,vstat_C0242379_US_PRI_40-44_female_non-hispanic,US_PRI,United States and Puerto Rico,United States and Puerto Rico
,Lung and Bronchus,22030,Female,F,1999,1999.0,45-49 years,45-49,Hispanic,2135-2,99,C0242379,Malignant neoplasm of lung,C1513750,Multiple Cancer Sites,people_45-49_female_hispanic,vstat_C0242379_US_PRI_45-49_female_hispanic,US_PRI,United States and Puerto Rico,United States and Puerto Rico
,Lung and Bronchus,22030,Female,F,1999,1999.0,45-49 years,45-49,Non-Hispanic,2186-5,2501,C0242379,Malignant neoplasm of lung,C1513750,Multiple Cancer Sites,people_45-49_female_non-hispanic,vstat_C0242379_US_PRI_45-49_female_non-hispanic,US_PRI,United States and Puerto Rico,United States and Puerto Rico
,Lung and Bronchus,22030,Female,F,1999,1999.0,50-54 years,50-54,Hispanic,2135-2,165,C0242379,Malignant neoplasm of lung,C1513750,Multiple Cancer Sites,people_50-54_female_hispanic,vstat_C0242379_US_PRI_50-54_female_hispanic,US_PRI,United States and Puerto Rico,United States and Puerto Rico
,Lung and Bronchus,22030,Female,F,1999,1999.0,50-54 years,50-54,Non-Hispanic,2186-5,4455,C0242379,Malignant neoplasm of lung,C1513750,Multiple Cancer Sites,people_50-54_female_non-hispanic,vstat_C0242379_US_PRI_50-54_female_non-hispanic,US_PRI,United States and Puerto Rico,United States and Puerto Rico
