"Indicator";"Registry";"Cancer";"Age";"Sex";"Year";"Age-specific Rate"
"Incidence";"Belgium";"Lung";"0-14";"Male";"2004";"0.00"
"Incidence";"Belgium";"Lung";"0-14";"Male";"2005";"0.00"
"Incidence";"Belgium";"Lung";"0-14";"Male";"2006";"0.11"
"Incidence";"Belgium";"Lung";"0-14";"Male";"2007";"0.00"
"Incidence";"Belgium";"Lung";"0-14";"Male";"2008";"0.11"
"Incidence";"Belgium";"Lung";"0-14";"Male";"2009";"0.00"
"Incidence";"Belgium";"Lung";"0-14";"Male";"2010";"0.00"
"Incidence";"Belgium";"Lung";"0-14";"Male";"2011";"0.00"
"Incidence";"Belgium";"Lung";"0-14";"Male";"2012";"0.10"
"Incidence";"Belgium";"Lung";"0-14";"Male";"2013";"0.00"
"Incidence";"Belgium";"Lung";"0-14";"Male";"2014";"0.00"
"Incidence";"Belgium";"Lung";"0-14";"Male";"2015";"0.21"
"Incidence";"Belgium";"Lung";"0-14";"Male";"2016";"0.00"
"Incidence";"Belgium";"Lung";"0-14";"Male";"2017";"0.10"
"Incidence";"Belgium";"Lung";"0-14";"Male";"2018";"0.00"
"Incidence";"Belgium";"Lung";"0-14";"Male";"2019";"0.00"
"Incidence";"Belgium";"Lung";"0-14";"Male";"2020";"0.00"
"Mortality";"Belgium";"Lung";"0-14";"Male";"2004";"0.00"
"Mortality";"Belgium";"Lung";"0-14";"Male";"2005";"0.11"
"Mortality";"Belgium";"Lung";"0-14";"Male";"2006";"0.00"
"Mortality";"Belgium";"Lung";"0-14";"Male";"2007";"0.00"
"Mortality";"Belgium";"Lung";"0-14";"Male";"2008";"0.00"
"Mortality";"Belgium";"Lung";"0-14";"Male";"2009";"0.00"
"Mortality";"Belgium";"Lung";"0-14";"Male";"2010";"0.00"
"Mortality";"Belgium";"Lung";"0-14";"Male";"2011";"0.00"
"Mortality";"Belgium";"Lung";"0-14";"Male";"2012";"0.00"
"Mortality";"Belgium";"Lung";"0-14";"Male";"2013";"0.00"
"Mortality";"Belgium";"Lung";"0-14";"Male";"2014";"0.00"
"Mortality";"Belgium";"Lung";"0-14";"Male";"2015";"0.00"
"Mortality";"Belgium";"Lung";"0-14";"Male";"2016";"0.00"
"Mortality";"Belgium";"Lung";"0-14";"Male";"2017";"0.10"
"Mortality";"Belgium";"Lung";"0-14";"Male";"2018";"0.00"
"Mortality";"Belgium";"Lung";"0-14";"Male";"2019";"0.00"
"Mortality";"Belgium";"Lung";"0-14";"Male";"2020";"0.00"
"Mortality";"Belgium";"Lung";"0-14";"Female";"2004";"0.00"
"Mortality";"Belgium";"Lung";"0-14";"Female";"2005";"0.00"
"Mortality";"Belgium";"Lung";"0-14";"Female";"2006";"0.00"
"Mortality";"Belgium";"Lung";"0-14";"Female";"2007";"0.00"
"Mortality";"Belgium";"Lung";"0-14";"Female";"2008";"0.00"
"Mortality";"Belgium";"Lung";"0-14";"Female";"2009";"0.00"
"Mortality";"Belgium";"Lung";"0-14";"Female";"2010";"0.00"
"Mortality";"Belgium";"Lung";"0-14";"Female";"2011";"0.00"
"Mortality";"Belgium";"Lung";"0-14";"Female";"2012";"0.00"
"Mortality";"Belgium";"Lung";"0-14";"Female";"2013";"0.00"
"Mortality";"Belgium";"Lung";"0-14";"Female";"2014";"0.00"
"Mortality";"Belgium";"Lung";"0-14";"Female";"2015";"0.00"
"Mortality";"Belgium";"Lung";"0-14";"Female";"2016";"0.00"
"Mortality";"Belgium";"Lung";"0-14";"Female";"2017";"0.00"
"Mortality";"Belgium";"Lung";"0-14";"Female";"2018";"0.00"
"Mortality";"Belgium";"Lung";"0-14";"Female";"2019";"0.00"
"Mortality";"Belgium";"Lung";"0-14";"Female";"2020";"0.00"
"Incidence";"Belgium";"Lung";"0-14";"Female";"2004";"0.00"
"Incidence";"Belgium";"Lung";"0-14";"Female";"2005";"0.00"
"Incidence";"Belgium";"Lung";"0-14";"Female";"2006";"0.11"
"Incidence";"Belgium";"Lung";"0-14";"Female";"2007";"0.00"
"Incidence";"Belgium";"Lung";"0-14";"Female";"2008";"0.00"
"Incidence";"Belgium";"Lung";"0-14";"Female";"2009";"0.00"
"Incidence";"Belgium";"Lung";"0-14";"Female";"2010";"0.00"
"Incidence";"Belgium";"Lung";"0-14";"Female";"2011";"0.00"
"Incidence";"Belgium";"Lung";"0-14";"Female";"2012";"0.00"
"Incidence";"Belgium";"Lung";"0-14";"Female";"2013";"0.11"
"Incidence";"Belgium";"Lung";"0-14";"Female";"2014";"0.00"
"Incidence";"Belgium";"Lung";"0-14";"Female";"2015";"0.00"
"Incidence";"Belgium";"Lung";"0-14";"Female";"2016";"0.00"
"Incidence";"Belgium";"Lung";"0-14";"Female";"2017";"0.21"
"Incidence";"Belgium";"Lung";"0-14";"Female";"2018";"0.00"
"Incidence";"Belgium";"Lung";"0-14";"Female";"2019";"0.00"
"Incidence";"Belgium";"Lung";"0-14";"Female";"2020";"0.00"
"Mortality";"Belgium";"Lung";"15-29";"Female";"2004";"0.11"
"Mortality";"Belgium";"Lung";"15-29";"Female";"2005";"0.00"
"Mortality";"Belgium";"Lung";"15-29";"Female";"2006";"0.10"
"Mortality";"Belgium";"Lung";"15-29";"Female";"2007";"0.10"
"Mortality";"Belgium";"Lung";"15-29";"Female";"2008";"0.10"
"Mortality";"Belgium";"Lung";"15-29";"Female";"2009";"0.00"
"Mortality";"Belgium";"Lung";"15-29";"Female";"2010";"0.00"
"Mortality";"Belgium";"Lung";"15-29";"Female";"2011";"0.30"
"Mortality";"Belgium";"Lung";"15-29";"Female";"2012";"0.00"
"Mortality";"Belgium";"Lung";"15-29";"Female";"2013";"0.00"
"Mortality";"Belgium";"Lung";"15-29";"Female";"2014";"0.10"
"Mortality";"Belgium";"Lung";"15-29";"Female";"2015";"0.10"
"Mortality";"Belgium";"Lung";"15-29";"Female";"2016";"0.00"
"Mortality";"Belgium";"Lung";"15-29";"Female";"2017";"0.00"
"Mortality";"Belgium";"Lung";"15-29";"Female";"2018";"0.00"
"Mortality";"Belgium";"Lung";"15-29";"Female";"2019";"0.20"
"Mortality";"Belgium";"Lung";"15-29";"Female";"2020";"0.00"
"Incidence";"Belgium";"Lung";"15-29";"Male";"2004";"0.21"
"Incidence";"Belgium";"Lung";"15-29";"Male";"2005";"0.31"
"Incidence";"Belgium";"Lung";"15-29";"Male";"2006";"0.31"
"Incidence";"Belgium";"Lung";"15-29";"Male";"2007";"0.20"
"Incidence";"Belgium";"Lung";"15-29";"Male";"2008";"0.40"
"Incidence";"Belgium";"Lung";"15-29";"Male";"2009";"0.60"
"Incidence";"Belgium";"Lung";"15-29";"Male";"2010";"0.50"
"Incidence";"Belgium";"Lung";"15-29";"Male";"2011";"0.49"
"Incidence";"Belgium";"Lung";"15-29";"Male";"2012";"0.39"
"Incidence";"Belgium";"Lung";"15-29";"Male";"2013";"0.39"
"Incidence";"Belgium";"Lung";"15-29";"Male";"2014";"0.68"
"Incidence";"Belgium";"Lung";"15-29";"Male";"2015";"0.20"
"Incidence";"Belgium";"Lung";"15-29";"Male";"2016";"0.29"
"Incidence";"Belgium";"Lung";"15-29";"Male";"2017";"0.10"
"Incidence";"Belgium";"Lung";"15-29";"Male";"2018";"0.29"
"Incidence";"Belgium";"Lung";"15-29";"Male";"2019";"0.58"
"Incidence";"Belgium";"Lung";"15-29";"Male";"2020";"0.10"
"Mortality";"Belgium";"Lung";"15-29";"Male";"2004";"0.10"
"Mortality";"Belgium";"Lung";"15-29";"Male";"2005";"0.31"
"Mortality";"Belgium";"Lung";"15-29";"Male";"2006";"0.31"
"Mortality";"Belgium";"Lung";"15-29";"Male";"2007";"0.00"
"Mortality";"Belgium";"Lung";"15-29";"Male";"2008";"0.00"
"Mortality";"Belgium";"Lung";"15-29";"Male";"2009";"0.00"
"Mortality";"Belgium";"Lung";"15-29";"Male";"2010";"0.10"
"Mortality";"Belgium";"Lung";"15-29";"Male";"2011";"0.20"
"Mortality";"Belgium";"Lung";"15-29";"Male";"2012";"0.20"
"Mortality";"Belgium";"Lung";"15-29";"Male";"2013";"0.20"
"Mortality";"Belgium";"Lung";"15-29";"Male";"2014";"0.00"
"Mortality";"Belgium";"Lung";"15-29";"Male";"2015";"0.00"
"Mortality";"Belgium";"Lung";"15-29";"Male";"2016";"0.10"
"Mortality";"Belgium";"Lung";"15-29";"Male";"2017";"0.00"
"Mortality";"Belgium";"Lung";"15-29";"Male";"2018";"0.00"
"Mortality";"Belgium";"Lung";"15-29";"Male";"2019";"0.00"
"Mortality";"Belgium";"Lung";"15-29";"Male";"2020";"0.00"
"Incidence";"Belgium";"Lung";"15-29";"Female";"2004";"0.42"
"Incidence";"Belgium";"Lung";"15-29";"Female";"2005";"0.32"
"Incidence";"Belgium";"Lung";"15-29";"Female";"2006";"0.42"
"Incidence";"Belgium";"Lung";"15-29";"Female";"2007";"0.10"
"Incidence";"Belgium";"Lung";"15-29";"Female";"2008";"0.61"
"Incidence";"Belgium";"Lung";"15-29";"Female";"2009";"0.40"
"Incidence";"Belgium";"Lung";"15-29";"Female";"2010";"0.50"
"Incidence";"Belgium";"Lung";"15-29";"Female";"2011";"0.20"
"Incidence";"Belgium";"Lung";"15-29";"Female";"2012";"0.70"
"Incidence";"Belgium";"Lung";"15-29";"Female";"2013";"0.60"
"Incidence";"Belgium";"Lung";"15-29";"Female";"2014";"0.20"
"Incidence";"Belgium";"Lung";"15-29";"Female";"2015";"0.40"
"Incidence";"Belgium";"Lung";"15-29";"Female";"2016";"0.69"
"Incidence";"Belgium";"Lung";"15-29";"Female";"2017";"0.10"
"Incidence";"Belgium";"Lung";"15-29";"Female";"2018";"0.60"
"Incidence";"Belgium";"Lung";"15-29";"Female";"2019";"0.30"
"Incidence";"Belgium";"Lung";"15-29";"Female";"2020";"0.30"
"Incidence";"Belgium";"Lung";"30-44";"Male";"2004";"6.02"
"Incidence";"Belgium";"Lung";"30-44";"Male";"2005";"7.28"
"Incidence";"Belgium";"Lung";"30-44";"Male";"2006";"6.13"
"Incidence";"Belgium";"Lung";"30-44";"Male";"2007";"7.40"
"Incidence";"Belgium";"Lung";"30-44";"Male";"2008";"6.04"
"Incidence";"Belgium";"Lung";"30-44";"Male";"2009";"5.98"
"Incidence";"Belgium";"Lung";"30-44";"Male";"2010";"5.75"
"Incidence";"Belgium";"Lung";"30-44";"Male";"2011";"5.13"
"Incidence";"Belgium";"Lung";"30-44";"Male";"2012";"5.05"
"Incidence";"Belgium";"Lung";"30-44";"Male";"2013";"5.86"
"Incidence";"Belgium";"Lung";"30-44";"Male";"2014";"6.07"
"Incidence";"Belgium";"Lung";"30-44";"Male";"2015";"5.11"
"Incidence";"Belgium";"Lung";"30-44";"Male";"2016";"4.59"
"Incidence";"Belgium";"Lung";"30-44";"Male";"2017";"5.69"
"Incidence";"Belgium";"Lung";"30-44";"Male";"2018";"4.97"
"Incidence";"Belgium";"Lung";"30-44";"Male";"2019";"5.59"
"Incidence";"Belgium";"Lung";"30-44";"Male";"2020";"5.29"
"Mortality";"Belgium";"Lung";"30-44";"Male";"2004";"4.41"
"Mortality";"Belgium";"Lung";"30-44";"Male";"2005";"4.11"
"Mortality";"Belgium";"Lung";"30-44";"Male";"2006";"3.97"
"Mortality";"Belgium";"Lung";"30-44";"Male";"2007";"4.26"
"Mortality";"Belgium";"Lung";"30-44";"Male";"2008";"3.33"
"Mortality";"Belgium";"Lung";"30-44";"Male";"2009";"5.02"
"Mortality";"Belgium";"Lung";"30-44";"Male";"2010";"3.72"
"Mortality";"Belgium";"Lung";"30-44";"Male";"2011";"3.18"
"Mortality";"Belgium";"Lung";"30-44";"Male";"2012";"2.30"
"Mortality";"Belgium";"Lung";"30-44";"Male";"2013";"2.66"
"Mortality";"Belgium";"Lung";"30-44";"Male";"2014";"2.94"
"Mortality";"Belgium";"Lung";"30-44";"Male";"2015";"3.05"
"Mortality";"Belgium";"Lung";"30-44";"Male";"2016";"3.24"
"Mortality";"Belgium";"Lung";"30-44";"Male";"2017";"2.08"
"Mortality";"Belgium";"Lung";"30-44";"Male";"2018";"1.90"
"Mortality";"Belgium";"Lung";"30-44";"Male";"2019";"2.43"
"Mortality";"Belgium";"Lung";"30-44";"Male";"2020";"2.87"
"Mortality";"Belgium";"Lung";"30-44";"Female";"2004";"2.87"
"Mortality";"Belgium";"Lung";"30-44";"Female";"2005";"3.68"
"Mortality";"Belgium";"Lung";"30-44";"Female";"2006";"3.45"
"Mortality";"Belgium";"Lung";"30-44";"Female";"2007";"2.23"
"Mortality";"Belgium";"Lung";"30-44";"Female";"2008";"2.69"
"Mortality";"Belgium";"Lung";"30-44";"Female";"2009";"3.15"
"Mortality";"Belgium";"Lung";"30-44";"Female";"2010";"3.17"
"Mortality";"Belgium";"Lung";"30-44";"Female";"2011";"2.53"
"Mortality";"Belgium";"Lung";"30-44";"Female";"2012";"2.89"
"Mortality";"Belgium";"Lung";"30-44";"Female";"2013";"2.26"
"Mortality";"Belgium";"Lung";"30-44";"Female";"2014";"3.08"
"Mortality";"Belgium";"Lung";"30-44";"Female";"2015";"1.54"
"Mortality";"Belgium";"Lung";"30-44";"Female";"2016";"2.09"
"Mortality";"Belgium";"Lung";"30-44";"Female";"2017";"1.91"
"Mortality";"Belgium";"Lung";"30-44";"Female";"2018";"2.09"
"Mortality";"Belgium";"Lung";"30-44";"Female";"2019";"1.63"
"Mortality";"Belgium";"Lung";"30-44";"Female";"2020";"1.80"
"Incidence";"Belgium";"Lung";"30-44";"Female";"2004";"5.21"
"Incidence";"Belgium";"Lung";"30-44";"Female";"2005";"5.00"
"Incidence";"Belgium";"Lung";"30-44";"Female";"2006";"5.66"
"Incidence";"Belgium";"Lung";"30-44";"Female";"2007";"5.26"
"Incidence";"Belgium";"Lung";"30-44";"Female";"2008";"5.91"
"Incidence";"Belgium";"Lung";"30-44";"Female";"2009";"5.22"
"Incidence";"Belgium";"Lung";"30-44";"Female";"2010";"6.06"
"Incidence";"Belgium";"Lung";"30-44";"Female";"2011";"5.33"
"Incidence";"Belgium";"Lung";"30-44";"Female";"2012";"4.25"
"Incidence";"Belgium";"Lung";"30-44";"Female";"2013";"5.51"
"Incidence";"Belgium";"Lung";"30-44";"Female";"2014";"5.80"
"Incidence";"Belgium";"Lung";"30-44";"Female";"2015";"3.90"
"Incidence";"Belgium";"Lung";"30-44";"Female";"2016";"4.37"
