"Indicator";"Registry";"Cancer";"Age";"Sex";"Year";"Age-specific Rate"
"Incidence";"Bulgaria";"Lung";"0-14";"Male";"1993";"0.00"
"Incidence";"Bulgaria";"Lung";"0-14";"Male";"1994";"0.00"
"Incidence";"Bulgaria";"Lung";"0-14";"Male";"1995";"0.00"
"Incidence";"Bulgaria";"Lung";"0-14";"Male";"1996";"0.00"
"Incidence";"Bulgaria";"Lung";"0-14";"Male";"1997";"0.00"
"Incidence";"Bulgaria";"Lung";"0-14";"Male";"1998";"0.00"
"Incidence";"Bulgaria";"Lung";"0-14";"Male";"1999";"0.00"
"Incidence";"Bulgaria";"Lung";"0-14";"Male";"2000";"0.15"
"Incidence";"Bulgaria";"Lung";"0-14";"Male";"2001";"0.00"
"Incidence";"Bulgaria";"Lung";"0-14";"Male";"2002";"0.00"
"Incidence";"Bulgaria";"Lung";"0-14";"Male";"2003";"0.00"
"Incidence";"Bulgaria";"Lung";"0-14";"Male";"2004";"0.00"
"Incidence";"Bulgaria";"Lung";"0-14";"Male";"2005";"0.00"
"Incidence";"Bulgaria";"Lung";"0-14";"Male";"2006";"0.00"
"Incidence";"Bulgaria";"Lung";"0-14";"Male";"2007";"0.00"
"Incidence";"Bulgaria";"Lung";"0-14";"Male";"2008";"0.19"
"Incidence";"Bulgaria";"Lung";"0-14";"Male";"2009";"0.00"
"Incidence";"Bulgaria";"Lung";"0-14";"Male";"2010";"0.00"
"Incidence";"Bulgaria";"Lung";"0-14";"Male";"2011";"0.00"
"Incidence";"Bulgaria";"Lung";"0-14";"Male";"2012";"0.00"
"Incidence";"Bulgaria";"Lung";"0-14";"Male";"2013";"0.00"
"Incidence";"Bulgaria";"Lung";"0-14";"Male";"2014";"0.00"
"Incidence";"Bulgaria";"Lung";"0-14";"Male";"2015";"0.00"
"Incidence";"Bulgaria";"Lung";"0-14";"Female";"1993";"0.00"
"Incidence";"Bulgaria";"Lung";"0-14";"Female";"1994";"0.00"
"Incidence";"Bulgaria";"Lung";"0-14";"Female";"1995";"0.00"
"Incidence";"Bulgaria";"Lung";"0-14";"Female";"1996";"0.00"
"Incidence";"Bulgaria";"Lung";"0-14";"Female";"1997";"0.00"
"Incidence";"Bulgaria";"Lung";"0-14";"Female";"1998";"0.00"
"Incidence";"Bulgaria";"Lung";"0-14";"Female";"1999";"0.00"
"Incidence";"Bulgaria";"Lung";"0-14";"Female";"2000";"0.00"
"Incidence";"Bulgaria";"Lung";"0-14";"Female";"2001";"0.00"
"Incidence";"Bulgaria";"Lung";"0-14";"Female";"2002";"0.00"
"Incidence";"Bulgaria";"Lung";"0-14";"Female";"2003";"0.37"
"Incidence";"Bulgaria";"Lung";"0-14";"Female";"2004";"0.00"
"Incidence";"Bulgaria";"Lung";"0-14";"Female";"2005";"0.19"
"Incidence";"Bulgaria";"Lung";"0-14";"Female";"2006";"0.00"
"Incidence";"Bulgaria";"Lung";"0-14";"Female";"2007";"0.00"
"Incidence";"Bulgaria";"Lung";"0-14";"Female";"2008";"0.00"
"Incidence";"Bulgaria";"Lung";"0-14";"Female";"2009";"0.00"
"Incidence";"Bulgaria";"Lung";"0-14";"Female";"2010";"0.00"
"Incidence";"Bulgaria";"Lung";"0-14";"Female";"2011";"0.00"
"Incidence";"Bulgaria";"Lung";"0-14";"Female";"2012";"0.00"
