"Indicator";"Registry";"Cancer";"Age";"Sex";"Year";"Age-specific Rate"
"Incidence";"Estonia";"Lung";"0-14";"Male";"1968";"0.00"
"Incidence";"Estonia";"Lung";"0-14";"Male";"1969";"0.00"
"Incidence";"Estonia";"Lung";"0-14";"Male";"1970";"0.00"
"Incidence";"Estonia";"Lung";"0-14";"Male";"1971";"0.00"
"Incidence";"Estonia";"Lung";"0-14";"Male";"1972";"0.00"
"Incidence";"Estonia";"Lung";"0-14";"Male";"1973";"0.00"
"Incidence";"Estonia";"Lung";"0-14";"Male";"1974";"0.00"
"Incidence";"Estonia";"Lung";"0-14";"Male";"1975";"0.00"
"Incidence";"Estonia";"Lung";"0-14";"Male";"1976";"0.00"
"Incidence";"Estonia";"Lung";"0-14";"Male";"1977";"0.00"
"Incidence";"Estonia";"Lung";"0-14";"Male";"1978";"0.00"
"Incidence";"Estonia";"Lung";"0-14";"Male";"1979";"0.00"
"Incidence";"Estonia";"Lung";"0-14";"Male";"1980";"0.00"
"Incidence";"Estonia";"Lung";"0-14";"Male";"1981";"0.00"
"Incidence";"Estonia";"Lung";"0-14";"Male";"1982";"0.00"
"Incidence";"Estonia";"Lung";"0-14";"Male";"1983";"0.00"
"Incidence";"Estonia";"Lung";"0-14";"Male";"1984";"0.00"
"Incidence";"Estonia";"Lung";"0-14";"Male";"1985";"0.00"
"Incidence";"Estonia";"Lung";"0-14";"Male";"1986";"0.00"
"Incidence";"Estonia";"Lung";"0-14";"Male";"1987";"0.00"
"Incidence";"Estonia";"Lung";"0-14";"Male";"1988";"0.00"
"Incidence";"Estonia";"Lung";"0-14";"Male";"1989";"0.00"
"Incidence";"Estonia";"Lung";"0-14";"Male";"1990";"0.00"
"Incidence";"Estonia";"Lung";"0-14";"Male";"1991";"0.00"
"Incidence";"Estonia";"Lung";"0-14";"Male";"1992";"0.00"
"Incidence";"Estonia";"Lung";"0-14";"Male";"1993";"0.00"
"Incidence";"Estonia";"Lung";"0-14";"Male";"1994";"0.00"
"Incidence";"Estonia";"Lung";"0-14";"Male";"1995";"0.00"
"Incidence";"Estonia";"Lung";"0-14";"Male";"1996";"0.00"
"Incidence";"Estonia";"Lung";"0-14";"Male";"1997";"0.00"
"Incidence";"Estonia";"Lung";"0-14";"Male";"1998";"0.00"
"Incidence";"Estonia";"Lung";"0-14";"Male";"1999";"0.00"
"Incidence";"Estonia";"Lung";"0-14";"Male";"2000";"0.00"
"Incidence";"Estonia";"Lung";"0-14";"Male";"2001";"0.00"
