"Indicator";"Registry";"Cancer";"Age";"Sex";"Year";"Age-specific Rate"
"Incidence";"Malta";"Lung";"0-14";"Female";"1993";"0.00"
"Incidence";"Malta";"Lung";"0-14";"Female";"1994";"0.00"
"Incidence";"Malta";"Lung";"0-14";"Female";"1995";"0.00"
"Incidence";"Malta";"Lung";"0-14";"Female";"1996";"0.00"
"Incidence";"Malta";"Lung";"0-14";"Female";"1997";"0.00"
"Incidence";"Malta";"Lung";"0-14";"Female";"1998";"0.00"
"Incidence";"Malta";"Lung";"0-14";"Female";"1999";"0.00"
"Incidence";"Malta";"Lung";"0-14";"Female";"2000";"0.00"
"Incidence";"Malta";"Lung";"0-14";"Female";"2001";"0.00"
"Incidence";"Malta";"Lung";"0-14";"Female";"2002";"0.00"
"Incidence";"Malta";"Lung";"0-14";"Female";"2003";"0.00"
"Incidence";"Malta";"Lung";"0-14";"Female";"2004";"0.00"
"Incidence";"Malta";"Lung";"0-14";"Female";"2005";"0.00"
"Incidence";"Malta";"Lung";"0-14";"Female";"2006";"0.00"
"Incidence";"Malta";"Lung";"0-14";"Female";"2007";"0.00"
"Incidence";"Malta";"Lung";"0-14";"Female";"2008";"0.00"
"Incidence";"Malta";"Lung";"0-14";"Female";"2009";"0.00"
"Incidence";"Malta";"Lung";"0-14";"Female";"2010";"0.00"
"Incidence";"Malta";"Lung";"0-14";"Female";"2011";"0.00"
"Incidence";"Malta";"Lung";"0-14";"Female";"2012";"0.00"
"Incidence";"Malta";"Lung";"0-14";"Female";"2013";"0.00"
"Incidence";"Malta";"Lung";"0-14";"Male";"1993";"0.00"
"Incidence";"Malta";"Lung";"0-14";"Male";"1994";"0.00"
"Incidence";"Malta";"Lung";"0-14";"Male";"1995";"0.00"
"Incidence";"Malta";"Lung";"0-14";"Male";"1996";"0.00"
"Incidence";"Malta";"Lung";"0-14";"Male";"1997";"0.00"
"Incidence";"Malta";"Lung";"0-14";"Male";"1998";"0.00"
"Incidence";"Malta";"Lung";"0-14";"Male";"1999";"0.00"
"Incidence";"Malta";"Lung";"0-14";"Male";"2000";"0.00"
"Incidence";"Malta";"Lung";"0-14";"Male";"2001";"0.00"
"Incidence";"Malta";"Lung";"0-14";"Male";"2002";"0.00"
"Incidence";"Malta";"Lung";"0-14";"Male";"2003";"0.00"
"Incidence";"Malta";"Lung";"0-14";"Male";"2004";"0.00"
"Incidence";"Malta";"Lung";"0-14";"Male";"2005";"0.00"
"Incidence";"Malta";"Lung";"0-14";"Male";"2006";"0.00"
"Incidence";"Malta";"Lung";"0-14";"Male";"2007";"0.00"
"Incidence";"Malta";"Lung";"0-14";"Male";"2008";"0.00"
"Incidence";"Malta";"Lung";"0-14";"Male";"2009";"0.00"
"Incidence";"Malta";"Lung";"0-14";"Male";"2010";"0.00"
"Incidence";"Malta";"Lung";"0-14";"Male";"2011";"0.00"
"Incidence";"Malta";"Lung";"0-14";"Male";"2012";"0.00"
"Incidence";"Malta";"Lung";"0-14";"Male";"2013";"0.00"
"Incidence";"Malta";"Lung";"15-29";"Male";"1993";"0.00"
"Incidence";"Malta";"Lung";"15-29";"Male";"1994";"0.00"
"Incidence";"Malta";"Lung";"15-29";"Male";"1995";"0.00"
"Incidence";"Malta";"Lung";"15-29";"Male";"1996";"0.00"
"Incidence";"Malta";"Lung";"15-29";"Male";"1997";"0.00"
"Incidence";"Malta";"Lung";"15-29";"Male";"1998";"0.00"
"Incidence";"Malta";"Lung";"15-29";"Male";"1999";"0.00"
"Incidence";"Malta";"Lung";"15-29";"Male";"2000";"2.33"
"Incidence";"Malta";"Lung";"15-29";"Male";"2001";"0.00"
"Incidence";"Malta";"Lung";"15-29";"Male";"2002";"0.00"
"Incidence";"Malta";"Lung";"15-29";"Male";"2003";"0.00"
"Incidence";"Malta";"Lung";"15-29";"Male";"2004";"0.00"
"Incidence";"Malta";"Lung";"15-29";"Male";"2005";"0.00"
"Incidence";"Malta";"Lung";"15-29";"Male";"2006";"0.00"
"Incidence";"Malta";"Lung";"15-29";"Male";"2007";"0.00"
"Incidence";"Malta";"Lung";"15-29";"Male";"2008";"2.24"
"Incidence";"Malta";"Lung";"15-29";"Male";"2009";"2.21"
"Incidence";"Malta";"Lung";"15-29";"Male";"2010";"0.00"
"Incidence";"Malta";"Lung";"15-29";"Male";"2011";"0.00"
"Incidence";"Malta";"Lung";"15-29";"Male";"2012";"0.00"
"Incidence";"Malta";"Lung";"15-29";"Male";"2013";"0.00"
"Incidence";"Malta";"Lung";"15-29";"Female";"1993";"0.00"
"Incidence";"Malta";"Lung";"15-29";"Female";"1994";"0.00"
"Incidence";"Malta";"Lung";"15-29";"Female";"1995";"0.00"
"Incidence";"Malta";"Lung";"15-29";"Female";"1996";"0.00"
"Incidence";"Malta";"Lung";"15-29";"Female";"1997";"0.00"
"Incidence";"Malta";"Lung";"15-29";"Female";"1998";"0.00"
"Incidence";"Malta";"Lung";"15-29";"Female";"1999";"0.00"
"Incidence";"Malta";"Lung";"15-29";"Female";"2000";"0.00"
"Incidence";"Malta";"Lung";"15-29";"Female";"2001";"0.00"
"Incidence";"Malta";"Lung";"15-29";"Female";"2002";"0.00"
"Incidence";"Malta";"Lung";"15-29";"Female";"2003";"0.00"
"Incidence";"Malta";"Lung";"15-29";"Female";"2004";"0.00"
"Incidence";"Malta";"Lung";"15-29";"Female";"2005";"0.00"
"Incidence";"Malta";"Lung";"15-29";"Female";"2006";"0.00"
"Incidence";"Malta";"Lung";"15-29";"Female";"2007";"0.00"
"Incidence";"Malta";"Lung";"15-29";"Female";"2008";"0.00"
"Incidence";"Malta";"Lung";"15-29";"Female";"2009";"0.00"
"Incidence";"Malta";"Lung";"15-29";"Female";"2010";"2.36"
"Incidence";"Malta";"Lung";"15-29";"Female";"2011";"0.00"
"Incidence";"Malta";"Lung";"15-29";"Female";"2012";"0.00"
"Incidence";"Malta";"Lung";"15-29";"Female";"2013";"0.00"
"Incidence";"Malta";"Lung";"30-44";"Male";"1993";"6.90"
"Incidence";"Malta";"Lung";"30-44";"Male";"1994";"11.49"
"Incidence";"Malta";"Lung";"30-44";"Male";"1995";"4.60"
"Incidence";"Malta";"Lung";"30-44";"Male";"1996";"2.33"
"Incidence";"Malta";"Lung";"30-44";"Male";"1997";"4.80"
"Incidence";"Malta";"Lung";"30-44";"Male";"1998";"4.86"
"Incidence";"Malta";"Lung";"30-44";"Male";"1999";"2.46"
"Incidence";"Malta";"Lung";"30-44";"Male";"2000";"9.95"
"Incidence";"Malta";"Lung";"30-44";"Male";"2001";"2.46"
"Incidence";"Malta";"Lung";"30-44";"Male";"2002";"4.92"
"Incidence";"Malta";"Lung";"30-44";"Male";"2003";"0.00"
"Incidence";"Malta";"Lung";"30-44";"Male";"2004";"0.00"
"Incidence";"Malta";"Lung";"30-44";"Male";"2005";"2.46"
"Incidence";"Malta";"Lung";"30-44";"Male";"2006";"7.35"
"Incidence";"Malta";"Lung";"30-44";"Male";"2007";"0.00"
"Incidence";"Malta";"Lung";"30-44";"Male";"2008";"2.41"
"Incidence";"Malta";"Lung";"30-44";"Male";"2009";"0.00"
"Incidence";"Malta";"Lung";"30-44";"Male";"2010";"2.36"
"Incidence";"Malta";"Lung";"30-44";"Male";"2011";"2.35"
"Incidence";"Malta";"Lung";"30-44";"Male";"2012";"6.93"
"Incidence";"Malta";"Lung";"30-44";"Male";"2013";"2.26"
"Incidence";"Malta";"Lung";"30-44";"Female";"1993";"0.00"
"Incidence";"Malta";"Lung";"30-44";"Female";"1994";"2.38"
"Incidence";"Malta";"Lung";"30-44";"Female";"1995";"2.38"
"Incidence";"Malta";"Lung";"30-44";"Female";"1996";"4.82"
"Incidence";"Malta";"Lung";"30-44";"Female";"1997";"2.48"
"Incidence";"Malta";"Lung";"30-44";"Female";"1998";"2.50"
"Incidence";"Malta";"Lung";"30-44";"Female";"1999";"0.00"
"Incidence";"Malta";"Lung";"30-44";"Female";"2000";"0.00"
"Incidence";"Malta";"Lung";"30-44";"Female";"2001";"0.00"
"Incidence";"Malta";"Lung";"30-44";"Female";"2002";"2.51"
"Incidence";"Malta";"Lung";"30-44";"Female";"2003";"2.53"
"Incidence";"Malta";"Lung";"30-44";"Female";"2004";"0.00"
"Incidence";"Malta";"Lung";"30-44";"Female";"2005";"0.00"
"Incidence";"Malta";"Lung";"30-44";"Female";"2006";"7.66"
"Incidence";"Malta";"Lung";"30-44";"Female";"2007";"0.00"
"Incidence";"Malta";"Lung";"30-44";"Female";"2008";"7.65"
"Incidence";"Malta";"Lung";"30-44";"Female";"2009";"5.06"
"Incidence";"Malta";"Lung";"30-44";"Female";"2010";"2.49"
"Incidence";"Malta";"Lung";"30-44";"Female";"2011";"4.95"
"Incidence";"Malta";"Lung";"30-44";"Female";"2012";"2.44"
"Incidence";"Malta";"Lung";"30-44";"Female";"2013";"2.39"
"Incidence";"Malta";"Lung";"45-59";"Male";"1993";"70.03"
"Incidence";"Malta";"Lung";"45-59";"Male";"1994";"70.03"
"Incidence";"Malta";"Lung";"45-59";"Male";"1995";"51.76"
"Incidence";"Malta";"Lung";"45-59";"Male";"1996";"70.01"
"Incidence";"Malta";"Lung";"45-59";"Male";"1997";"39.94"
"Incidence";"Malta";"Lung";"45-59";"Male";"1998";"66.56"
"Incidence";"Malta";"Lung";"45-59";"Male";"1999";"70.27"
"Incidence";"Malta";"Lung";"45-59";"Male";"2000";"55.32"
"Incidence";"Malta";"Lung";"45-59";"Male";"2001";"29.93"
"Incidence";"Malta";"Lung";"45-59";"Male";"2002";"50.17"
"Incidence";"Malta";"Lung";"45-59";"Male";"2003";"36.68"
"Incidence";"Malta";"Lung";"45-59";"Male";"2004";"38.17"
"Incidence";"Malta";"Lung";"45-59";"Male";"2005";"31.34"
"Incidence";"Malta";"Lung";"45-59";"Male";"2006";"46.59"
"Incidence";"Malta";"Lung";"45-59";"Male";"2007";"35.43"
"Incidence";"Malta";"Lung";"45-59";"Male";"2008";"35.51"
"Incidence";"Malta";"Lung";"45-59";"Male";"2009";"51.42"
"Incidence";"Malta";"Lung";"45-59";"Male";"2010";"40.58"
"Incidence";"Malta";"Lung";"45-59";"Male";"2011";"34.24"
"Incidence";"Malta";"Lung";"45-59";"Male";"2012";"32.19"
"Incidence";"Malta";"Lung";"45-59";"Male";"2013";"27.87"
"Incidence";"Malta";"Lung";"45-59";"Female";"1993";"11.51"
"Incidence";"Malta";"Lung";"45-59";"Female";"1994";"2.88"
"Incidence";"Malta";"Lung";"45-59";"Female";"1995";"8.63"
"Incidence";"Malta";"Lung";"45-59";"Female";"1996";"5.60"
"Incidence";"Malta";"Lung";"45-59";"Female";"1997";"8.25"
"Incidence";"Malta";"Lung";"45-59";"Female";"1998";"8.08"
"Incidence";"Malta";"Lung";"45-59";"Female";"1999";"13.19"
"Incidence";"Malta";"Lung";"45-59";"Female";"2000";"5.17"
"Incidence";"Malta";"Lung";"45-59";"Female";"2001";"14.75"
"Incidence";"Malta";"Lung";"45-59";"Female";"2002";"0.00"
"Incidence";"Malta";"Lung";"45-59";"Female";"2003";"20.53"
"Incidence";"Malta";"Lung";"45-59";"Female";"2004";"4.47"
"Incidence";"Malta";"Lung";"45-59";"Female";"2005";"13.34"
"Incidence";"Malta";"Lung";"45-59";"Female";"2006";"17.71"
"Incidence";"Malta";"Lung";"45-59";"Female";"2007";"17.80"
"Incidence";"Malta";"Lung";"45-59";"Female";"2008";"17.91"
"Incidence";"Malta";"Lung";"45-59";"Female";"2009";"18.07"
"Incidence";"Malta";"Lung";"45-59";"Female";"2010";"29.56"
"Incidence";"Malta";"Lung";"45-59";"Female";"2011";"32.12"
"Incidence";"Malta";"Lung";"45-59";"Female";"2012";"30.13"
"Incidence";"Malta";"Lung";"45-59";"Female";"2013";"30.43"
"Incidence";"Malta";"Lung";"60-74";"Male";"1993";"298.02"
"Incidence";"Malta";"Lung";"60-74";"Male";"1994";"244.80"
"Incidence";"Malta";"Lung";"60-74";"Male";"1995";"356.55"
"Incidence";"Malta";"Lung";"60-74";"Male";"1996";"270.97"
"Incidence";"Malta";"Lung";"60-74";"Male";"1997";"256.15"
"Incidence";"Malta";"Lung";"60-74";"Male";"1998";"226.89"
"Incidence";"Malta";"Lung";"60-74";"Male";"1999";"258.41"
"Incidence";"Malta";"Lung";"60-74";"Male";"2000";"279.73"
"Incidence";"Malta";"Lung";"60-74";"Male";"2001";"233.24"
"Incidence";"Malta";"Lung";"60-74";"Male";"2002";"280.58"
"Incidence";"Malta";"Lung";"60-74";"Male";"2003";"303.72"
"Incidence";"Malta";"Lung";"60-74";"Male";"2004";"206.31"
"Incidence";"Malta";"Lung";"60-74";"Male";"2005";"205.22"
"Incidence";"Malta";"Lung";"60-74";"Male";"2006";"204.79"
"Incidence";"Malta";"Lung";"60-74";"Male";"2007";"249.34"
"Incidence";"Malta";"Lung";"60-74";"Male";"2008";"217.95"
"Incidence";"Malta";"Lung";"60-74";"Male";"2009";"180.04"
"Incidence";"Malta";"Lung";"60-74";"Male";"2010";"288.47"
"Incidence";"Malta";"Lung";"60-74";"Male";"2011";"224.18"
"Incidence";"Malta";"Lung";"60-74";"Male";"2012";"161.65"
"Incidence";"Malta";"Lung";"60-74";"Male";"2013";"211.29"
"Incidence";"Malta";"Lung";"60-74";"Female";"1993";"17.03"
"Incidence";"Malta";"Lung";"60-74";"Female";"1994";"34.06"
"Incidence";"Malta";"Lung";"60-74";"Female";"1995";"12.77"
"Incidence";"Malta";"Lung";"60-74";"Female";"1996";"29.37"
"Incidence";"Malta";"Lung";"60-74";"Female";"1997";"28.93"
"Incidence";"Malta";"Lung";"60-74";"Female";"1998";"32.56"
"Incidence";"Malta";"Lung";"60-74";"Female";"1999";"32.14"
"Incidence";"Malta";"Lung";"60-74";"Female";"2000";"39.85"
"Incidence";"Malta";"Lung";"60-74";"Female";"2001";"34.90"
"Incidence";"Malta";"Lung";"60-74";"Female";"2002";"38.73"
"Incidence";"Malta";"Lung";"60-74";"Female";"2003";"23.41"
"Incidence";"Malta";"Lung";"60-74";"Female";"2004";"41.72"
"Incidence";"Malta";"Lung";"60-74";"Female";"2005";"46.88"
"Incidence";"Malta";"Lung";"60-74";"Female";"2006";"23.84"
"Incidence";"Malta";"Lung";"60-74";"Female";"2007";"39.31"
"Incidence";"Malta";"Lung";"60-74";"Female";"2008";"34.47"
"Incidence";"Malta";"Lung";"60-74";"Female";"2009";"36.13"
"Incidence";"Malta";"Lung";"60-74";"Female";"2010";"57.90"
"Incidence";"Malta";"Lung";"60-74";"Female";"2011";"50.44"
"Incidence";"Malta";"Lung";"60-74";"Female";"2012";"81.83"
"Incidence";"Malta";"Lung";"60-74";"Female";"2013";"39.94"
"Incidence";"Malta";"Lung";"75-85+";"Male";"1993";"525.21"
"Incidence";"Malta";"Lung";"75-85+";"Male";"1994";"455.18"
"Incidence";"Malta";"Lung";"75-85+";"Male";"1995";"542.72"
"Incidence";"Malta";"Lung";"75-85+";"Male";"1996";"463.54"
"Incidence";"Malta";"Lung";"75-85+";"Male";"1997";"344.47"
"Incidence";"Malta";"Lung";"75-85+";"Male";"1998";"322.11"
"Incidence";"Malta";"Lung";"75-85+";"Male";"1999";"401.43"
"Incidence";"Malta";"Lung";"75-85+";"Male";"2000";"442.17"
"Incidence";"Malta";"Lung";"75-85+";"Male";"2001";"348.75"
"Incidence";"Malta";"Lung";"75-85+";"Male";"2002";"384.76"
"Incidence";"Malta";"Lung";"75-85+";"Male";"2003";"354.91"
"Incidence";"Malta";"Lung";"75-85+";"Male";"2004";"336.70"
"Incidence";"Malta";"Lung";"75-85+";"Male";"2005";"528.05"
"Incidence";"Malta";"Lung";"75-85+";"Male";"2006";"403.72"
"Incidence";"Malta";"Lung";"75-85+";"Male";"2007";"472.84"
"Incidence";"Malta";"Lung";"75-85+";"Male";"2008";"435.94"
"Incidence";"Malta";"Lung";"75-85+";"Male";"2009";"597.20"
"Incidence";"Malta";"Lung";"75-85+";"Male";"2010";"482.07"
"Incidence";"Malta";"Lung";"75-85+";"Male";"2011";"602.58"
"Incidence";"Malta";"Lung";"75-85+";"Male";"2012";"562.92"
"Incidence";"Malta";"Lung";"75-85+";"Male";"2013";"375.94"
"Incidence";"Malta";"Lung";"75-85+";"Female";"1993";"57.23"
"Incidence";"Malta";"Lung";"75-85+";"Female";"1994";"11.45"
"Incidence";"Malta";"Lung";"75-85+";"Female";"1995";"34.34"
"Incidence";"Malta";"Lung";"75-85+";"Female";"1996";"32.43"
"Incidence";"Malta";"Lung";"75-85+";"Female";"1997";"39.44"
"Incidence";"Malta";"Lung";"75-85+";"Female";"1998";"47.31"
"Incidence";"Malta";"Lung";"75-85+";"Female";"1999";"55.57"
"Incidence";"Malta";"Lung";"75-85+";"Female";"2000";"71.60"
"Incidence";"Malta";"Lung";"75-85+";"Female";"2001";"16.95"
"Incidence";"Malta";"Lung";"75-85+";"Female";"2002";"32.77"
"Incidence";"Malta";"Lung";"75-85+";"Female";"2003";"47.25"
"Incidence";"Malta";"Lung";"75-85+";"Female";"2004";"38.69"
"Incidence";"Malta";"Lung";"75-85+";"Female";"2005";"22.56"
"Incidence";"Malta";"Lung";"75-85+";"Female";"2006";"49.78"
"Incidence";"Malta";"Lung";"75-85+";"Female";"2007";"27.47"
"Incidence";"Malta";"Lung";"75-85+";"Female";"2008";"46.07"
"Incidence";"Malta";"Lung";"75-85+";"Female";"2009";"69.84"
"Incidence";"Malta";"Lung";"75-85+";"Female";"2010";"86.44"
"Incidence";"Malta";"Lung";"75-85+";"Female";"2011";"101.19"
"Incidence";"Malta";"Lung";"75-85+";"Female";"2012";"137.91"
"Incidence";"Malta";"Lung";"75-85+";"Female";"2013";"72.20"
"Mortality";"Malta";"Lung";"0-14";"Male";"2008";"0.00"
"Mortality";"Malta";"Lung";"0-14";"Male";"2009";"0.00"
"Mortality";"Malta";"Lung";"0-14";"Male";"2010";"0.00"
"Mortality";"Malta";"Lung";"0-14";"Male";"2011";"0.00"
"Mortality";"Malta";"Lung";"0-14";"Male";"2012";"0.00"
"Mortality";"Malta";"Lung";"0-14";"Male";"2013";"0.00"
"Mortality";"Malta";"Lung";"0-14";"Female";"2008";"0.00"
"Mortality";"Malta";"Lung";"0-14";"Female";"2009";"0.00"
"Mortality";"Malta";"Lung";"0-14";"Female";"2010";"0.00"
"Mortality";"Malta";"Lung";"0-14";"Female";"2011";"0.00"
"Mortality";"Malta";"Lung";"0-14";"Female";"2012";"0.00"
"Mortality";"Malta";"Lung";"0-14";"Female";"2013";"0.00"
"Mortality";"Malta";"Lung";"15-29";"Male";"2008";"0.00"
"Mortality";"Malta";"Lung";"15-29";"Male";"2009";"2.21"
"Mortality";"Malta";"Lung";"15-29";"Male";"2010";"0.00"
"Mortality";"Malta";"Lung";"15-29";"Male";"2011";"0.00"
"Mortality";"Malta";"Lung";"15-29";"Male";"2012";"0.00"
"Mortality";"Malta";"Lung";"15-29";"Male";"2013";"0.00"
"Mortality";"Malta";"Lung";"15-29";"Female";"2008";"0.00"
"Mortality";"Malta";"Lung";"15-29";"Female";"2009";"0.00"
"Mortality";"Malta";"Lung";"15-29";"Female";"2010";"0.00"
"Mortality";"Malta";"Lung";"15-29";"Female";"2011";"2.39"
"Mortality";"Malta";"Lung";"15-29";"Female";"2012";"0.00"
"Mortality";"Malta";"Lung";"15-29";"Female";"2013";"0.00"
"Mortality";"Malta";"Lung";"30-44";"Female";"2008";"0.00"
"Mortality";"Malta";"Lung";"30-44";"Female";"2009";"5.06"
"Mortality";"Malta";"Lung";"30-44";"Female";"2010";"4.98"
"Mortality";"Malta";"Lung";"30-44";"Female";"2011";"0.00"
"Mortality";"Malta";"Lung";"30-44";"Female";"2012";"2.44"
"Mortality";"Malta";"Lung";"30-44";"Female";"2013";"0.00"
"Mortality";"Malta";"Lung";"30-44";"Male";"2008";"0.00"
"Mortality";"Malta";"Lung";"30-44";"Male";"2009";"0.00"
"Mortality";"Malta";"Lung";"30-44";"Male";"2010";"0.00"
"Mortality";"Malta";"Lung";"30-44";"Male";"2011";"0.00"
"Mortality";"Malta";"Lung";"30-44";"Male";"2012";"4.62"
"Mortality";"Malta";"Lung";"30-44";"Male";"2013";"0.00"
"Mortality";"Malta";"Lung";"45-59";"Female";"2008";"2.24"
"Mortality";"Malta";"Lung";"45-59";"Female";"2009";"11.29"
"Mortality";"Malta";"Lung";"45-59";"Female";"2010";"11.37"
"Mortality";"Malta";"Lung";"45-59";"Female";"2011";"27.54"
"Mortality";"Malta";"Lung";"45-59";"Female";"2012";"16.22"
"Mortality";"Malta";"Lung";"45-59";"Female";"2013";"18.73"
"Mortality";"Malta";"Lung";"45-59";"Male";"2008";"22.19"
"Mortality";"Malta";"Lung";"45-59";"Male";"2009";"35.77"
"Mortality";"Malta";"Lung";"45-59";"Male";"2010";"38.33"
"Mortality";"Malta";"Lung";"45-59";"Male";"2011";"29.68"
"Mortality";"Malta";"Lung";"45-59";"Male";"2012";"27.59"
"Mortality";"Malta";"Lung";"45-59";"Male";"2013";"23.23"
"Mortality";"Malta";"Lung";"60-74";"Female";"2008";"6.27"
"Mortality";"Malta";"Lung";"60-74";"Female";"2009";"24.08"
"Mortality";"Malta";"Lung";"60-74";"Female";"2010";"46.32"
"Mortality";"Malta";"Lung";"60-74";"Female";"2011";"25.22"
"Mortality";"Malta";"Lung";"60-74";"Female";"2012";"35.46"
"Mortality";"Malta";"Lung";"60-74";"Female";"2013";"39.94"
"Mortality";"Malta";"Lung";"60-74";"Male";"2008";"112.49"
"Mortality";"Malta";"Lung";"60-74";"Male";"2009";"143.36"
"Mortality";"Malta";"Lung";"60-74";"Male";"2010";"212.39"
"Mortality";"Malta";"Lung";"60-74";"Male";"2011";"193.89"
"Mortality";"Malta";"Lung";"60-74";"Male";"2012";"182.22"
"Mortality";"Malta";"Lung";"60-74";"Male";"2013";"165.61"
"Mortality";"Malta";"Lung";"75-85+";"Female";"2008";"26.33"
"Mortality";"Malta";"Lung";"75-85+";"Female";"2009";"69.84"
"Mortality";"Malta";"Lung";"75-85+";"Female";"2010";"74.09"
"Mortality";"Malta";"Lung";"75-85+";"Female";"2011";"65.48"
"Mortality";"Malta";"Lung";"75-85+";"Female";"2012";"103.43"
"Mortality";"Malta";"Lung";"75-85+";"Female";"2013";"72.20"
"Mortality";"Malta";"Lung";"75-85+";"Male";"2008";"297.71"
"Mortality";"Malta";"Lung";"75-85+";"Male";"2009";"556.01"
"Mortality";"Malta";"Lung";"75-85+";"Male";"2010";"281.21"
"Mortality";"Malta";"Lung";"75-85+";"Male";"2011";"506.93"
"Mortality";"Malta";"Lung";"75-85+";"Male";"2012";"617.40"
"Mortality";"Malta";"Lung";"75-85+";"Male";"2013";"463.37"

Historical data: Incidence/mortality trends by age
Incidence and mortality, MT Malta, Both sexes, Lung, 0 to 85+ years, by 15 years age groups

Source: ECIS - European Cancer Information System
From https://ecis.jrc.ec.europa.eu, accessed on 28-03-2026
(c) European Union, 2026
