"Indicator";"Registry";"Cancer";"Age";"Sex";"Year";"Age-specific Rate"
"Incidence";"Central Serbia";"Lung";"0-14";"Female";"1999";"0.00"
"Incidence";"Central Serbia";"Lung";"0-14";"Female";"2000";"0.23"
"Incidence";"Central Serbia";"Lung";"0-14";"Female";"2001";"0.00"
"Incidence";"Central Serbia";"Lung";"0-14";"Female";"2002";"0.00"
"Incidence";"Central Serbia";"Lung";"0-14";"Female";"2003";"0.00"
"Incidence";"Central Serbia";"Lung";"0-14";"Female";"2004";"0.00"
"Incidence";"Central Serbia";"Lung";"0-14";"Female";"2005";"0.00"
"Incidence";"Central Serbia";"Lung";"0-14";"Female";"2006";"0.00"
"Incidence";"Central Serbia";"Lung";"0-14";"Female";"2007";"0.00"
"Incidence";"Central Serbia";"Lung";"0-14";"Male";"1999";"0.00"
"Incidence";"Central Serbia";"Lung";"0-14";"Male";"2000";"0.43"
"Incidence";"Central Serbia";"Lung";"0-14";"Male";"2001";"0.00"
"Incidence";"Central Serbia";"Lung";"0-14";"Male";"2002";"0.00"
"Incidence";"Central Serbia";"Lung";"0-14";"Male";"2003";"0.00"
"Incidence";"Central Serbia";"Lung";"0-14";"Male";"2004";"0.00"
"Incidence";"Central Serbia";"Lung";"0-14";"Male";"2005";"0.00"
"Incidence";"Central Serbia";"Lung";"0-14";"Male";"2006";"0.23"
"Incidence";"Central Serbia";"Lung";"0-14";"Male";"2007";"0.00"
"Incidence";"Central Serbia";"Lung";"15-29";"Male";"1999";"0.36"
"Incidence";"Central Serbia";"Lung";"15-29";"Male";"2000";"1.43"
"Incidence";"Central Serbia";"Lung";"15-29";"Male";"2001";"0.72"
"Incidence";"Central Serbia";"Lung";"15-29";"Male";"2002";"1.80"
"Incidence";"Central Serbia";"Lung";"15-29";"Male";"2003";"0.36"
"Incidence";"Central Serbia";"Lung";"15-29";"Male";"2004";"1.26"
"Incidence";"Central Serbia";"Lung";"15-29";"Male";"2005";"0.91"
"Incidence";"Central Serbia";"Lung";"15-29";"Male";"2006";"1.10"
"Incidence";"Central Serbia";"Lung";"15-29";"Male";"2007";"0.37"
"Incidence";"Central Serbia";"Lung";"15-29";"Female";"1999";"0.55"
"Incidence";"Central Serbia";"Lung";"15-29";"Female";"2000";"0.92"
"Incidence";"Central Serbia";"Lung";"15-29";"Female";"2001";"0.73"
"Incidence";"Central Serbia";"Lung";"15-29";"Female";"2002";"0.00"
"Incidence";"Central Serbia";"Lung";"15-29";"Female";"2003";"0.56"
"Incidence";"Central Serbia";"Lung";"15-29";"Female";"2004";"1.31"
"Incidence";"Central Serbia";"Lung";"15-29";"Female";"2005";"0.19"
"Incidence";"Central Serbia";"Lung";"15-29";"Female";"2006";"0.19"
"Incidence";"Central Serbia";"Lung";"15-29";"Female";"2007";"0.58"
"Incidence";"Central Serbia";"Lung";"30-44";"Male";"1999";"15.93"
"Incidence";"Central Serbia";"Lung";"30-44";"Male";"2000";"17.97"
"Incidence";"Central Serbia";"Lung";"30-44";"Male";"2001";"21.41"
"Incidence";"Central Serbia";"Lung";"30-44";"Male";"2002";"18.23"
"Incidence";"Central Serbia";"Lung";"30-44";"Male";"2003";"13.22"
"Incidence";"Central Serbia";"Lung";"30-44";"Male";"2004";"15.34"
"Incidence";"Central Serbia";"Lung";"30-44";"Male";"2005";"9.86"
"Incidence";"Central Serbia";"Lung";"30-44";"Male";"2006";"10.23"
"Incidence";"Central Serbia";"Lung";"30-44";"Male";"2007";"11.13"
"Incidence";"Central Serbia";"Lung";"30-44";"Female";"1999";"8.07"
"Incidence";"Central Serbia";"Lung";"30-44";"Female";"2000";"6.63"
"Incidence";"Central Serbia";"Lung";"30-44";"Female";"2001";"8.73"
"Incidence";"Central Serbia";"Lung";"30-44";"Female";"2002";"9.55"
"Incidence";"Central Serbia";"Lung";"30-44";"Female";"2003";"6.46"
"Incidence";"Central Serbia";"Lung";"30-44";"Female";"2004";"6.67"
"Incidence";"Central Serbia";"Lung";"30-44";"Female";"2005";"5.57"
"Incidence";"Central Serbia";"Lung";"30-44";"Female";"2006";"8.00"
"Incidence";"Central Serbia";"Lung";"30-44";"Female";"2007";"4.27"
"Incidence";"Central Serbia";"Lung";"45-59";"Male";"1999";"125.78"
"Incidence";"Central Serbia";"Lung";"45-59";"Male";"2000";"136.46"
"Incidence";"Central Serbia";"Lung";"45-59";"Male";"2001";"160.40"
"Incidence";"Central Serbia";"Lung";"45-59";"Male";"2002";"155.12"
"Incidence";"Central Serbia";"Lung";"45-59";"Male";"2003";"155.26"
"Incidence";"Central Serbia";"Lung";"45-59";"Male";"2004";"166.12"
"Incidence";"Central Serbia";"Lung";"45-59";"Male";"2005";"139.38"
"Incidence";"Central Serbia";"Lung";"45-59";"Male";"2006";"155.40"
"Incidence";"Central Serbia";"Lung";"45-59";"Male";"2007";"136.07"
"Incidence";"Central Serbia";"Lung";"45-59";"Female";"1999";"34.39"
"Incidence";"Central Serbia";"Lung";"45-59";"Female";"2000";"39.49"
"Incidence";"Central Serbia";"Lung";"45-59";"Female";"2001";"45.55"
"Incidence";"Central Serbia";"Lung";"45-59";"Female";"2002";"45.76"
"Incidence";"Central Serbia";"Lung";"45-59";"Female";"2003";"41.95"
"Incidence";"Central Serbia";"Lung";"45-59";"Female";"2004";"48.53"
"Incidence";"Central Serbia";"Lung";"45-59";"Female";"2005";"43.04"
"Incidence";"Central Serbia";"Lung";"45-59";"Female";"2006";"47.51"
"Incidence";"Central Serbia";"Lung";"45-59";"Female";"2007";"50.03"
"Incidence";"Central Serbia";"Lung";"60-74";"Male";"1999";"282.64"
"Incidence";"Central Serbia";"Lung";"60-74";"Male";"2000";"325.27"
"Incidence";"Central Serbia";"Lung";"60-74";"Male";"2001";"341.30"
"Incidence";"Central Serbia";"Lung";"60-74";"Male";"2002";"350.70"
"Incidence";"Central Serbia";"Lung";"60-74";"Male";"2003";"295.66"
