"Indicator";"Registry";"Cancer";"Age";"Sex";"Year";"Age-specific Rate"
"Incidence";"Slovakia";"Lung";"0-14";"Male";"1978";"0.00"
"Incidence";"Slovakia";"Lung";"0-14";"Male";"1979";"0.00"
"Incidence";"Slovakia";"Lung";"0-14";"Male";"1980";"0.00"
"Incidence";"Slovakia";"Lung";"0-14";"Male";"1981";"0.00"
"Incidence";"Slovakia";"Lung";"0-14";"Male";"1982";"0.00"
"Incidence";"Slovakia";"Lung";"0-14";"Male";"1983";"0.00"
"Incidence";"Slovakia";"Lung";"0-14";"Male";"1984";"0.00"
"Incidence";"Slovakia";"Lung";"0-14";"Male";"1985";"0.00"
"Incidence";"Slovakia";"Lung";"0-14";"Male";"1986";"0.00"
"Incidence";"Slovakia";"Lung";"0-14";"Male";"1987";"0.00"
"Incidence";"Slovakia";"Lung";"0-14";"Male";"1988";"0.00"
"Incidence";"Slovakia";"Lung";"0-14";"Male";"1989";"0.00"
"Incidence";"Slovakia";"Lung";"0-14";"Male";"1990";"0.00"
"Incidence";"Slovakia";"Lung";"0-14";"Male";"1991";"0.00"
"Incidence";"Slovakia";"Lung";"0-14";"Male";"1992";"0.00"
"Incidence";"Slovakia";"Lung";"0-14";"Male";"1993";"0.00"
"Incidence";"Slovakia";"Lung";"0-14";"Male";"1994";"0.00"
"Incidence";"Slovakia";"Lung";"0-14";"Male";"1995";"0.00"
"Incidence";"Slovakia";"Lung";"0-14";"Male";"1996";"0.00"
"Incidence";"Slovakia";"Lung";"0-14";"Male";"1997";"0.00"
"Incidence";"Slovakia";"Lung";"0-14";"Male";"1998";"0.00"
"Incidence";"Slovakia";"Lung";"0-14";"Male";"1999";"0.00"
"Incidence";"Slovakia";"Lung";"0-14";"Male";"2000";"0.00"
"Incidence";"Slovakia";"Lung";"0-14";"Male";"2001";"0.00"
"Incidence";"Slovakia";"Lung";"0-14";"Male";"2002";"0.00"
"Incidence";"Slovakia";"Lung";"0-14";"Male";"2003";"0.00"
"Incidence";"Slovakia";"Lung";"0-14";"Male";"2004";"0.00"
"Incidence";"Slovakia";"Lung";"0-14";"Male";"2005";"0.00"
"Incidence";"Slovakia";"Lung";"0-14";"Male";"2006";"0.00"
"Incidence";"Slovakia";"Lung";"0-14";"Male";"2007";"0.00"
"Incidence";"Slovakia";"Lung";"0-14";"Male";"2008";"0.00"
"Incidence";"Slovakia";"Lung";"0-14";"Male";"2009";"0.00"
"Incidence";"Slovakia";"Lung";"0-14";"Male";"2010";"0.23"
"Incidence";"Slovakia";"Lung";"0-14";"Female";"1978";"0.00"
"Incidence";"Slovakia";"Lung";"0-14";"Female";"1979";"0.16"
"Incidence";"Slovakia";"Lung";"0-14";"Female";"1980";"0.00"
"Incidence";"Slovakia";"Lung";"0-14";"Female";"1981";"0.00"
"Incidence";"Slovakia";"Lung";"0-14";"Female";"1982";"0.00"
"Incidence";"Slovakia";"Lung";"0-14";"Female";"1983";"0.00"
"Incidence";"Slovakia";"Lung";"0-14";"Female";"1984";"0.00"
"Incidence";"Slovakia";"Lung";"0-14";"Female";"1985";"0.00"
"Incidence";"Slovakia";"Lung";"0-14";"Female";"1986";"0.00"
"Incidence";"Slovakia";"Lung";"0-14";"Female";"1987";"0.00"
"Incidence";"Slovakia";"Lung";"0-14";"Female";"1988";"0.00"
"Incidence";"Slovakia";"Lung";"0-14";"Female";"1989";"0.00"
"Incidence";"Slovakia";"Lung";"0-14";"Female";"1990";"0.00"
"Incidence";"Slovakia";"Lung";"0-14";"Female";"1991";"0.00"
"Incidence";"Slovakia";"Lung";"0-14";"Female";"1992";"0.00"
"Incidence";"Slovakia";"Lung";"0-14";"Female";"1993";"0.00"
"Incidence";"Slovakia";"Lung";"0-14";"Female";"1994";"0.00"
"Incidence";"Slovakia";"Lung";"0-14";"Female";"1995";"0.00"
"Incidence";"Slovakia";"Lung";"0-14";"Female";"1996";"0.00"
"Incidence";"Slovakia";"Lung";"0-14";"Female";"1997";"0.00"
"Incidence";"Slovakia";"Lung";"0-14";"Female";"1998";"0.00"
"Incidence";"Slovakia";"Lung";"0-14";"Female";"1999";"0.00"
"Incidence";"Slovakia";"Lung";"0-14";"Female";"2000";"0.00"
"Incidence";"Slovakia";"Lung";"0-14";"Female";"2001";"0.00"
"Incidence";"Slovakia";"Lung";"0-14";"Female";"2002";"0.00"
"Incidence";"Slovakia";"Lung";"0-14";"Female";"2003";"0.00"
"Incidence";"Slovakia";"Lung";"0-14";"Female";"2004";"0.00"
"Incidence";"Slovakia";"Lung";"0-14";"Female";"2005";"0.00"
"Incidence";"Slovakia";"Lung";"0-14";"Female";"2006";"0.00"
"Incidence";"Slovakia";"Lung";"0-14";"Female";"2007";"0.00"
"Incidence";"Slovakia";"Lung";"0-14";"Female";"2008";"0.48"
"Incidence";"Slovakia";"Lung";"0-14";"Female";"2009";"0.00"
"Incidence";"Slovakia";"Lung";"0-14";"Female";"2010";"0.00"
"Incidence";"Slovakia";"Lung";"15-29";"Male";"1978";"0.31"
