"Country";"Incidence - Male";"Incidence - Female"
"Estonia";"492.2";"116.2"
"Greece";"463.2";"105.7"
"Hungary";"436.5";"199.5"
"Croatia";"433.6";"159.6"
"Italy";"433.6";"144.0"
"Netherlands";"409.3";"251.8"
"Denmark";"403.3";"316.9"
"Belgium";"399.5";"162.7"
"Latvia";"398.6";"71.0"
"Luxembourg";"376.4";"174.9"
"Malta";"375.7";"84.9"
"Poland";"373.4";"154.5"
"Cyprus";"366.7";"92.8"
"Spain";"366.7";"86.4"
"Ireland";"363.1";"264.6"
"Slovenia";"361.3";"142.3"
"EU-27";"357.0";"139.0"
"France";"356.2";"135.7"
"Slovakia";"349.9";"108.4"
"Lithuania";"333.2";"74.1"
"Czechia";"316.9";"140.7"
"Germany";"314.8";"141.2"
"Finland";"308.5";"155.7"
"Portugal";"271.7";"93.4"
"Romania";"262.6";"78.8"
"Austria";"230.1";"129.8"
"Sweden";"194.2";"178.1"
"Bulgaria";"192.8";"58.7"

2024 estimates: Incidence/mortality by sex
Incidence, EU-27, Trachea, bronchus and lung, Both sexes, 75 to 85+ years, 2024

Notes:
"Age-Standardised Rate (European 2013) per 100,000"

Source: ECIS - European Cancer Information System
From https://ecis.jrc.ec.europa.eu, accessed on 03-03-2026
(c) European Union, 2026
