"Country";"Mortality - Male";"Mortality - Female"
"Bulgaria";"4.3";"2.7"
"Hungary";"3.8";"1.6"
"Romania";"3.6";"2.7"
"Poland";"3.0";"1.3"
"Estonia";"2.6";"0.7"
"France";"2.4";"1.1"
"Portugal";"2.4";"2.1"
"Spain";"2.2";"1.0"
"EU-27";"1.9";"1.1"
"Germany";"1.8";"1.1"
"Czechia";"1.8";"0.8"
"Slovakia";"1.6";"0.8"
"Italy";"1.4";"0.9"
"Denmark";"1.4";"1.6"
"Lithuania";"1.4";"0.8"
"Luxembourg";"1.3";"0.0"
"Netherlands";"1.2";"1.3"
"Slovenia";"0.8";"1.1"
"Ireland";"0.5";"0.0"
"Latvia";"0.5";"0.6"
"Belgium";"0.4";"0.1"
"Austria";"0.1";"0.0"
"Cyprus";"0.0";"1.8"
"Greece";"0.0";"1.0"
"Croatia";"0.0";"0.0"
"Malta";"0.0";"1.6"
"Finland";"0.0";"0.0"
"Sweden";"0.0";"1.1"

2024 estimates: Incidence/mortality by sex
Mortality, EU-27, Trachea, bronchus and lung, Both sexes, 30 to 44 years, 2024

Notes:
"Age-Standardised Rate (European 2013) per 100,000"

Source: ECIS - European Cancer Information System
From https://ecis.jrc.ec.europa.eu, accessed on 03-03-2026
(c) European Union, 2026
