relation,TransE_mrr,TransE_hits@1,TransE_hits@3,TransE_hits@10,DotProduct_mrr,DotProduct_hits@1,DotProduct_hits@3,DotProduct_hits@10,R-GCN_mrr,R-GCN_hits@1,R-GCN_hits@3,R-GCN_hits@10
Overall,0.2466,0.1280,0.2720,0.5360,0.2359,0.1300,0.2400,0.5360,0.2863,0.1820,0.3080,0.5500
CLA - Year,0.1815,0.0421,0.1368,0.6526,0.1983,0.0614,0.1491,0.6842,0.2057,0.0545,0.1818,0.6545
CLA - Chemical,0.4588,0.2018,0.6239,1.0000,0.4255,0.2075,0.4906,1.0000,0.5455,0.3462,0.6442,1.0000
CLA - City,0.0043,0.0000,0.0000,0.0111,0.0016,0.0000,0.0000,0.0000,0.0040,0.0000,0.0000,0.0095
CLA - Region,0.0032,0.0000,0.0000,0.0000,0.0073,0.0000,0.0000,0.0000,0.0419,0.0000,0.1111,0.1111
Disease - VitalStats,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Disease - GeneFusion,0.0051,0.0000,0.0000,0.0000,0.0005,0.0000,0.0000,0.0000,0.3339,0.3333,0.3333,0.3333
Disease - ChromoRearr,,,,,0.0024,0.0000,0.0000,0.0000,,,,
GDA - Disease,0.2470,0.0909,0.1818,0.6364,0.4119,0.3000,0.3000,0.9000,0.2648,0.0909,0.2727,0.9091
Gene - GDA,0.0001,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,0.0000,0.5718,0.4167,0.6667,0.9167
Gene - Pathway,0.2535,0.1522,0.2609,0.4783,0.3569,0.2381,0.4048,0.5714,0.1304,0.0270,0.1892,0.3243
City - Country,0.4518,0.2000,0.6000,0.8000,,,,,0.1419,0.0000,0.2000,0.8000
Variant - VDA,0.2460,0.0000,0.3333,0.6667,,,,,,,,
VitalStats - People,0.2058,0.0357,0.2143,0.7500,0.2341,0.0476,0.2857,0.9048,0.3183,0.2000,0.4000,0.5500
VitalStats - Year,0.1156,0.0312,0.0938,0.2812,0.1381,0.0417,0.1250,0.2500,0.0766,0.0000,0.0000,0.2400
VitalStats - Country,0.1425,0.0000,0.0000,0.5000,0.0764,0.0000,0.0000,0.2500,0.4098,0.3333,0.3333,0.6667
VitalStats - Region,0.0363,0.0000,0.0000,0.0625,0.0108,0.0000,0.0000,0.0000,0.0603,0.0000,0.0526,0.2105
