rank,Biomarker_label,Biomarker_uri,Disease_label,Disease_uri,confidence,context
1,glycitein,lucia:biomarker/C0253391,Adenocarcinoma of lung (disorder),lucia:disease/C0152013,0.9765,marker_for -> Malignant neoplasm of lung
2,glycitein,lucia:biomarker/C0253391,Non-Small Cell Lung Carcinoma,lucia:disease/C0007131,0.9686,marker_for -> Malignant neoplasm of lung
3,glycitein,lucia:biomarker/C0253391,Squamous cell carcinoma of lung,lucia:disease/C0149782,0.9611,marker_for -> Malignant neoplasm of lung
4,Beta+gamma tocopherol,lucia:biomarker/C0552327,Adenocarcinoma of lung (disorder),lucia:disease/C0152013,0.9392,marker_for -> Malignant neoplasm of lung
5,Beta+gamma tocopherol,lucia:biomarker/C0552327,Non-Small Cell Lung Carcinoma,lucia:disease/C0007131,0.9283,marker_for -> Malignant neoplasm of lung
6,Beta+gamma tocopherol,lucia:biomarker/C0552327,Squamous cell carcinoma of lung,lucia:disease/C0149782,0.925,marker_for -> Malignant neoplasm of lung
7,Equol,lucia:biomarker/C0059497,Non-Small Cell Lung Carcinoma,lucia:disease/C0007131,0.9243,marker_for -> Malignant neoplasm of lung
8,Equol,lucia:biomarker/C0059497,Adenocarcinoma of lung (disorder),lucia:disease/C0152013,0.9162,marker_for -> Malignant neoplasm of lung
9,Equol,lucia:biomarker/C0059497,Squamous cell carcinoma of lung,lucia:disease/C0149782,0.8999,marker_for -> Malignant neoplasm of lung
10,daidzein,lucia:biomarker/C0057090,Adenocarcinoma of lung (disorder),lucia:disease/C0152013,0.8893,marker_for -> Malignant neoplasm of lung
11,daidzein,lucia:biomarker/C0057090,Non-Small Cell Lung Carcinoma,lucia:disease/C0007131,0.8882,marker_for -> Malignant neoplasm of lung
12,glycitein,lucia:biomarker/C0253391,Lung Carcinoma Metastatic in the Brain,lucia:disease/C0684249,0.8829,marker_for -> Malignant neoplasm of lung
13,daidzein,lucia:biomarker/C0057090,Squamous cell carcinoma of lung,lucia:disease/C0149782,0.8746,marker_for -> Malignant neoplasm of lung
14,folate,lucia:biomarker/C0178638,Non-Small Cell Lung Carcinoma,lucia:disease/C0007131,0.8716,marker_for -> Malignant neoplasm of lung
15,alpha-Tocopherol,lucia:biomarker/C0969677,Non-Small Cell Lung Carcinoma,lucia:disease/C0007131,0.8681,marker_for -> Malignant neoplasm of lung
16,Genistein,lucia:biomarker/C0061202,Non-Small Cell Lung Carcinoma,lucia:disease/C0007131,0.8637,marker_for -> Malignant neoplasm of lung
17,folate,lucia:biomarker/C0178638,Adenocarcinoma of lung (disorder),lucia:disease/C0152013,0.858,marker_for -> Malignant neoplasm of lung
18,Lycopene,lucia:biomarker/C0065331,Non-Small Cell Lung Carcinoma,lucia:disease/C0007131,0.8539,marker_for -> Malignant neoplasm of lung
19,Tocopherols,lucia:biomarker/C3255108,Non-Small Cell Lung Carcinoma,lucia:disease/C0007131,0.853,marker_for -> Malignant neoplasm of lung
20,Beta-Cryptoxanthin,lucia:biomarker/C0896117,Non-Small Cell Lung Carcinoma,lucia:disease/C0007131,0.8513,marker_for -> Malignant neoplasm of lung
21,Homocysteine,lucia:biomarker/C0019878,Non-Small Cell Lung Carcinoma,lucia:disease/C0007131,0.8452,marker_for -> Malignant neoplasm of lung
22,Beta+gamma tocopherol,lucia:biomarker/C0552327,Lung Carcinoma Metastatic in the Brain,lucia:disease/C0684249,0.8451,marker_for -> Malignant neoplasm of lung
23,Genistein,lucia:biomarker/C0061202,Adenocarcinoma of lung (disorder),lucia:disease/C0152013,0.8432,marker_for -> Malignant neoplasm of lung
24,folate,lucia:biomarker/C0178638,Squamous cell carcinoma of lung,lucia:disease/C0149782,0.8426,marker_for -> Malignant neoplasm of lung
25,alpha-Tocopherol,lucia:biomarker/C0969677,Adenocarcinoma of lung (disorder),lucia:disease/C0152013,0.8355,marker_for -> Malignant neoplasm of lung
26,Equol,lucia:biomarker/C0059497,Lung Carcinoma Metastatic in the Brain,lucia:disease/C0684249,0.8337,marker_for -> Malignant neoplasm of lung
27,alpha-carotene,lucia:biomarker/C0051336,Non-Small Cell Lung Carcinoma,lucia:disease/C0007131,0.833,marker_for -> Malignant neoplasm of lung
28,Tocopherols,lucia:biomarker/C3255108,Adenocarcinoma of lung (disorder),lucia:disease/C0152013,0.8324,marker_for -> Malignant neoplasm of lung
29,Genistein,lucia:biomarker/C0061202,Squamous cell carcinoma of lung,lucia:disease/C0149782,0.8276,marker_for -> Malignant neoplasm of lung
30,glycitein,lucia:biomarker/C0253391,Small cell carcinoma of lung,lucia:disease/C0149925,0.8254,marker_for -> Malignant neoplasm of lung
31,alpha-Tocopherol,lucia:biomarker/C0969677,Squamous cell carcinoma of lung,lucia:disease/C0149782,0.8179,marker_for -> Malignant neoplasm of lung
32,Tocopherols,lucia:biomarker/C3255108,Squamous cell carcinoma of lung,lucia:disease/C0149782,0.8171,marker_for -> Malignant neoplasm of lung
33,25-Hydroxycholecalciferol,lucia:biomarker/C0006657,Non-Small Cell Lung Carcinoma,lucia:disease/C0007131,0.8164,marker_for -> Malignant neoplasm of lung
