rank,Chemical_label,Chemical_uri,GeographicRegion_label,GeographicRegion_uri,confidence,context
1,Ozone (O3),http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#chemical/C0030106,Veneto,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/IT_veneto,8.7161,exposure_in -> Luneburg; exposure_in -> Parco Citta' Di Bologna; exposure_in -> Cadaques
2,Ozone (O3),http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#chemical/C0030106,Ticino,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/CH_ticino,8.5324,exposure_in -> Luneburg; exposure_in -> Parco Citta' Di Bologna; exposure_in -> Cadaques
3,Ozone (O3),http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#chemical/C0030106,Emilia-Romagna,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/IT_emilia_romagna,8.5,exposure_in -> Luneburg; exposure_in -> Parco Citta' Di Bologna; exposure_in -> Cadaques
4,Ozone (O3),http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#chemical/C0030106,Liguria,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/IT_liguria,8.4847,exposure_in -> Luneburg; exposure_in -> Parco Citta' Di Bologna; exposure_in -> Cadaques
5,Ozone (O3),http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#chemical/C0030106,Lower Saxony,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/DE_lower_saxony,8.4718,exposure_in -> Luneburg; exposure_in -> Parco Citta' Di Bologna; exposure_in -> Cadaques
6,Ozone (O3),http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#chemical/C0030106,Friuli-Venezia Giulia,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/IT_friuli_venezia_giulia,8.451,exposure_in -> Luneburg; exposure_in -> Parco Citta' Di Bologna; exposure_in -> Cadaques
7,Ozone (O3),http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#chemical/C0030106,Bremen,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/DE_bremen,8.4367,exposure_in -> Luneburg; exposure_in -> Parco Citta' Di Bologna; exposure_in -> Cadaques
8,Ozone (O3),http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#chemical/C0030106,North Rhine-Westphalia,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/DE_north_rhine_westphalia,8.4329,exposure_in -> Luneburg; exposure_in -> Parco Citta' Di Bologna; exposure_in -> Cadaques
9,Ozone (O3),http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#chemical/C0030106,Hamburg,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/DE_hamburg,8.4319,exposure_in -> Luneburg; exposure_in -> Parco Citta' Di Bologna; exposure_in -> Cadaques
10,Ozone (O3),http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#chemical/C0030106,Tuscany,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/IT_tuscany,8.4247,exposure_in -> Luneburg; exposure_in -> Parco Citta' Di Bologna; exposure_in -> Cadaques
11,Ozone (O3),http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#chemical/C0030106,Lazio,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/IT_lazio,8.415,exposure_in -> Luneburg; exposure_in -> Parco Citta' Di Bologna; exposure_in -> Cadaques
12,Ozone (O3),http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#chemical/C0030106,Piedmont,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/IT_piedmont,8.4144,exposure_in -> Luneburg; exposure_in -> Parco Citta' Di Bologna; exposure_in -> Cadaques
13,Ozone (O3),http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#chemical/C0030106,Asturias,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/ES_asturias,8.376,exposure_in -> Luneburg; exposure_in -> Parco Citta' Di Bologna; exposure_in -> Cadaques
14,Ozone (O3),http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#chemical/C0030106,Schleswig-Holstein,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/DE_schleswig_holstein,8.3579,exposure_in -> Luneburg; exposure_in -> Parco Citta' Di Bologna; exposure_in -> Cadaques
15,Ozone (O3),http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#chemical/C0030106,Umbria,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/IT_umbria,8.3439,exposure_in -> Luneburg; exposure_in -> Parco Citta' Di Bologna; exposure_in -> Cadaques
16,Ozone (O3),http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#chemical/C0030106,Rhineland-Palatinate,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/DE_rhineland_palatinate,8.3394,exposure_in -> Luneburg; exposure_in -> Parco Citta' Di Bologna; exposure_in -> Cadaques
17,Ozone (O3),http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#chemical/C0030106,Basque Country,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/ES_basque_country,8.3368,exposure_in -> Luneburg; exposure_in -> Parco Citta' Di Bologna; exposure_in -> Cadaques
18,Ozone (O3),http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#chemical/C0030106,Murcia,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/ES_murcia,8.3278,exposure_in -> Luneburg; exposure_in -> Parco Citta' Di Bologna; exposure_in -> Cadaques
19,Ozone (O3),http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#chemical/C0030106,Balearic Islands,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/ES_balearic_islands,8.2909,exposure_in -> Luneburg; exposure_in -> Parco Citta' Di Bologna; exposure_in -> Cadaques
20,Ozone (O3),http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#chemical/C0030106,Saarland,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/DE_saarland,8.2645,exposure_in -> Luneburg; exposure_in -> Parco Citta' Di Bologna; exposure_in -> Cadaques
21,Ozone (O3),http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#chemical/C0030106,Marche,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/IT_marche,8.2466,exposure_in -> Luneburg; exposure_in -> Parco Citta' Di Bologna; exposure_in -> Cadaques
22,Ozone (O3),http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#chemical/C0030106,Aosta Valley,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/IT_aosta_valley,8.2276,exposure_in -> Luneburg; exposure_in -> Parco Citta' Di Bologna; exposure_in -> Cadaques
23,Ozone (O3),http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#chemical/C0030106,Basilicata,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/IT_basilicata,8.2094,exposure_in -> Luneburg; exposure_in -> Parco Citta' Di Bologna; exposure_in -> Cadaques
24,Ozone (O3),http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#chemical/C0030106,Navarra,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/ES_navarra,8.2088,exposure_in -> Luneburg; exposure_in -> Parco Citta' Di Bologna; exposure_in -> Cadaques
25,Ozone (O3),http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#chemical/C0030106,Wales,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/GB_wales,8.1952,exposure_in -> Luneburg; exposure_in -> Parco Citta' Di Bologna; exposure_in -> Cadaques
26,Ozone (O3),http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#chemical/C0030106,Canary Islands,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/ES_canary_islands,8.1594,exposure_in -> Luneburg; exposure_in -> Parco Citta' Di Bologna; exposure_in -> Cadaques
27,Ozone (O3),http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#chemical/C0030106,La Rioja,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/ES_la_rioja,8.1566,exposure_in -> Luneburg; exposure_in -> Parco Citta' Di Bologna; exposure_in -> Cadaques
28,Ozone (O3),http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#chemical/C0030106,Bavaria,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/DE_bavaria,8.1162,exposure_in -> Luneburg; exposure_in -> Parco Citta' Di Bologna; exposure_in -> Cadaques
29,Ozone (O3),http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#chemical/C0030106,Northern Ireland,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/GB_northern_ireland,8.039,exposure_in -> Luneburg; exposure_in -> Parco Citta' Di Bologna; exposure_in -> Cadaques
30,Ozone (O3),http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#chemical/C0030106,Central Switzerland,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/CH_central_switzerland,7.8973,exposure_in -> Luneburg; exposure_in -> Parco Citta' Di Bologna; exposure_in -> Cadaques
31,Ozone (O3),http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#chemical/C0030106,Scotland,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/GB_scotland,7.8884,exposure_in -> Luneburg; exposure_in -> Parco Citta' Di Bologna; exposure_in -> Cadaques
