rank,Chemical_label,Chemical_uri,GeoPoliticalRegion_label,GeoPoliticalRegion_uri,confidence,context
1,Benzene,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#chemical/C0005036,Pomarance,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gpr/IT_pomarance,66.2799,exposure_in -> Reinheim; exposure_in -> Valiug; exposure_in -> Malmo
2,Benzo[a]pyrene (BaP),http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#chemical/C0005052,Pomarance,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gpr/IT_pomarance,65.0187,exposure_in -> Kungsbacka; exposure_in -> Elsene=Ixelles; exposure_in -> Luder
3,PM2.5,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#chemical/C5890534,Pomarance,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gpr/IT_pomarance,58.7308,exposure_in -> Sedlec; exposure_in -> Arrubal; exposure_in -> Bratislava - Mestska Cast Stare Mesto
4,Benzene,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#chemical/C0005036,Catania,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gpr/IT_catania,18.3795,exposure_in -> Reinheim; exposure_in -> Valiug; exposure_in -> Malmo
5,"Particulate matter (PM10, Arsenic)",http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#chemical/C1720884_10_As,Catania,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gpr/IT_catania,17.958,exposure_in -> Tiana; exposure_in -> Gdansk; exposure_in -> Via Serrone ? Guardia Perticara (Pz)
6,Benzo[a]pyrene (BaP),http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#chemical/C0005052,Catania,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gpr/IT_catania,17.6175,exposure_in -> Kungsbacka; exposure_in -> Elsene=Ixelles; exposure_in -> Luder
7,PM2.5,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#chemical/C5890534,Catania,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gpr/IT_catania,15.9566,exposure_in -> Sedlec; exposure_in -> Arrubal; exposure_in -> Bratislava - Mestska Cast Stare Mesto
8,"Particulate matter (PM10, Arsenic)",http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#chemical/C1720884_10_As,Gela; Via Venezia N.148,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gpr/IT_gela_via_venezia_n_148,11.66,exposure_in -> Tiana; exposure_in -> Gdansk; exposure_in -> Via Serrone ? Guardia Perticara (Pz)
9,Benzo[a]pyrene (BaP),http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#chemical/C0005052,Gela; Via Venezia N.148,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gpr/IT_gela_via_venezia_n_148,11.3135,exposure_in -> Kungsbacka; exposure_in -> Elsene=Ixelles; exposure_in -> Luder
10,Benzo[a]pyrene (BaP),http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#chemical/C0005052,Piombino,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gpr/IT_piombino,8.3443,exposure_in -> Kungsbacka; exposure_in -> Elsene=Ixelles; exposure_in -> Luder
