rank,Chemical_label,Chemical_uri,GeographicRegion_label,GeographicRegion_uri,confidence,context
1,,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#chemical/C0030106,Basilicata,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/IT_basilicata,6.9555,exposure_in -> Remiremont; exposure_in -> Collado Villalba; exposure_in -> Walsrode
2,,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#chemical/C0030106,Canary Islands,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/ES_canary_islands,6.9058,exposure_in -> Remiremont; exposure_in -> Collado Villalba; exposure_in -> Walsrode
3,,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#chemical/C0030106,Murcia,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/ES_murcia,6.8721,exposure_in -> Remiremont; exposure_in -> Collado Villalba; exposure_in -> Walsrode
4,,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#chemical/C0030106,Scotland,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/GB_scotland,6.8299,exposure_in -> Remiremont; exposure_in -> Collado Villalba; exposure_in -> Walsrode
5,,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#chemical/C0030106,Saarland,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/DE_saarland,6.792,exposure_in -> Remiremont; exposure_in -> Collado Villalba; exposure_in -> Walsrode
6,,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#chemical/C0030106,Piedmont,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/IT_piedmont,6.7098,exposure_in -> Remiremont; exposure_in -> Collado Villalba; exposure_in -> Walsrode
7,,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#chemical/C0030106,Wales,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/GB_wales,6.682,exposure_in -> Remiremont; exposure_in -> Collado Villalba; exposure_in -> Walsrode
8,,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#chemical/C0030106,Veneto,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/IT_veneto,6.6635,exposure_in -> Remiremont; exposure_in -> Collado Villalba; exposure_in -> Walsrode
9,,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#chemical/C0030106,Friuli-Venezia Giulia,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/IT_friuli_venezia_giulia,6.6595,exposure_in -> Remiremont; exposure_in -> Collado Villalba; exposure_in -> Walsrode
10,,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#chemical/C0030106,Umbria,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/IT_umbria,6.6544,exposure_in -> Remiremont; exposure_in -> Collado Villalba; exposure_in -> Walsrode
11,,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#chemical/C0030106,Basque Country,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/ES_basque_country,6.6312,exposure_in -> Remiremont; exposure_in -> Collado Villalba; exposure_in -> Walsrode
12,,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#chemical/C0030106,Navarra,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/ES_navarra,6.6239,exposure_in -> Remiremont; exposure_in -> Collado Villalba; exposure_in -> Walsrode
13,,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#chemical/C0030106,Hamburg,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/DE_hamburg,6.6189,exposure_in -> Remiremont; exposure_in -> Collado Villalba; exposure_in -> Walsrode
14,,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#chemical/C0030106,Central Switzerland,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/CH_central_switzerland,6.5714,exposure_in -> Remiremont; exposure_in -> Collado Villalba; exposure_in -> Walsrode
15,,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#chemical/C0030106,Ticino,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/CH_ticino,6.5572,exposure_in -> Remiremont; exposure_in -> Collado Villalba; exposure_in -> Walsrode
16,,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#chemical/C0030106,Northern Ireland,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/GB_northern_ireland,6.5351,exposure_in -> Remiremont; exposure_in -> Collado Villalba; exposure_in -> Walsrode
17,,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#chemical/C0030106,Balearic Islands,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/ES_balearic_islands,6.4628,exposure_in -> Remiremont; exposure_in -> Collado Villalba; exposure_in -> Walsrode
18,,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#chemical/C0030106,La Rioja,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/ES_la_rioja,6.4601,exposure_in -> Remiremont; exposure_in -> Collado Villalba; exposure_in -> Walsrode
19,,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#chemical/C0030106,Rhineland-Palatinate,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/DE_rhineland_palatinate,6.4545,exposure_in -> Remiremont; exposure_in -> Collado Villalba; exposure_in -> Walsrode
20,,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#chemical/C0030106,Bavaria,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/DE_bavaria,6.444,exposure_in -> Remiremont; exposure_in -> Collado Villalba; exposure_in -> Walsrode
21,,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#chemical/C0030106,Liguria,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/IT_liguria,6.3874,exposure_in -> Remiremont; exposure_in -> Collado Villalba; exposure_in -> Walsrode
22,,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#chemical/C0030106,Schleswig-Holstein,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/DE_schleswig_holstein,6.3814,exposure_in -> Remiremont; exposure_in -> Collado Villalba; exposure_in -> Walsrode
23,,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#chemical/C0005036,Basilicata,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/IT_basilicata,6.3744,exposure_in -> Czestochowa; exposure_in -> Monserrato; exposure_in -> Murcia
