rank,Chemical_label,Chemical_uri,GeoPoliticalRegion_label,GeoPoliticalRegion_uri,confidence,context
1,,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#chemical/C5890534,Rybnik,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gpr/PL_rybnik,4.5865,exposure_in -> Ostrava; exposure_in -> Gieen; exposure_in -> Via Antona Traversi 10 - Sannazzaro De' Burgondi (Pv)
2,,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#chemical/C5890534,Leoben,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gpr/AT_leoben,4.5163,exposure_in -> Ostrava; exposure_in -> Gieen; exposure_in -> Via Antona Traversi 10 - Sannazzaro De' Burgondi (Pv)
3,,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#chemical/C5890534,Mostoles,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gpr/ES_mostoles,4.4299,exposure_in -> Ostrava; exposure_in -> Gieen; exposure_in -> Via Antona Traversi 10 - Sannazzaro De' Burgondi (Pv)
4,,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#chemical/C5890534,Burjassot,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gpr/ES_burjassot,4.3787,exposure_in -> Ostrava; exposure_in -> Gieen; exposure_in -> Via Antona Traversi 10 - Sannazzaro De' Burgondi (Pv)
5,,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#chemical/C5890534,Morella,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gpr/ES_morella,4.2978,exposure_in -> Ostrava; exposure_in -> Gieen; exposure_in -> Via Antona Traversi 10 - Sannazzaro De' Burgondi (Pv)
6,,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#chemical/C5890534,Gueret,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gpr/FR_gueret,4.2944,exposure_in -> Ostrava; exposure_in -> Gieen; exposure_in -> Via Antona Traversi 10 - Sannazzaro De' Burgondi (Pv)
7,,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#chemical/C5890534,Sacca Fisola; Venezia,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gpr/IT_sacca_fisola_venezia,4.2585,exposure_in -> Ostrava; exposure_in -> Gieen; exposure_in -> Via Antona Traversi 10 - Sannazzaro De' Burgondi (Pv)
8,,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#chemical/C5890534,Linden,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gpr/DE_linden,4.2221,exposure_in -> Ostrava; exposure_in -> Gieen; exposure_in -> Via Antona Traversi 10 - Sannazzaro De' Burgondi (Pv)
9,,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#chemical/C5890534,Vila-Seca,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gpr/ES_vila_seca,4.1826,exposure_in -> Ostrava; exposure_in -> Gieen; exposure_in -> Via Antona Traversi 10 - Sannazzaro De' Burgondi (Pv)
10,,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#chemical/C5890534,Manlleu,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gpr/ES_manlleu,4.1816,exposure_in -> Ostrava; exposure_in -> Gieen; exposure_in -> Via Antona Traversi 10 - Sannazzaro De' Burgondi (Pv)
11,,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#chemical/C0005036,Via Cimitero - Casirate D'Adda (Bg),http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gpr/IT_via_cimitero_casirate_d_adda_bg,4.1785,exposure_in -> Czestochowa; exposure_in -> Monserrato; exposure_in -> Murcia
12,,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#chemical/C5890534,Sant Andreu De La Barca,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gpr/ES_sant_andreu_de_la_barca,4.1761,exposure_in -> Ostrava; exposure_in -> Gieen; exposure_in -> Via Antona Traversi 10 - Sannazzaro De' Burgondi (Pv)
13,,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#chemical/C5890534,Viale Roma 7/E,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gpr/IT_viale_roma_7_e,4.1537,exposure_in -> Ostrava; exposure_in -> Gieen; exposure_in -> Via Antona Traversi 10 - Sannazzaro De' Burgondi (Pv)
