rank,Country_label,Country_uri,CalendarYear_label,CalendarYear_uri,confidence,context
1,Estonia,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/EE,2021,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#calendaryear/2021,16.0656,cancer_data_in -> 2019; cancer_data_in -> 2006; cancer_data_in -> 1980
2,Lithuania,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/LT,2021,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#calendaryear/2021,15.8966,cancer_data_in -> 2019; cancer_data_in -> 2006; cancer_data_in -> 1993
3,Estonia,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/EE,2020,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#calendaryear/2020,15.8725,cancer_data_in -> 2019; cancer_data_in -> 2006; cancer_data_in -> 1980
4,Austria,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/AT,2021,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#calendaryear/2021,15.7188,cancer_data_in -> 2019; cancer_data_in -> 2006; cancer_data_in -> 2015
5,Netherlands,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/NL,2021,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#calendaryear/2021,15.5767,cancer_data_in -> 2019; cancer_data_in -> 2006; cancer_data_in -> 1993
6,Austria,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/AT,2020,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#calendaryear/2020,15.5282,cancer_data_in -> 2019; cancer_data_in -> 2006; cancer_data_in -> 2015
7,Slovakia,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/SK,2021,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#calendaryear/2021,15.2792,cancer_data_in -> 2006; cancer_data_in -> 1980; cancer_data_in -> 1993
8,Slovakia,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/SK,2020,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#calendaryear/2020,15.0995,cancer_data_in -> 2006; cancer_data_in -> 1980; cancer_data_in -> 1993
9,Hungary,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/HU,2021,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#calendaryear/2021,15.0935,cancer_data_in -> 2024
10,Belgium,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/BE,2021,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#calendaryear/2021,15.0093,cancer_data_in -> 2019; cancer_data_in -> 2018; cancer_data_in -> 2006
11,Latvia,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/LV,2021,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#calendaryear/2021,14.9756,cancer_data_in -> 2006; cancer_data_in -> 2015; cancer_data_in -> 2005
12,Hungary,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/HU,2020,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#calendaryear/2020,14.9177,cancer_data_in -> 2024
13,Czechia,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/CZ,2021,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#calendaryear/2021,14.8523,cancer_data_in -> 2019; cancer_data_in -> 2006; cancer_data_in -> 2015
14,Slovakia,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/SK,2019,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#calendaryear/2019,14.8359,cancer_data_in -> 2006; cancer_data_in -> 1980; cancer_data_in -> 1993
15,Latvia,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/LV,2020,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#calendaryear/2020,14.8103,cancer_data_in -> 2006; cancer_data_in -> 2015; cancer_data_in -> 2005
16,Hungary,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/HU,2019,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#calendaryear/2019,14.6584,cancer_data_in -> 2024
17,Slovakia,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/SK,2018,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#calendaryear/2018,14.56,cancer_data_in -> 2006; cancer_data_in -> 1980; cancer_data_in -> 1993
18,Latvia,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/LV,2019,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#calendaryear/2019,14.5504,cancer_data_in -> 2006; cancer_data_in -> 2015; cancer_data_in -> 2005
