rank,Disease_label,Disease_uri,Country_label,Country_uri,confidence,context
1,Malignant neoplasm of lung,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#disease/C0242379,Turkey,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/TR,9.3536,"cancer_stats_in -> Zurich, Zug, Schaffhausen, and Schwyz; cancer_stats_in -> Umbria; cancer_stats_in -> Murcia"
2,Malignant neoplasm of lung,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#disease/C0242379,Bosnia and Herzegovina,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/BA,5.6256,"cancer_stats_in -> Zurich, Zug, Schaffhausen, and Schwyz; cancer_stats_in -> Umbria; cancer_stats_in -> Murcia"
3,Malignant neoplasm of lung,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#disease/C0242379,Serbia,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/RS,4.982,"cancer_stats_in -> Zurich, Zug, Schaffhausen, and Schwyz; cancer_stats_in -> Umbria; cancer_stats_in -> Murcia"
4,Malignant neoplasm of lung,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#disease/C0242379,Colombia,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/CO,4.2928,"cancer_stats_in -> Zurich, Zug, Schaffhausen, and Schwyz; cancer_stats_in -> Umbria; cancer_stats_in -> Murcia"
5,Malignant neoplasm of lung,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#disease/C0242379,New Zealand,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/NZ,4.2157,"cancer_stats_in -> Zurich, Zug, Schaffhausen, and Schwyz; cancer_stats_in -> Umbria; cancer_stats_in -> Murcia"
6,Malignant neoplasm of lung,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#disease/C0242379,Australia,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/AU,3.9668,"cancer_stats_in -> Zurich, Zug, Schaffhausen, and Schwyz; cancer_stats_in -> Umbria; cancer_stats_in -> Murcia"
7,Malignant neoplasm of lung,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#disease/C0242379,Chile,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/CL,3.9407,"cancer_stats_in -> Zurich, Zug, Schaffhausen, and Schwyz; cancer_stats_in -> Umbria; cancer_stats_in -> Murcia"
8,Malignant neoplasm of lung,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#disease/C0242379,United Kingdom,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/GB,3.8818,"cancer_stats_in -> Zurich, Zug, Schaffhausen, and Schwyz; cancer_stats_in -> Umbria; cancer_stats_in -> Murcia"
9,Malignant neoplasm of lung,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#disease/C0242379,Costa Rica,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/CR,3.8591,"cancer_stats_in -> Zurich, Zug, Schaffhausen, and Schwyz; cancer_stats_in -> Umbria; cancer_stats_in -> Murcia"
10,Malignant neoplasm of lung,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#disease/C0242379,Canada,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/CA,3.8169,"cancer_stats_in -> Zurich, Zug, Schaffhausen, and Schwyz; cancer_stats_in -> Umbria; cancer_stats_in -> Murcia"
11,Malignant neoplasm of lung,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#disease/C0242379,United States,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/US,3.6348,"cancer_stats_in -> Zurich, Zug, Schaffhausen, and Schwyz; cancer_stats_in -> Umbria; cancer_stats_in -> Murcia"
