rank,Disease_label,Disease_uri,GeographicRegion_label,GeographicRegion_uri,confidence,context
1,Non-Small Cell Lung Carcinoma,lucia:disease/C0007131,Bremen,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/DE_bremen,13.1252,subtype_of -> Malignant neoplasm of lung
2,Non-Small Cell Lung Carcinoma,lucia:disease/C0007131,Scotland,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/GB_scotland,12.7146,subtype_of -> Malignant neoplasm of lung
3,Non-Small Cell Lung Carcinoma,lucia:disease/C0007131,Northern Ireland,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/GB_northern_ireland,12.4449,subtype_of -> Malignant neoplasm of lung
4,Non-Small Cell Lung Carcinoma,lucia:disease/C0007131,Saarland,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/DE_saarland,12.3059,subtype_of -> Malignant neoplasm of lung
5,Non-Small Cell Lung Carcinoma,lucia:disease/C0007131,Naples Center,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/IT_naples_center,11.9712,subtype_of -> Malignant neoplasm of lung
6,Non-Small Cell Lung Carcinoma,lucia:disease/C0007131,Wales,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/GB_wales,11.9501,subtype_of -> Malignant neoplasm of lung
7,Lung Carcinoma Metastatic in the Brain,lucia:disease/C0684249,Bremen,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/DE_bremen,11.9385,subtype_of -> Malignant neoplasm of lung
8,Non-Small Cell Lung Carcinoma,lucia:disease/C0007131,Sondrio,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/IT_sondrio,11.7131,subtype_of -> Malignant neoplasm of lung
9,Non-Small Cell Lung Carcinoma,lucia:disease/C0007131,Naples North,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/IT_naples_north,11.66,subtype_of -> Malignant neoplasm of lung
10,Non-Small Cell Lung Carcinoma,lucia:disease/C0007131,Hamburg,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/DE_hamburg,11.4633,subtype_of -> Malignant neoplasm of lung
11,Lung Carcinoma Metastatic in the Brain,lucia:disease/C0684249,Scotland,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/GB_scotland,11.4284,subtype_of -> Malignant neoplasm of lung
12,Non-Small Cell Lung Carcinoma,lucia:disease/C0007131,North Rhine-Westphalia,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/DE_north_rhine_westphalia,11.3495,subtype_of -> Malignant neoplasm of lung
13,Non-Small Cell Lung Carcinoma,lucia:disease/C0007131,Pavia,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/IT_pavia,11.3418,subtype_of -> Malignant neoplasm of lung
14,Lung Carcinoma Metastatic in the Brain,lucia:disease/C0684249,Northern Ireland,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/GB_northern_ireland,11.2183,subtype_of -> Malignant neoplasm of lung
15,Lung Carcinoma Metastatic in the Brain,lucia:disease/C0684249,Saarland,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/DE_saarland,11.1867,subtype_of -> Malignant neoplasm of lung
16,Non-Small Cell Lung Carcinoma,lucia:disease/C0007131,Liguria,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/IT_liguria,11.1287,subtype_of -> Malignant neoplasm of lung
17,Non-Small Cell Lung Carcinoma,lucia:disease/C0007131,England,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/GB_england,11.1028,subtype_of -> Malignant neoplasm of lung
18,Non-Small Cell Lung Carcinoma,lucia:disease/C0007131,Insubria-Varese,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/IT_insubria_varese,10.8772,subtype_of -> Malignant neoplasm of lung
19,Lung Carcinoma Metastatic in the Brain,lucia:disease/C0684249,Wales,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/GB_wales,10.7983,subtype_of -> Malignant neoplasm of lung
20,Non-Small Cell Lung Carcinoma,lucia:disease/C0007131,Naples South,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/IT_naples_south,10.57,subtype_of -> Malignant neoplasm of lung
