rank,Disease_label,Disease_uri,Disease_label,Disease_uri,confidence,context
1,Malignant neoplasm of lung,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#disease/C0242379,Malignant neoplasm of lung,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#disease/C0242379,17.7193,"cancer_stats_in -> Zurich, Zug, Schaffhausen, and Schwyz; cancer_stats_in -> Umbria; cancer_stats_in -> Murcia"
2,Malignant neoplasm of lung,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#disease/C0242379,Lung Carcinoma Metastatic in the Brain,lucia:disease/C0684249,8.3091,"cancer_stats_in -> Zurich, Zug, Schaffhausen, and Schwyz; cancer_stats_in -> Umbria; cancer_stats_in -> Murcia"
3,Malignant neoplasm of lung,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#disease/C0242379,Non-Small Cell Lung Carcinoma,lucia:disease/C0007131,8.0666,"cancer_stats_in -> Zurich, Zug, Schaffhausen, and Schwyz; cancer_stats_in -> Umbria; cancer_stats_in -> Murcia"
4,Malignant neoplasm of lung,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#disease/C0242379,Small cell carcinoma of lung,lucia:disease/C0149925,7.7678,"cancer_stats_in -> Zurich, Zug, Schaffhausen, and Schwyz; cancer_stats_in -> Umbria; cancer_stats_in -> Murcia"
5,Malignant neoplasm of lung,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#disease/C0242379,Lung Neoplasms,lucia:disease/C0024121,7.6862,"cancer_stats_in -> Zurich, Zug, Schaffhausen, and Schwyz; cancer_stats_in -> Umbria; cancer_stats_in -> Murcia"
6,Malignant neoplasm of lung,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#disease/C0242379,Lung cancer panel,lucia:disease/C0024115,7.241,"cancer_stats_in -> Zurich, Zug, Schaffhausen, and Schwyz; cancer_stats_in -> Umbria; cancer_stats_in -> Murcia"
7,Malignant neoplasm of lung,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#disease/C0242379,"Adenocarcinoma, Oxyphilic",lucia:disease/C0205642,7.1423,"cancer_stats_in -> Zurich, Zug, Schaffhausen, and Schwyz; cancer_stats_in -> Umbria; cancer_stats_in -> Murcia"
8,Malignant neoplasm of lung,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#disease/C0242379,Bronchioloalveolar Adenocarcinoma,lucia:disease/C0007120,7.0926,"cancer_stats_in -> Zurich, Zug, Schaffhausen, and Schwyz; cancer_stats_in -> Umbria; cancer_stats_in -> Murcia"
9,Malignant neoplasm of lung,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#disease/C0242379,"stage, non-small cell lung cancer",lucia:disease/C0280217,7.0543,"cancer_stats_in -> Zurich, Zug, Schaffhausen, and Schwyz; cancer_stats_in -> Umbria; cancer_stats_in -> Murcia"
10,Malignant neoplasm of lung,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#disease/C0242379,"Carcinoma, Spindle-Cell",lucia:disease/C0205697,7.0501,"cancer_stats_in -> Zurich, Zug, Schaffhausen, and Schwyz; cancer_stats_in -> Umbria; cancer_stats_in -> Murcia"
