rank,Gene_label,Gene_uri,Disease_label,Disease_uri,confidence,context
1,PIK3R1,lucia:gene/ncbigene:5295,Squamous cell carcinoma of lung,lucia:disease/C0149782,4.7652,"associated_with -> Non-Small Cell Lung Carcinoma; associated_with -> Small cell carcinoma of lung; associated_with -> Carcinoma, Spindle-Cell"
2,KDR,lucia:gene/ncbigene:3791,Squamous cell carcinoma of lung,lucia:disease/C0149782,4.726,associated_with -> Lung Neoplasms; associated_with -> Non-Small Cell Lung Carcinoma; associated_with -> Adenocarcinoma of lung (disorder)
3,PIK3R1,lucia:gene/ncbigene:5295,Adenocarcinoma of lung (disorder),lucia:disease/C0152013,4.5061,"associated_with -> Non-Small Cell Lung Carcinoma; associated_with -> Small cell carcinoma of lung; associated_with -> Carcinoma, Spindle-Cell"
4,BRCA1,lucia:gene/ncbigene:672,Squamous cell carcinoma of lung,lucia:disease/C0149782,4.4196,associated_with -> Lung Neoplasms; associated_with -> Adenocarcinoma of lung (disorder); associated_with -> Small cell carcinoma of lung
5,CYP3A5,lucia:gene/ncbigene:1577,Squamous cell carcinoma of lung,lucia:disease/C0149782,4.3615,associated_with -> Adenocarcinoma of lung (disorder); associated_with -> Small cell carcinoma of lung; associated_with -> Malignant neoplasm of lung
6,EGF,lucia:gene/ncbigene:1950,Squamous cell carcinoma of lung,lucia:disease/C0149782,4.354,associated_with -> Lung Neoplasms; associated_with -> Metaplasia; associated_with -> Lung cancer panel
7,CASP8,lucia:gene/ncbigene:841,Squamous cell carcinoma of lung,lucia:disease/C0149782,4.3335,associated_with -> Lung Neoplasms; associated_with -> Small cell carcinoma of lung; associated_with -> Adenocarcinoma of lung (disorder)
8,TSC2,lucia:gene/ncbigene:7249,Squamous cell carcinoma of lung,lucia:disease/C0149782,4.3043,associated_with -> Lung Neoplasms; associated_with -> Lung cancer panel; associated_with -> Proteus Syndrome
9,CXCL12,lucia:gene/ncbigene:6387,Squamous cell carcinoma of lung,lucia:disease/C0149782,4.0778,associated_with -> Lung Neoplasms; associated_with -> Lung cancer panel; associated_with -> Non-Small Cell Lung Carcinoma
10,IL1B,lucia:gene/ncbigene:3553,Squamous cell carcinoma of lung,lucia:disease/C0149782,4.0661,associated_with -> Lung Neoplasms; associated_with -> Lung cancer panel; associated_with -> Non-Small Cell Lung Carcinoma
