rank,Gene_label,Gene_uri,Pathway_label,Pathway_uri,confidence,context
1,MAPK1,lucia:gene/ncbigene:5594,WP2858,lucia:pathway/WP2858,4.1979,associated_with -> Lung Neoplasms; associated_with -> Lung cancer panel; associated_with -> Non-Small Cell Lung Carcinoma
2,MAPK1,lucia:gene/ncbigene:5594,WP3577,lucia:pathway/WP3577,4.1259,associated_with -> Lung Neoplasms; associated_with -> Lung cancer panel; associated_with -> Non-Small Cell Lung Carcinoma
3,MAPK1,lucia:gene/ncbigene:5594,WP4102,lucia:pathway/WP4102,4.124,associated_with -> Lung Neoplasms; associated_with -> Lung cancer panel; associated_with -> Non-Small Cell Lung Carcinoma
4,CDKN1A,lucia:gene/ncbigene:1026,WP2858,lucia:pathway/WP2858,4.1028,associated_with -> Squamous cell carcinoma of lung; associated_with -> Hyperplasia; associated_with -> Lung Neoplasms
5,CDKN1A,lucia:gene/ncbigene:1026,WP3577,lucia:pathway/WP3577,4.0271,associated_with -> Squamous cell carcinoma of lung; associated_with -> Hyperplasia; associated_with -> Lung Neoplasms
6,CDKN1A,lucia:gene/ncbigene:1026,WP4102,lucia:pathway/WP4102,4.0234,associated_with -> Squamous cell carcinoma of lung; associated_with -> Hyperplasia; associated_with -> Lung Neoplasms
7,MAPK1,lucia:gene/ncbigene:5594,WP2774,lucia:pathway/WP2774,4.0117,associated_with -> Lung Neoplasms; associated_with -> Lung cancer panel; associated_with -> Non-Small Cell Lung Carcinoma
8,TRAF6,lucia:gene/ncbigene:7189,WP2858,lucia:pathway/WP2858,3.9932,associated_with -> Non-Small Cell Lung Carcinoma; associated_with -> Adenocarcinoma of lung (disorder); associated_with -> Malignant neoplasm of lung
9,RPS6KB1,lucia:gene/ncbigene:6198,WP2858,lucia:pathway/WP2858,3.9341,associated_with -> Lung Neoplasms; associated_with -> Non-Small Cell Lung Carcinoma; associated_with -> Adenocarcinoma of lung (disorder)
10,CDKN1A,lucia:gene/ncbigene:1026,WP2774,lucia:pathway/WP2774,3.9248,associated_with -> Squamous cell carcinoma of lung; associated_with -> Hyperplasia; associated_with -> Lung Neoplasms
11,TRAF6,lucia:gene/ncbigene:7189,WP3577,lucia:pathway/WP3577,3.9248,associated_with -> Non-Small Cell Lung Carcinoma; associated_with -> Adenocarcinoma of lung (disorder); associated_with -> Malignant neoplasm of lung
12,UBA52,lucia:gene/ncbigene:7311,WP2858,lucia:pathway/WP2858,3.9215,associated_with -> Non-Small Cell Lung Carcinoma; in_pathway -> WP1775; in_pathway -> WP1780
13,RPS6KB1,lucia:gene/ncbigene:6198,WP3577,lucia:pathway/WP3577,3.8701,associated_with -> Lung Neoplasms; associated_with -> Non-Small Cell Lung Carcinoma; associated_with -> Adenocarcinoma of lung (disorder)
14,RPS6KB1,lucia:gene/ncbigene:6198,WP4102,lucia:pathway/WP4102,3.8699,associated_with -> Lung Neoplasms; associated_with -> Non-Small Cell Lung Carcinoma; associated_with -> Adenocarcinoma of lung (disorder)
15,MAPK1,lucia:gene/ncbigene:5594,WP3797,lucia:pathway/WP3797,3.8698,associated_with -> Lung Neoplasms; associated_with -> Lung cancer panel; associated_with -> Non-Small Cell Lung Carcinoma
16,MAPK1,lucia:gene/ncbigene:5594,WP4121,lucia:pathway/WP4121,3.8665,associated_with -> Lung Neoplasms; associated_with -> Lung cancer panel; associated_with -> Non-Small Cell Lung Carcinoma
17,MAPK1,lucia:gene/ncbigene:5594,WP1903,lucia:pathway/WP1903,3.8619,associated_with -> Lung Neoplasms; associated_with -> Lung cancer panel; associated_with -> Non-Small Cell Lung Carcinoma
18,CDKN1A,lucia:gene/ncbigene:1026,WP4049,lucia:pathway/WP4049,3.848,associated_with -> Squamous cell carcinoma of lung; associated_with -> Hyperplasia; associated_with -> Lung Neoplasms
19,MAPK1,lucia:gene/ncbigene:5594,WP3842,lucia:pathway/WP3842,3.843,associated_with -> Lung Neoplasms; associated_with -> Lung cancer panel; associated_with -> Non-Small Cell Lung Carcinoma
20,MAPK1,lucia:gene/ncbigene:5594,WP2853,lucia:pathway/WP2853,3.8411,associated_with -> Lung Neoplasms; associated_with -> Lung cancer panel; associated_with -> Non-Small Cell Lung Carcinoma
21,HDAC1,lucia:gene/ncbigene:3065,WP2858,lucia:pathway/WP2858,3.8364,associated_with -> Adenocarcinoma of lung (disorder); associated_with -> Malignant neoplasm of lung; associated_with -> Lung Carcinoma Metastatic in the Brain
22,MAPK1,lucia:gene/ncbigene:5594,WP4110,lucia:pathway/WP4110,3.8254,associated_with -> Lung Neoplasms; associated_with -> Lung cancer panel; associated_with -> Non-Small Cell Lung Carcinoma
23,MAPK1,lucia:gene/ncbigene:5594,WP1889,lucia:pathway/WP1889,3.8237,associated_with -> Lung Neoplasms; associated_with -> Lung cancer panel; associated_with -> Non-Small Cell Lung Carcinoma
24,IGF1,lucia:gene/ncbigene:3479,WP2858,lucia:pathway/WP2858,3.8235,associated_with -> Lung Neoplasms; associated_with -> Lung cancer panel; associated_with -> Hyperplasia
25,MAPK1,lucia:gene/ncbigene:5594,WP4441,lucia:pathway/WP4441,3.8145,associated_with -> Lung Neoplasms; associated_with -> Lung cancer panel; associated_with -> Non-Small Cell Lung Carcinoma
