rank,Gene_label,Gene_uri,Disease_label,Disease_uri,confidence,context
1,NBN,lucia:gene/ncbigene:4683,Squamous cell carcinoma of lung,lucia:disease/C0149782,5.0247,associated_with -> Lung Neoplasms; associated_with -> Non-Small Cell Lung Carcinoma; associated_with -> Adenocarcinoma of lung (disorder)
2,SOD2,lucia:gene/ncbigene:6648,Squamous cell carcinoma of lung,lucia:disease/C0149782,4.8024,associated_with -> Lung cancer panel; associated_with -> Lung Neoplasms; associated_with -> Non-Small Cell Lung Carcinoma
3,PLAU,lucia:gene/ncbigene:5328,Adenocarcinoma of lung (disorder),lucia:disease/C0152013,4.7655,associated_with -> Hyperplasia; associated_with -> Lung Neoplasms; associated_with -> Non-Small Cell Lung Carcinoma
4,TSC2,lucia:gene/ncbigene:7249,Squamous cell carcinoma of lung,lucia:disease/C0149782,4.7367,associated_with -> Lung Neoplasms; associated_with -> Lung cancer panel; associated_with -> Proteus Syndrome
5,CD274,lucia:gene/ncbigene:29126,Hyperplasia,lucia:disease/C0020507,4.6756,associated_with -> Non-Small Cell Lung Carcinoma; associated_with -> Lung cancer panel; associated_with -> Lung Neoplasms
6,SPP1,lucia:gene/ncbigene:6696,Squamous cell carcinoma of lung,lucia:disease/C0149782,4.6606,associated_with -> Lung cancer panel; associated_with -> Lung Neoplasms; associated_with -> Non-Small Cell Lung Carcinoma
7,CCNB1,lucia:gene/ncbigene:891,Squamous cell carcinoma of lung,lucia:disease/C0149782,4.6379,associated_with -> Hyperplasia; associated_with -> Adenocarcinoma of lung (disorder); associated_with -> Malignant neoplasm of lung
8,SLC16A1,lucia:gene/ncbigene:6566,Squamous cell carcinoma of lung,lucia:disease/C0149782,4.5961,associated_with -> Non-Small Cell Lung Carcinoma; associated_with -> Adenocarcinoma of lung (disorder); associated_with -> Small cell carcinoma of lung
9,ABCB1,lucia:gene/ncbigene:5243,Hyperplasia,lucia:disease/C0020507,4.5449,associated_with -> Lung Neoplasms; associated_with -> Squamous cell carcinoma of lung; associated_with -> Non-Small Cell Lung Carcinoma
10,FLT1,lucia:gene/ncbigene:2321,Squamous cell carcinoma of lung,lucia:disease/C0149782,4.531,associated_with -> Lung cancer panel; associated_with -> Lung Neoplasms; associated_with -> Small cell carcinoma of lung
11,IDH1,lucia:gene/ncbigene:3417,Squamous cell carcinoma of lung,lucia:disease/C0149782,4.5166,associated_with -> Adenocarcinoma of lung (disorder); associated_with -> Small cell carcinoma of lung; associated_with -> Malignant neoplasm of lung
