rank,GeneProduct_label,GeneProduct_uri,Pathway_label,Pathway_uri,confidence,context
1,AKT1,lucia:geneproduct/AKT1,WP5469,lucia:pathway/WP5469,0.5186,part_of_pathway -> WP4255; part_of_pathway -> WP4658
2,AKT1,lucia:geneproduct/AKT1,WP3379,lucia:pathway/WP3379,0.4976,part_of_pathway -> WP4255; part_of_pathway -> WP4658
3,AKT1,lucia:geneproduct/AKT1,WP3335,lucia:pathway/WP3335,0.4955,part_of_pathway -> WP4255; part_of_pathway -> WP4658
4,AKT1,lucia:geneproduct/AKT1,WP3624,lucia:pathway/WP3624,0.495,part_of_pathway -> WP4255; part_of_pathway -> WP4658
5,STAT5A,lucia:geneproduct/STAT5A,WP4658,lucia:pathway/WP4658,0.4893,part_of_pathway -> WP4255
6,AKT1,lucia:geneproduct/AKT1,WP2361,lucia:pathway/WP2361,0.4862,part_of_pathway -> WP4255; part_of_pathway -> WP4658
7,AKT1,lucia:geneproduct/AKT1,WP3395,lucia:pathway/WP3395,0.4857,part_of_pathway -> WP4255; part_of_pathway -> WP4658
8,AKT1,lucia:geneproduct/AKT1,WP5283,lucia:pathway/WP5283,0.4829,part_of_pathway -> WP4255; part_of_pathway -> WP4658
9,AKT1,lucia:geneproduct/AKT1,WP2713,lucia:pathway/WP2713,0.4811,part_of_pathway -> WP4255; part_of_pathway -> WP4658
10,AKT1,lucia:geneproduct/AKT1,WP4963,lucia:pathway/WP4963,0.4804,part_of_pathway -> WP4255; part_of_pathway -> WP4658
11,AKT1,lucia:geneproduct/AKT1,WP4949,lucia:pathway/WP4949,0.4785,part_of_pathway -> WP4255; part_of_pathway -> WP4658
12,AKT1,lucia:geneproduct/AKT1,WP2359,lucia:pathway/WP2359,0.4782,part_of_pathway -> WP4255; part_of_pathway -> WP4658
13,AKT1,lucia:geneproduct/AKT1,WP2654,lucia:pathway/WP2654,0.4774,part_of_pathway -> WP4255; part_of_pathway -> WP4658
14,AKT1,lucia:geneproduct/AKT1,WP1885,lucia:pathway/WP1885,0.4772,part_of_pathway -> WP4255; part_of_pathway -> WP4658
15,AKT1,lucia:geneproduct/AKT1,WP1984,lucia:pathway/WP1984,0.477,part_of_pathway -> WP4255; part_of_pathway -> WP4658
16,AKT1,lucia:geneproduct/AKT1,WP28,lucia:pathway/WP28,0.4764,part_of_pathway -> WP4255; part_of_pathway -> WP4658
17,AKT1,lucia:geneproduct/AKT1,WP5222,lucia:pathway/WP5222,0.4763,part_of_pathway -> WP4255; part_of_pathway -> WP4658
18,AKT1,lucia:geneproduct/AKT1,WP3657,lucia:pathway/WP3657,0.4763,part_of_pathway -> WP4255; part_of_pathway -> WP4658
19,AKT1,lucia:geneproduct/AKT1,WP4239,lucia:pathway/WP4239,0.4759,part_of_pathway -> WP4255; part_of_pathway -> WP4658
20,AKT1,lucia:geneproduct/AKT1,WP2735,lucia:pathway/WP2735,0.4759,part_of_pathway -> WP4255; part_of_pathway -> WP4658
21,AKT1,lucia:geneproduct/AKT1,WP5289,lucia:pathway/WP5289,0.4756,part_of_pathway -> WP4255; part_of_pathway -> WP4658
22,AKT1,lucia:geneproduct/AKT1,WP4443,lucia:pathway/WP4443,0.4754,part_of_pathway -> WP4255; part_of_pathway -> WP4658
23,AKT1,lucia:geneproduct/AKT1,WP138,lucia:pathway/WP138,0.4751,part_of_pathway -> WP4255; part_of_pathway -> WP4658
24,AKT1,lucia:geneproduct/AKT1,WP3813,lucia:pathway/WP3813,0.4751,part_of_pathway -> WP4255; part_of_pathway -> WP4658
25,AKT1,lucia:geneproduct/AKT1,WP5236,lucia:pathway/WP5236,0.475,part_of_pathway -> WP4255; part_of_pathway -> WP4658
26,AKT1,lucia:geneproduct/AKT1,WP4857,lucia:pathway/WP4857,0.4746,part_of_pathway -> WP4255; part_of_pathway -> WP4658
27,AKT1,lucia:geneproduct/AKT1,WP5426,lucia:pathway/WP5426,0.4745,part_of_pathway -> WP4255; part_of_pathway -> WP4658
