rank,GeographicRegion_label,GeographicRegion_uri,CalendarYear_label,CalendarYear_uri,confidence,context
1,Bremen,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/DE_bremen,2021,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#calendaryear/2021,10.8722,part_of -> Germany; measured_in -> 2000; measured_in -> 2009
2,Bremen,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/DE_bremen,2020,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#calendaryear/2020,10.7398,part_of -> Germany; measured_in -> 2000; measured_in -> 2009
3,Saarland,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/DE_saarland,2021,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#calendaryear/2021,10.6134,part_of -> Germany; measured_in -> 2000; measured_in -> 2009
4,Bremen,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/DE_bremen,2016,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#calendaryear/2016,10.6007,part_of -> Germany; measured_in -> 2000; measured_in -> 2009
5,Bremen,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/DE_bremen,1995,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#calendaryear/1995,10.593,part_of -> Germany; measured_in -> 2000; measured_in -> 2009
6,Bremen,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/DE_bremen,2015,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#calendaryear/2015,10.5883,part_of -> Germany; measured_in -> 2000; measured_in -> 2009
7,Bremen,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/DE_bremen,2017,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#calendaryear/2017,10.588,part_of -> Germany; measured_in -> 2000; measured_in -> 2009
8,Bremen,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/DE_bremen,2019,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#calendaryear/2019,10.5758,part_of -> Germany; measured_in -> 2000; measured_in -> 2009
9,Bremen,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/DE_bremen,2018,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#calendaryear/2018,10.5571,part_of -> Germany; measured_in -> 2000; measured_in -> 2009
10,Northern Ireland,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/GB_northern_ireland,2021,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#calendaryear/2021,10.5155,part_of -> United Kingdom; measured_in -> 2000; measured_in -> 2009
11,Saarland,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/DE_saarland,2020,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#calendaryear/2020,10.4945,part_of -> Germany; measured_in -> 2000; measured_in -> 2009
12,Bremen,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/DE_bremen,2014,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#calendaryear/2014,10.4693,part_of -> Germany; measured_in -> 2000; measured_in -> 2009
13,Northern Ireland,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/GB_northern_ireland,2020,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#calendaryear/2020,10.3843,part_of -> United Kingdom; measured_in -> 2000; measured_in -> 2009
14,Saarland,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/DE_saarland,2016,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#calendaryear/2016,10.3592,part_of -> Germany; measured_in -> 2000; measured_in -> 2009
15,Saarland,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/DE_saarland,2017,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#calendaryear/2017,10.3466,part_of -> Germany; measured_in -> 2000; measured_in -> 2009
16,Saarland,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/DE_saarland,2015,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#calendaryear/2015,10.3447,part_of -> Germany; measured_in -> 2000; measured_in -> 2009
17,Saarland,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/DE_saarland,2019,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#calendaryear/2019,10.3374,part_of -> Germany; measured_in -> 2000; measured_in -> 2009
18,Scotland,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/GB_scotland,2021,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#calendaryear/2021,10.3328,part_of -> United Kingdom; measured_in -> 2000; measured_in -> 2009
19,Saarland,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/DE_saarland,2018,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#calendaryear/2018,10.3207,part_of -> Germany; measured_in -> 2000; measured_in -> 2009
20,Wales,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/GB_wales,2021,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#calendaryear/2021,10.3118,part_of -> United Kingdom; measured_in -> 2000; measured_in -> 2009
21,Naples Center,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/IT_naples_center,2009,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#calendaryear/2009,10.2995,part_of -> Italy; cancer_data_in -> 2011; cancer_data_in -> 2013
22,Saarland,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/DE_saarland,2014,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#calendaryear/2014,10.2322,part_of -> Germany; measured_in -> 2000; measured_in -> 2009
23,Naples Center,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/IT_naples_center,2008,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#calendaryear/2008,10.2229,part_of -> Italy; cancer_data_in -> 2011; cancer_data_in -> 2013
24,Bremen,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/DE_bremen,1990,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#calendaryear/1990,10.2179,part_of -> Germany; measured_in -> 2000; measured_in -> 2009
25,Scotland,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/GB_scotland,2020,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#calendaryear/2020,10.1797,part_of -> United Kingdom; measured_in -> 2000; measured_in -> 2009
26,Naples Center,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/IT_naples_center,2007,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#calendaryear/2007,10.179,part_of -> Italy; cancer_data_in -> 2011; cancer_data_in -> 2013
27,Naples Center,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/IT_naples_center,2006,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#calendaryear/2006,10.1206,part_of -> Italy; cancer_data_in -> 2011; cancer_data_in -> 2013
28,Naples Center,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/IT_naples_center,2005,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#calendaryear/2005,10.1102,part_of -> Italy; cancer_data_in -> 2011; cancer_data_in -> 2013
29,Scotland,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/GB_scotland,2016,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#calendaryear/2016,10.1006,part_of -> United Kingdom; measured_in -> 2000; measured_in -> 2009
30,Scotland,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/GB_scotland,2015,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#calendaryear/2015,10.0999,part_of -> United Kingdom; measured_in -> 2000; measured_in -> 2009
31,Scotland,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/GB_scotland,2017,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#calendaryear/2017,10.0863,part_of -> United Kingdom; measured_in -> 2000; measured_in -> 2009
32,Hamburg,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/DE_hamburg,2021,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#calendaryear/2021,10.076,part_of -> Germany; measured_in -> 2000; measured_in -> 2009
33,Naples Center,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/IT_naples_center,2004,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#calendaryear/2004,10.0729,part_of -> Italy; cancer_data_in -> 2011; cancer_data_in -> 2013
34,Scotland,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/GB_scotland,2019,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#calendaryear/2019,10.056,part_of -> United Kingdom; measured_in -> 2000; measured_in -> 2009
35,North Rhine-Westphalia,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/DE_north_rhine_westphalia,2021,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#calendaryear/2021,10.0441,part_of -> Germany; measured_in -> 2000; measured_in -> 2009
36,Scotland,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/GB_scotland,2018,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#calendaryear/2018,10.0382,part_of -> United Kingdom; measured_in -> 2000; measured_in -> 2009
37,Naples North,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/IT_naples_north,2009,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#calendaryear/2009,10.0021,part_of -> Italy; cancer_data_in -> 2011; cancer_data_in -> 2014
38,Scotland,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/GB_scotland,2014,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#calendaryear/2014,9.9887,part_of -> United Kingdom; measured_in -> 2000; measured_in -> 2009
39,Naples Center,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/IT_naples_center,2002,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#calendaryear/2002,9.988,part_of -> Italy; cancer_data_in -> 2011; cancer_data_in -> 2013
40,Naples Center,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/IT_naples_center,2003,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#calendaryear/2003,9.9677,part_of -> Italy; cancer_data_in -> 2011; cancer_data_in -> 2013
