rank,GeographicRegion_label,GeographicRegion_uri,CalendarYear_label,CalendarYear_uri,confidence,context
1,Chungcheong Region,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/KR_chungcheong_region,2020,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#calendaryear/2020,6.1694,part_of -> Korea; measured_in -> 2023; measured_in -> 2021
2,Chungcheong Region,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/KR_chungcheong_region,2019,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#calendaryear/2019,6.1595,part_of -> Korea; measured_in -> 2023; measured_in -> 2021
3,Jeolla Region,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/KR_jeolla_region,2019,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#calendaryear/2019,6.1317,part_of -> Korea; measured_in -> 2023; measured_in -> 2021
4,Jeolla Region,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/KR_jeolla_region,2020,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#calendaryear/2020,6.13,part_of -> Korea; measured_in -> 2023; measured_in -> 2021
5,Chungcheong Region,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/KR_chungcheong_region,2018,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#calendaryear/2018,6.1156,part_of -> Korea; measured_in -> 2023; measured_in -> 2021
6,Gyeongbuk Region,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/KR_gyeongbuk_region,2019,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#calendaryear/2019,6.115,part_of -> Korea; measured_in -> 2023; measured_in -> 2021
7,Gyeongbuk Region,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/KR_gyeongbuk_region,2020,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#calendaryear/2020,6.1107,part_of -> Korea; measured_in -> 2023; measured_in -> 2021
8,Jeolla Region,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/KR_jeolla_region,2018,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#calendaryear/2018,6.0882,part_of -> Korea; measured_in -> 2023; measured_in -> 2021
9,Chungcheong Region,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/KR_chungcheong_region,2017,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#calendaryear/2017,6.0769,part_of -> Korea; measured_in -> 2023; measured_in -> 2021
10,Gyeongbuk Region,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/KR_gyeongbuk_region,2018,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#calendaryear/2018,6.072,part_of -> Korea; measured_in -> 2023; measured_in -> 2021
11,Jeolla Region,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/KR_jeolla_region,2017,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#calendaryear/2017,6.0584,part_of -> Korea; measured_in -> 2023; measured_in -> 2021
