rank,GeoPoliticalRegion_label,GeoPoliticalRegion_uri,CalendarYear_label,CalendarYear_uri,confidence,context
1,Pomarance,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gpr/IT_pomarance,2012,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#calendaryear/2012,38.1789,part_of -> Italy; measured_in -> 2019; measured_in -> 2018
2,Pomarance,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gpr/IT_pomarance,2011,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#calendaryear/2011,37.7715,part_of -> Italy; measured_in -> 2019; measured_in -> 2018
3,Pomarance,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gpr/IT_pomarance,2010,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#calendaryear/2010,37.243,part_of -> Italy; measured_in -> 2019; measured_in -> 2018
4,Pomarance,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gpr/IT_pomarance,2009,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#calendaryear/2009,37.0793,part_of -> Italy; measured_in -> 2019; measured_in -> 2018
5,Pomarance,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gpr/IT_pomarance,2008,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#calendaryear/2008,36.6246,part_of -> Italy; measured_in -> 2019; measured_in -> 2018
6,Pomarance,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gpr/IT_pomarance,2007,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#calendaryear/2007,36.1448,part_of -> Italy; measured_in -> 2019; measured_in -> 2018
7,Pomarance,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gpr/IT_pomarance,2006,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#calendaryear/2006,35.4446,part_of -> Italy; measured_in -> 2019; measured_in -> 2018
8,Pomarance,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gpr/IT_pomarance,2004,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#calendaryear/2004,35.0335,part_of -> Italy; measured_in -> 2019; measured_in -> 2018
9,Pomarance,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gpr/IT_pomarance,2005,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#calendaryear/2005,34.9483,part_of -> Italy; measured_in -> 2019; measured_in -> 2018
10,Pomarance,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gpr/IT_pomarance,2003,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#calendaryear/2003,34.4527,part_of -> Italy; measured_in -> 2019; measured_in -> 2018
