rank,GeoPoliticalRegion_label,GeoPoliticalRegion_uri,Country_label,Country_uri,confidence,context
1,Pomarance,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gpr/IT_pomarance,Serbia,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/RS,27.3183,part_of -> Italy; measured_in -> 2019; measured_in -> 2018
2,Pomarance,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gpr/IT_pomarance,Poland,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/PL,25.9389,part_of -> Italy; measured_in -> 2019; measured_in -> 2018
3,Pomarance,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gpr/IT_pomarance,Belgium,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/BE,25.2911,part_of -> Italy; measured_in -> 2019; measured_in -> 2018
4,Pomarance,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gpr/IT_pomarance,France,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/FR,24.8905,part_of -> Italy; measured_in -> 2019; measured_in -> 2018
5,Pomarance,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gpr/IT_pomarance,Germany,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/DE,24.6755,part_of -> Italy; measured_in -> 2019; measured_in -> 2018
6,Pomarance,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gpr/IT_pomarance,Czechia,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/CZ,24.4938,part_of -> Italy; measured_in -> 2019; measured_in -> 2018
7,Pomarance,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gpr/IT_pomarance,Slovakia,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/SK,24.3824,part_of -> Italy; measured_in -> 2019; measured_in -> 2018
8,Pomarance,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gpr/IT_pomarance,Spain,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/ES,24.297,part_of -> Italy; measured_in -> 2019; measured_in -> 2018
9,Pomarance,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gpr/IT_pomarance,Croatia,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/HR,23.8702,part_of -> Italy; measured_in -> 2019; measured_in -> 2018
10,Pomarance,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gpr/IT_pomarance,Slovenia,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/SI,23.7652,part_of -> Italy; measured_in -> 2019; measured_in -> 2018
11,Pomarance,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gpr/IT_pomarance,Romania,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/RO,23.5629,part_of -> Italy; measured_in -> 2019; measured_in -> 2018
12,Pomarance,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gpr/IT_pomarance,Austria,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/AT,23.1292,part_of -> Italy; measured_in -> 2019; measured_in -> 2018
13,Pomarance,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gpr/IT_pomarance,Latvia,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/LV,22.4879,part_of -> Italy; measured_in -> 2019; measured_in -> 2018
