rank,Pathway_label,Pathway_uri,Disease_label,Disease_uri,confidence,context
1,WP5528,lucia:pathway/WP5528,Lung Neoplasms,lucia:disease/C0024121,4.3046,
2,WP5528,lucia:pathway/WP5528,Lung Carcinoma Metastatic in the Brain,lucia:disease/C0684249,4.2794,
3,WP5528,lucia:pathway/WP5528,Squamous cell carcinoma of lung,lucia:disease/C0149782,4.2276,
4,WP5528,lucia:pathway/WP5528,Adenocarcinoma of lung (disorder),lucia:disease/C0152013,4.1553,
5,WP1438,lucia:pathway/WP1438,Lung Carcinoma Metastatic in the Brain,lucia:disease/C0684249,4.1492,
6,WP5528,lucia:pathway/WP5528,Lung cancer panel,lucia:disease/C0024115,4.1062,
7,WP1438,lucia:pathway/WP1438,Lung Neoplasms,lucia:disease/C0024121,4.0985,
8,WP5441,lucia:pathway/WP5441,Lung Neoplasms,lucia:disease/C0024121,4.0674,
9,WP5428,lucia:pathway/WP5428,Lung Neoplasms,lucia:disease/C0024121,4.0609,
10,WP5441,lucia:pathway/WP5441,Lung Carcinoma Metastatic in the Brain,lucia:disease/C0684249,4.0561,
11,WP5428,lucia:pathway/WP5428,Lung Carcinoma Metastatic in the Brain,lucia:disease/C0684249,4.0354,
12,WP5526,lucia:pathway/WP5526,Lung Neoplasms,lucia:disease/C0024121,4.0288,
13,WP5526,lucia:pathway/WP5526,Lung Carcinoma Metastatic in the Brain,lucia:disease/C0684249,4.0248,
14,WP5531,lucia:pathway/WP5531,Lung Neoplasms,lucia:disease/C0024121,4.0225,
15,WP5531,lucia:pathway/WP5531,Lung Carcinoma Metastatic in the Brain,lucia:disease/C0684249,4.0174,
16,WP5528,lucia:pathway/WP5528,Hyperplasia,lucia:disease/C0020507,3.9925,
17,WP5528,lucia:pathway/WP5528,"Carcinoma, Spindle-Cell",lucia:disease/C0205697,3.9724,
18,WP1438,lucia:pathway/WP1438,Lung cancer panel,lucia:disease/C0024115,3.9332,
19,WP5441,lucia:pathway/WP5441,Lung cancer panel,lucia:disease/C0024115,3.9013,
20,WP5428,lucia:pathway/WP5428,Squamous cell carcinoma of lung,lucia:disease/C0149782,3.8979,
21,WP5428,lucia:pathway/WP5428,Lung cancer panel,lucia:disease/C0024115,3.8873,
22,WP5526,lucia:pathway/WP5526,Lung cancer panel,lucia:disease/C0024115,3.8537,
23,WP5531,lucia:pathway/WP5531,Lung cancer panel,lucia:disease/C0024115,3.8476,
24,WP5441,lucia:pathway/WP5441,Squamous cell carcinoma of lung,lucia:disease/C0149782,3.8417,
25,WP5428,lucia:pathway/WP5428,Adenocarcinoma of lung (disorder),lucia:disease/C0152013,3.8239,
26,WP5526,lucia:pathway/WP5526,Squamous cell carcinoma of lung,lucia:disease/C0149782,3.8198,
27,WP5100,lucia:pathway/WP5100,Lung Carcinoma Metastatic in the Brain,lucia:disease/C0684249,3.8161,
28,WP5100,lucia:pathway/WP5100,Lung Neoplasms,lucia:disease/C0024121,3.8143,
29,WP5531,lucia:pathway/WP5531,Squamous cell carcinoma of lung,lucia:disease/C0149782,3.8128,
30,WP5528,lucia:pathway/WP5528,"Adenocarcinoma, Oxyphilic",lucia:disease/C0205642,3.7964,
31,WP5528,lucia:pathway/WP5528,Non-squamous non-small cell lung cancer,lucia:disease/C4324656,3.7947,
32,WP5528,lucia:pathway/WP5528,Giant cell carcinoma of lung,lucia:disease/C0345960,3.7907,
33,WP2253,lucia:pathway/WP2253,Lung Neoplasms,lucia:disease/C0024121,3.7764,
34,WP5428,lucia:pathway/WP5428,Hyperplasia,lucia:disease/C0020507,3.7763,
35,WP5516,lucia:pathway/WP5516,Lung Carcinoma Metastatic in the Brain,lucia:disease/C0684249,3.7736,
36,WP5215,lucia:pathway/WP5215,Lung Neoplasms,lucia:disease/C0024121,3.7729,
37,WP4444,lucia:pathway/WP4444,Lung Carcinoma Metastatic in the Brain,lucia:disease/C0684249,3.7728,
38,WP5441,lucia:pathway/WP5441,Adenocarcinoma of lung (disorder),lucia:disease/C0152013,3.7656,
39,WP5441,lucia:pathway/WP5441,"Carcinoma, Spindle-Cell",lucia:disease/C0205697,3.7647,
40,WP5428,lucia:pathway/WP5428,"Carcinoma, Spindle-Cell",lucia:disease/C0205697,3.7622,
41,WP5441,lucia:pathway/WP5441,Hyperplasia,lucia:disease/C0020507,3.7615,
42,WP2253,lucia:pathway/WP2253,Lung Carcinoma Metastatic in the Brain,lucia:disease/C0684249,3.7609,
43,WP5516,lucia:pathway/WP5516,Lung Neoplasms,lucia:disease/C0024121,3.7602,
44,WP4444,lucia:pathway/WP4444,Lung Neoplasms,lucia:disease/C0024121,3.758,
45,WP2489,lucia:pathway/WP2489,Lung Carcinoma Metastatic in the Brain,lucia:disease/C0684249,3.755,
46,WP5526,lucia:pathway/WP5526,Adenocarcinoma of lung (disorder),lucia:disease/C0152013,3.7504,
47,WP5531,lucia:pathway/WP5531,Adenocarcinoma of lung (disorder),lucia:disease/C0152013,3.7432,
48,WP2489,lucia:pathway/WP2489,Lung Neoplasms,lucia:disease/C0024121,3.7382,
49,WP5215,lucia:pathway/WP5215,Lung Carcinoma Metastatic in the Brain,lucia:disease/C0684249,3.7364,
50,WP1438,lucia:pathway/WP1438,"Carcinoma, Spindle-Cell",lucia:disease/C0205697,3.7299,
