"PathwayId","PathwayName"
"WP100","Glutathione metabolism"
"WP106","Alanine and aspartate metabolism"
"WP107","Translation factors"
"WP111","Electron transport chain: OXPHOS system in mitochondria"
"WP117","GPCRs, other"
"WP12","Osteoclast signaling"
"WP127","IL5 signaling"
"WP129","Matrix metalloproteinases"
"WP134","Pentose phosphate metabolism"
"WP136","Phase I biotransformations, non-P450"
"WP138","Androgen receptor signaling"
"WP1403","AMP-activated protein kinase signaling"
"WP1422","Sphingolipid pathway"
"WP1423","Ganglio sphingolipid metabolism"
"WP1424","Globo sphingolipid metabolism"
"WP1425","Bone morphogenic protein signaling and regulation"
"WP143","Fatty acid beta-oxidation"
"WP1433","Nucleotide-binding oligomerization domain (NOD) pathway"
"WP1434","Osteopontin signaling"
"WP1438","Influenza A virus infection"
"WP1449","Regulation of toll-like receptor signaling"
"WP1455","Serotonin transporter activity"
"WP1471","Target of rapamycin signaling"
"WP1495","Glycine metabolism"
"WP15","Selenium micronutrient network"
"WP1528","Physiological and pathological hypertrophy of the heart"
"WP1530","miRNA regulation of DNA damage response"
"WP1531","Vitamin D metabolism"
"WP1533","Vitamin B12 metabolism"
"WP1539","Angiogenesis"
"WP1541","Energy metabolism"
"WP1544","MicroRNAs in cardiomyocyte hypertrophy"
"WP1545","miRNAs involved in DNA damage response"
"WP1559","Transcription factors regulate miRNAs related to cardiac hypertrophy"
"WP1584","Type II diabetes mellitus"
"WP1589","Folate-alcohol and cancer pathway hypotheses"
"WP1591","Heart development"
"WP1600","Nicotine metabolism in liver cells"
"WP1601","Fluoropyrimidine activity"
"WP1602","Nicotine effect on dopaminergic neurons"
"WP1603","Nicotine effect on chromaffin cells"
"WP1604","Codeine and morphine metabolism"
"WP167","Eicosanoid synthesis"
"WP170","Nuclear receptors"
"WP1742","TP53 network"
"WP176","Folate metabolism"
"WP1772","Apoptosis modulation and signaling"
"WP1775","Cell cycle checkpoints"
"WP1780","ABC-family proteins mediated transport"
"WP1781","Advanced glycosylation endproduct receptor signaling"
"WP1784","Apoptotic execution phase"
"WP1785","Asparagine N-linked glycosylation"
"WP1788","Bile acid and bile salt metabolism"
"WP1789","Insulin-like Growth Factor-2 mRNA Binding Proteins binding to RNA"
"WP179","Cell cycle"
"WP1793","Cell junction organization"
"WP1794","Cell surface interactions at the vascular wall"
"WP1795","Cholesterol biosynthesis"
"WP1797","Circadian Clock"
"WP1798","Complement cascade"
"WP1799","Costimulation by the CD28 family"
"WP1800","Presynaptic depolarization and calcium channel opening"
"WP1802","Dissolution of Fibrin Clot"
"WP1803","DNA Damage Bypass"
"WP1804","DNA Damage Reversal"
"WP1809","Effects of PIP2 hydrolysis"
"WP1811","Eukaryotic translation elongation"
"WP1812","Eukaryotic translation initiation"
"WP1813","Eukaryotic translation termination"
"WP1815","Factors involved in megakaryocyte development and platelet production"
"WP1818","Formation of Fibrin Clot and the Clotting Cascade"
"WP1820","Gap junction trafficking and regulation"
"WP1822","Generic transcription pathway"
"WP1823","GP1b-IX-V activation signaling"
"WP1826","GPVI-mediated activation cascade"
"WP1829","Immunoregulatory interactions between lymphoid and non-lymphoid cells"
"WP183","Proteasome degradation"
"WP1831","Integration of energy metabolism"
"WP1835","Interferon alpha/beta signaling"
"WP1836","Interferon gamma signaling"
"WP1838","Interleukin-1 processing"
"WP1839","Interleukin-1 family signaling"
"WP1840","Interleukin-3, Interleukin-5 and GM-CSF signaling"
"WP1841","Intrinsic Pathway for Apoptosis"
"WP1842","Kinesins"
"WP1843","L1CAM interactions"
"WP1845","MAPK targets/ Nuclear events mediated by MAP kinases"
"WP185","Integrin-mediated cell adhesion"
"WP1850","Metabolism of nitric oxide: NOS3 activation and regulation"
"WP1852","Metabolism of porphyrins"
"WP1857","Metabolism of water-soluble vitamins and cofactors"
"WP1858","Mitotic G1 phase and G1/S transition"
"WP1859","Mitotic G2-G2/M phases"
"WP186","Homologous recombination"
"WP1861","mRNA Capping"
"WP1862","mRNA Editing"
"WP1865","Myogenesis"
"WP1866","NCAM signaling for neurite out-growth"
"WP1867","Nephrin family interactions"
"WP1868","Netrin-1 signaling"
"WP1870","Neurotransmitter clearance"
"WP1871","Neurotransmitter release cycle"
"WP1872","Neurotransmitter uptake and metabolism In glial cells"
"WP1873","Signaling by NTRK1"
"WP1874","Nucleosome assembly"
"WP1877","Passive transport by Aquaporins"
"WP1878","Peroxisomal lipid metabolism"
"WP1883","Platelet adhesion to exposed collagen"
"WP1884","Platelet Aggregation (Plug Formation)"
"WP1885","Platelet homeostasis"
"WP1887","Post-translational modification: synthesis of GPI-anchored proteins"
"WP1889","Processing of Capped Intron-Containing Pre-mRNA"
"WP1890","Processing of Capped Intronless Pre-mRNA"
"WP1892","Protein folding"
"WP1895","Rap1 signaling"
"WP1896","Regulation of apoptosis"
"WP1902","Respiratory electron transport, ATP synthesis by chemiosmotic coupling, and heat production by uncoupling proteins."
"WP1903","Response to elevated platelet cytosolic Ca ions"
"WP1904","DDX58/IFIH1-mediated induction of interferon-alpha/beta"
"WP1906","RNA Polymerase II Transcription"
"WP1907","Semaphorin interactions"
"WP1908","Signal amplification"
"WP1909","Signal regulatory protein family interactions"
"WP1910","Signaling by EGFR"
"WP1913","Signaling by insulin receptor"
"WP1916","Signaling by PDGF"
"WP1917","Signaling by Rho GTPases"
"WP1918","Signaling by ROBO receptors"
"WP1919","Signaling by VEGF"
"WP1925","Synthesis of DNA"
"WP1926","Transport of glycerol from adipocytes to liver by aquaporins"
"WP1927","TCR signaling"
"WP1928","Telomere Maintenance"
"WP1929","Thrombin signaling through proteinase activated receptors (PARs)"
"WP1934","Transmission across Electrical Synapses "
"WP1935","Transport of bile salts and organic acids, metal ions and amine compounds"
"WP1936","Transport of inorganic cations/anions and amino acids/oligopeptides"
"WP1937","Transport of vitamins, nucleosides, and related molecules"
"WP1938","tRNA aminoacylation"
"WP1939","Unfolded Protein Response"
"WP1941","Peroxisomal beta-oxidation of tetracosanoyl-CoA"
"WP1946","Cori cycle"
"WP195","IL1 signaling"
"WP197","Cholesterol biosynthesis pathway"
"WP1971","Integrated cancer pathway"
"WP1978","Opioid signaling"
"WP1980","Nucleotide Excision Repair"
"WP1981","Thyroxine (thyroid hormone) production"
"WP1982","Sterol regulatory element-binding proteins (SREBP) signaling"
"WP1984","Integrated breast cancer pathway"
"WP1991","SRF and miRs in smooth muscle differentiation and proliferation"
"WP1992","Genes targeted by miRNAs in adipocytes"
"WP1993","Angiogenesis overview"
"WP1995","Effects of nitric oxide"
"WP2001","miR-targeted genes in adipocytes"
"WP2002","miR-targeted genes in epithelium"
"WP2003","miR-targeted genes in leukocytes"
"WP2004","miR-targeted genes in lymphocytes"
"WP2005","miR-targeted genes in muscle cell"
"WP2006","miR-targeted genes in squamous cell"
"WP2007","Iron metabolism in placenta"
"WP2011","SREBF and miR33 in cholesterol and lipid homeostasis"
"WP2012","miRNA in muscle cell differentiation"
"WP2018","RANKL/RANK signaling"
"WP2023","Cell differentiation - expanded index"
"WP2029","Cell differentiation - index"
"WP2032","Thyroid stimulating hormone (TSH) signaling"
"WP2034","Leptin signaling"
"WP2035","Follicle stimulating hormone (FSH) signaling"
"WP2036","TNF-related weak inducer of apoptosis (TWEAK) signaling"
"WP2037","Prolactin signaling"
"WP2038","Microtubule cytoskeleton regulation"
"WP205","IL7 signaling"
"WP2059","Alzheimer's disease and miRNA effects"
"WP206","Fatty acid omega-oxidation"
"WP2064","Neural crest differentiation"
"WP2112","IL17 signaling"
"WP2113","Type III interferon signaling"
"WP2118","Arrhythmogenic right ventricular cardiomyopathy"
"WP2197","Endothelin pathways"
"WP22","IL9 signaling"
"WP2203","Thymic stromal lymphopoietin (TSLP) signaling"
"WP2249","Metastatic brain tumor"
"WP2253","Pilocytic astrocytoma"
"WP2261","Glioblastoma signaling"
"WP2263","Androgen receptor network in prostate cancer"
"WP2267","Synaptic vesicle pathway"
"WP2272","Pathogenic Escherichia coli infection"
"WP2276","Glial cell differentiation"
"WP2289","Drug induction of bile acid pathway"
"WP229","Irinotecan pathway"
"WP2290","RalA downstream regulated genes"
"WP2291","Deregulation of Rab and Rab effector genes in bladder cancer"
"WP23","B cell receptor signaling"
"WP231","TNF-alpha signaling"
"WP2324","AGE/RAGE pathway"
"WP2328","Allograft rejection"
"WP2332","IL11 signaling"
"WP2333","Trans-sulfuration pathway"
"WP2338","miRNA biogenesis"
"WP2355","Corticotropin-releasing hormone signaling"
"WP2359","Parkin-ubiquitin proteasomal system pathway"
"WP236","Adipogenesis"
"WP2361","Gastric cancer network 1"
"WP2363","Gastric cancer network 2"
"WP2366","Butyrate-induced histone acetylation"
"WP2369","Histone modifications"
"WP2371","Parkinson's disease pathway"
"WP2374","Oncostatin M signaling"
