gene_label,appears_in_seeds,seeds,n_predictions,mean_rank,best_rank,mean_confidence,std_confidence,diseases
EGFR,3,"42,123,789",10,32.4,2,0.96219,0.014712613635924736,Adenosquamous cell lung cancer | Epidermal growth factor receptor positive non-small cell lung cancer | Metaplasia | Non-small cell lung cancer recurrent | Non-squamous non-small cell lung cancer
HIF1A,3,"42,456,789",4,34.75,26,0.957925,0.013600337005628479,Epidermal growth factor receptor positive non-small cell lung cancer | Non-squamous non-small cell lung cancer | Pseudosarcomatous carcinoma of lung | Small cell lung cancer recurrent
PIK3CA,3,"123,789,1337",3,39.0,34,0.9456000000000001,0.016058642532916636,Large cell carcinoma of lung | Squamous cell carcinoma of lung | Squamous non-small cell lung cancer
ALK,3,"123,789,1337",3,43.666666666666664,36,0.9410999999999999,0.00778909494100575,Non-small cell lung cancer recurrent | Pseudosarcomatous carcinoma of lung | Squamous cell carcinoma of lung
DDR2,2,"42,1337",10,17.7,1,0.97179,0.018025441896263105,Adenosquamous cell lung cancer | Combined Lung Small Cell Carcinoma | Epidermal growth factor receptor positive non-small cell lung cancer | Invasive Lung Mucinous Adenocarcinoma | Non-small cell lung cancer recurrent
PIK3CD,2,"42,789",6,31.833333333333332,9,0.9622666666666667,0.011494288436726598,Hyperplasia | Large cell carcinoma of lung | Lymphoepithelial carcinoma | Metaplasia | Non-squamous non-small cell lung cancer
CD274,2,"456,1337",6,29.0,13,0.9495833333333333,0.013174432309085132,Adenosquamous cell lung cancer | Giant cell carcinoma of lung | Non-squamous non-small cell lung cancer | Squamous non-small cell lung cancer
DAXX,2,"123,456",4,26.25,17,0.9687,0.010973908449894553,Bronchioloalveolar Adenocarcinoma | Large cell carcinoma of lung | Metaplasia | Proteus Syndrome
BCL2L11,2,"42,789",4,32.0,22,0.959375,0.006997797272475535,Carcinoid tumor of lung | Combined Lung Small Cell Carcinoma | Non-small cell lung cancer recurrent | Pseudosarcomatous carcinoma of lung
MMP13,2,"456,789",3,6.666666666666667,2,0.9861333333333334,0.008848352012286379,"Adenocarcinoma, Oxyphilic | Carcinoma, Spindle-Cell | Hyperplasia"
KRT19,2,"42,789",3,26.333333333333332,4,0.9671666666666666,0.02318713723885145,Adenosquamous cell lung cancer | Non-squamous non-small cell lung cancer | Pseudosarcomatous carcinoma of lung
CHPT1,2,"123,789",3,25.666666666666668,17,0.9666333333333333,0.005050082507576846,Lymphoepithelial carcinoma | Pulmonary Sclerosing Hemangioma | Small cell lung cancer extensive stage
ESR2,2,"789,1337",3,21.333333333333332,8,0.9664999999999999,0.01647027625754952,Bronchioloalveolar Adenocarcinoma | Lymphoepithelial carcinoma | Small cell carcinoma of lung
SDHD,2,"123,1337",3,21.333333333333332,4,0.9653999999999999,0.023350160599019523,Bronchioloalveolar Adenocarcinoma | Large cell carcinoma of lung | Lung Neoplasms
PTGS2,2,"42,1337",3,23.333333333333332,10,0.9652666666666666,0.017047091638556233,"Adenocarcinoma, Oxyphilic | Pulmonary Sclerosing Hemangioma | stage, non-small cell lung cancer"
KRT20,2,"123,1337",3,25.0,4,0.9567666666666667,0.028220973288200623,"Carcinoma, Spindle-Cell | Metaplasia | Pulmonary Sclerosing Hemangioma"
FOXA1,2,"123,1337",3,35.333333333333336,30,0.9550666666666666,0.008989067434018649,Carcinoid tumor of lung | Non-squamous non-small cell lung cancer
TP53,2,"456,789",3,38.0,21,0.9535333333333332,0.01647341292305075,Large cell carcinoma of lung | Small cell lung cancer limited stage | Small cell lung cancer recurrent
