candidate,Gene_label,Pathway_label,PathwayName,appears_in_seeds,seeds,mean_rank,best_rank,mean_confidence,std_confidence
TET1 -> SUMOylation,TET1,WP2778,SUMOylation,1,789,1.0,1,0.999,0.0
XRCC5 -> ATR signaling,XRCC5,WP3875,ATR signaling,1,789,2.0,2,0.9988,0.0
UBXN1 -> Sialic acid metabolism,UBXN1,WP3363,Sialic acid metabolism,1,42,1.0,1,0.9987,0.0
SLC44A1 -> Urea cycle,SLC44A1,WP4973,Urea cycle,1,123,1.0,1,0.9986,0.0
UPB1 -> Nucleotide salvage,UPB1,WP4082,Nucleotide salvage,1,123,2.0,2,0.9986,0.0
ATP5F1C -> Oxidative phosphorylation,ATP5F1C,WP623,Oxidative phosphorylation,1,789,3.0,3,0.9986,0.0
TET1 -> RNA Polymerase III Transcription,TET1,WP4135,RNA Polymerase III Transcription,1,789,4.0,4,0.9984,0.0
AOX1 -> Tryptophan catabolism,AOX1,WP4994,Tryptophan catabolism,1,42,2.0,2,0.9983,0.0
GPR18 -> Peptide GPCRs,GPR18,WP24,Peptide GPCRs,1,42,3.0,3,0.9983,0.0
CFH -> Formation of Fibrin Clot and the Clotting Cascade,CFH,WP1818,Formation of Fibrin Clot and the Clotting Cascade,1,1337,1.0,1,0.998,0.0
UBXN1 -> Mitochondrial protein import,UBXN1,WP2717,Mitochondrial protein import,1,42,4.0,4,0.998,0.0
PKP2 -> Cell junction organization,PKP2,WP1793,Cell junction organization,1,42,5.0,5,0.9979,0.0
"PXMP2 -> Glycine metabolism, including IMDs",PXMP2,WP5028,"Glycine metabolism, including IMDs",1,123,3.0,3,0.9978,0.0
SRRT -> mRNA processing,SRRT,WP411,mRNA processing,1,456,1.0,1,0.9977,0.0
PLCD3 -> PI Metabolism,PLCD3,WP2747,PI Metabolism,1,1337,2.0,2,0.9977,0.0
MRPL51 -> tRNA modification in the nucleus and cytosol,MRPL51,WP3561,tRNA modification in the nucleus and cytosol,1,123,4.0,4,0.9977,0.0
GALNT1 -> MHC class II antigen presentation,GALNT1,WP2679,MHC class II antigen presentation,1,789,5.0,5,0.9977,0.0
ST8SIA6 -> Globo sphingolipid metabolism,ST8SIA6,WP1424,Globo sphingolipid metabolism,1,789,6.0,6,0.9977,0.0
