rank,Disease_label,Disease_uri,ChromoRearr_label,ChromoRearr_uri,confidence
1,Adenocarcinoma of lung (disorder),lucia:disease/C0152013,del(4)(p16p16),lucia:chromo_rearr/del(4)(p16p16),0.6753
2,Adenocarcinoma of lung (disorder),lucia:disease/C0152013,der(15)(q14),lucia:chromo_rearr/der(15)(q14),0.6182
3,Proteus Syndrome,lucia:disease/C0085261,t(5;9)(q35;q21),lucia:chromo_rearr/t(5;9)(q35;q21),0.0497
4,Lung cancer panel,lucia:disease/C0024115,t(5;9)(q35;q21),lucia:chromo_rearr/t(5;9)(q35;q21),0.0169
5,Squamous cell carcinoma of lung,lucia:disease/C0149782,t(5;9)(q35;q21),lucia:chromo_rearr/t(5;9)(q35;q21),0.0107
6,Lung Neoplasms,lucia:disease/C0024121,t(9;20)(q34;p11),lucia:chromo_rearr/t(9;20)(q34;p11),0.009
7,Lung Neoplasms,lucia:disease/C0024121,t(15;15)(q14;q15),lucia:chromo_rearr/t(15;15)(q14;q15),0.0087
8,Lung Neoplasms,lucia:disease/C0024121,t(1;17)(q23;p11),lucia:chromo_rearr/t(1;17)(q23;p11),0.0085
9,Lung Neoplasms,lucia:disease/C0024121,t(13;13)(q13;q31),lucia:chromo_rearr/t(13;13)(q13;q31),0.0084
10,Lung Neoplasms,lucia:disease/C0024121,t(X;1)(p11;q21),lucia:chromo_rearr/t(X;1)(p11;q21),0.0084
11,Lung Neoplasms,lucia:disease/C0024121,t(11;13)(q24;q14),lucia:chromo_rearr/t(11;13)(q24;q14),0.0084
12,Lung Neoplasms,lucia:disease/C0024121,t(11;16)(q12;p12),lucia:chromo_rearr/t(11;16)(q12;p12),0.008
13,Lung Neoplasms,lucia:disease/C0024121,t(12;19)(q15;p13),lucia:chromo_rearr/t(12;19)(q15;p13),0.0078
14,Lung Neoplasms,lucia:disease/C0024121,t(10;10)(p14;p14),lucia:chromo_rearr/t(10;10)(p14;p14),0.0075
15,Lung Neoplasms,lucia:disease/C0024121,t(7;19)(q36;p13),lucia:chromo_rearr/t(7;19)(q36;p13),0.0071
16,Lung Neoplasms,lucia:disease/C0024121,t(10;19)(q22;q13),lucia:chromo_rearr/t(10;19)(q22;q13),0.007
17,Lung Neoplasms,lucia:disease/C0024121,t(X;1)(q26;p34),lucia:chromo_rearr/t(X;1)(q26;p34),0.0069
18,Lung Neoplasms,lucia:disease/C0024121,t(1;1)(q23;q22),lucia:chromo_rearr/t(1;1)(q23;q22),0.0068
19,Lung Neoplasms,lucia:disease/C0024121,t(6;10)(p22;q11),lucia:chromo_rearr/t(6;10)(p22;q11),0.0068
20,Lung Neoplasms,lucia:disease/C0024121,t(2;10)(p11;q22),lucia:chromo_rearr/t(2;10)(p11;q22),0.0068
21,Lung Neoplasms,lucia:disease/C0024121,t(6;6)(p22;p22),lucia:chromo_rearr/t(6;6)(p22;p22),0.0066
22,Lung Neoplasms,lucia:disease/C0024121,t(1;11)(q32;q13),lucia:chromo_rearr/t(1;11)(q32;q13),0.0063
23,Lung Neoplasms,lucia:disease/C0024121,t(1;10)(q31;q11),lucia:chromo_rearr/t(1;10)(q31;q11),0.0063
24,Lung Neoplasms,lucia:disease/C0024121,t(12;13)(p12;q14),lucia:chromo_rearr/t(12;13)(p12;q14),0.0062
25,Lung Neoplasms,lucia:disease/C0024121,t(12;12)(q22;q23),lucia:chromo_rearr/t(12;12)(q22;q23),0.0062
26,Lung Neoplasms,lucia:disease/C0024121,t(10;16)(q24;q22),lucia:chromo_rearr/t(10;16)(q24;q22),0.0062
27,Lung Neoplasms,lucia:disease/C0024121,t(2;14)(q37;q32),lucia:chromo_rearr/t(2;14)(q37;q32),0.0062
28,Lung Neoplasms,lucia:disease/C0024121,t(6;6)(q12;q14),lucia:chromo_rearr/t(6;6)(q12;q14),0.006
29,Lung Neoplasms,lucia:disease/C0024121,t(17;17)(q21;q25),lucia:chromo_rearr/t(17;17)(q21;q25),0.0059
30,Lung Neoplasms,lucia:disease/C0024121,t(8;14)(p12;q22),lucia:chromo_rearr/t(8;14)(p12;q22),0.0057
31,Lung Neoplasms,lucia:disease/C0024121,t(14;14)(q13;q13),lucia:chromo_rearr/t(14;14)(q13;q13),0.0057
32,Lung Neoplasms,lucia:disease/C0024121,t(14;14)(q22;q24),lucia:chromo_rearr/t(14;14)(q22;q24),0.0057
33,Lung Neoplasms,lucia:disease/C0024121,t(1;3)(p13;p13),lucia:chromo_rearr/t(1;3)(p13;p13),0.0053
34,Lung Neoplasms,lucia:disease/C0024121,t(7;7)(p21;q11),lucia:chromo_rearr/t(7;7)(p21;q11),0.0052
35,Lung Neoplasms,lucia:disease/C0024121,t(7;10)(q34;q21),lucia:chromo_rearr/t(7;10)(q34;q21),0.0051
36,Lung Neoplasms,lucia:disease/C0024121,t(1;1)(p12;p12),lucia:chromo_rearr/t(1;1)(p12;p12),0.0051
37,Lung Neoplasms,lucia:disease/C0024121,t(4;4)(q21;q32),lucia:chromo_rearr/t(4;4)(q21;q32),0.005
38,Lung Neoplasms,lucia:disease/C0024121,t(17;17)(q12;q21),lucia:chromo_rearr/t(17;17)(q12;q21),0.005
39,Lung Neoplasms,lucia:disease/C0024121,t(2;2)(q21;q21),lucia:chromo_rearr/t(2;2)(q21;q21),0.0049
40,Lung Neoplasms,lucia:disease/C0024121,t(17;20)(q23;q11),lucia:chromo_rearr/t(17;20)(q23;q11),0.0049
41,Lung Neoplasms,lucia:disease/C0024121,t(8;15)(p12;q25),lucia:chromo_rearr/t(8;15)(p12;q25),0.0049
42,Lung Neoplasms,lucia:disease/C0024121,t(17;22)(q21;q13),lucia:chromo_rearr/t(17;22)(q21;q13),0.0049
43,Lung Neoplasms,lucia:disease/C0024121,t(6;22)(q24;q12),lucia:chromo_rearr/t(6;22)(q24;q12),0.0049
44,Lung Neoplasms,lucia:disease/C0024121,t(18;18)(p11;q12),lucia:chromo_rearr/t(18;18)(p11;q12),0.0048
45,Lung Neoplasms,lucia:disease/C0024121,t(2;2)(q31;q32),lucia:chromo_rearr/t(2;2)(q31;q32),0.0048
46,Lung Neoplasms,lucia:disease/C0024121,t(11;20)(p15;q13),lucia:chromo_rearr/t(11;20)(p15;q13),0.0048
