rank,Gene_label,Gene_uri,Pathway_label,Pathway_uri,confidence
1,UBXN1,lucia:gene/ncbigene:51035,WP3363,lucia:pathway/WP3363,0.9987
2,AOX1,lucia:gene/ncbigene:316,WP4994,lucia:pathway/WP4994,0.9983
3,GPR18,lucia:gene/ncbigene:2841,WP24,lucia:pathway/WP24,0.9983
4,UBXN1,lucia:gene/ncbigene:51035,WP2717,lucia:pathway/WP2717,0.998
5,PKP2,lucia:gene/ncbigene:5318,WP1793,lucia:pathway/WP1793,0.9979
6,WNK1,lucia:gene/ncbigene:65125,WP2679,lucia:pathway/WP2679,0.9969
7,B3GALNT1,lucia:gene/ncbigene:8706,WP5292,lucia:pathway/WP5292,0.9966
8,DYNC1H1,lucia:gene/ncbigene:1778,WP2684,lucia:pathway/WP2684,0.996
9,RXFP1,lucia:gene/ncbigene:59350,WP4423,lucia:pathway/WP4423,0.9958
10,ADRA1A,lucia:gene/ncbigene:148,WP4993,lucia:pathway/WP4993,0.9957
11,HEPH,lucia:gene/ncbigene:9843,WP2007,lucia:pathway/WP2007,0.9956
12,RXFP1,lucia:gene/ncbigene:59350,WP536,lucia:pathway/WP536,0.9953
13,COL5A3,lucia:gene/ncbigene:50509,WP1793,lucia:pathway/WP1793,0.9953
14,UBXN1,lucia:gene/ncbigene:51035,WP5153,lucia:pathway/WP5153,0.9953
15,FBF1,lucia:gene/ncbigene:85302,WP5234,lucia:pathway/WP5234,0.9952
16,RXFP1,lucia:gene/ncbigene:59350,WP455,lucia:pathway/WP455,0.9951
17,UBXN1,lucia:gene/ncbigene:51035,WP1424,lucia:pathway/WP1424,0.9949
18,B3GALNT1,lucia:gene/ncbigene:8706,WP3829,lucia:pathway/WP3829,0.9948
19,GDI2,lucia:gene/ncbigene:2665,WP2679,lucia:pathway/WP2679,0.9947
20,EXTL3,lucia:gene/ncbigene:2137,WP1887,lucia:pathway/WP1887,0.9946
21,SH3KBP1,lucia:gene/ncbigene:30011,WP3577,lucia:pathway/WP3577,0.9944
22,CYP1A1,lucia:gene/ncbigene:1543,WP5396,lucia:pathway/WP5396,0.9944
23,POLE,lucia:gene/ncbigene:5426,WP3569,lucia:pathway/WP3569,0.9943
24,SH3KBP1,lucia:gene/ncbigene:30011,WP2272,lucia:pathway/WP2272,0.9943
25,RXFP1,lucia:gene/ncbigene:59350,WP4424,lucia:pathway/WP4424,0.9942
26,RGS16,lucia:gene/ncbigene:6004,WP4419,lucia:pathway/WP4419,0.9941
27,NDUFS5,lucia:gene/ncbigene:4725,WP4921,lucia:pathway/WP4921,0.9941
28,ADRA1A,lucia:gene/ncbigene:148,WP4427,lucia:pathway/WP4427,0.994
29,GDI2,lucia:gene/ncbigene:2665,WP3842,lucia:pathway/WP3842,0.994
30,WDR12,lucia:gene/ncbigene:55759,WP3828,lucia:pathway/WP3828,0.9939
31,DNM1,lucia:gene/ncbigene:1759,WP3842,lucia:pathway/WP3842,0.9936
32,RXFP1,lucia:gene/ncbigene:59350,WP24,lucia:pathway/WP24,0.9936
33,FBF1,lucia:gene/ncbigene:85302,WP1892,lucia:pathway/WP1892,0.9935
34,SH3KBP1,lucia:gene/ncbigene:30011,WP3388,lucia:pathway/WP3388,0.9934
35,UBE2C,lucia:gene/ncbigene:11065,WP1918,lucia:pathway/WP1918,0.9933
36,FUT3,lucia:gene/ncbigene:2525,WP5292,lucia:pathway/WP5292,0.9932
37,GLRA1,lucia:gene/ncbigene:2741,WP1939,lucia:pathway/WP1939,0.9931
38,B3GALNT1,lucia:gene/ncbigene:8706,WP5194,lucia:pathway/WP5194,0.9931
39,SH3KBP1,lucia:gene/ncbigene:30011,WP1917,lucia:pathway/WP1917,0.9931
40,CACNA2D3,lucia:gene/ncbigene:55799,WP536,lucia:pathway/WP536,0.9929
41,RXFP1,lucia:gene/ncbigene:59350,WP4422,lucia:pathway/WP4422,0.9929
42,GLRA1,lucia:gene/ncbigene:2741,WP4133,lucia:pathway/WP4133,0.9927
43,IL12A,lucia:gene/ncbigene:3592,WP619,lucia:pathway/WP619,0.9927
44,UBE2C,lucia:gene/ncbigene:11065,WP2684,lucia:pathway/WP2684,0.9927
45,ADA,lucia:gene/ncbigene:100,WP4421,lucia:pathway/WP4421,0.9926
46,ATP5F1E,lucia:gene/ncbigene:514,WP1938,lucia:pathway/WP1938,0.9925
47,NDUFB10,lucia:gene/ncbigene:4716,WP4134,lucia:pathway/WP4134,0.9925
48,KCTD1,lucia:gene/ncbigene:284252,WP5052,lucia:pathway/WP5052,0.9925
49,FBF1,lucia:gene/ncbigene:85302,WP4803,lucia:pathway/WP4803,0.9924
50,ADH1C,lucia:gene/ncbigene:126,WP3579,lucia:pathway/WP3579,0.9924
