rank,Gene_label,Gene_uri,Pathway_label,PathwayName,Pathway_uri,confidence
1,UBXN1,lucia:gene/ncbigene:51035,WP3363,Sialic acid metabolism,lucia:pathway/WP3363,0.9987
2,AOX1,lucia:gene/ncbigene:316,WP4994,Tryptophan catabolism,lucia:pathway/WP4994,0.9983
3,GPR18,lucia:gene/ncbigene:2841,WP24,Peptide GPCRs,lucia:pathway/WP24,0.9983
4,UBXN1,lucia:gene/ncbigene:51035,WP2717,Mitochondrial protein import,lucia:pathway/WP2717,0.998
5,PKP2,lucia:gene/ncbigene:5318,WP1793,Cell junction organization,lucia:pathway/WP1793,0.9979
6,WNK1,lucia:gene/ncbigene:65125,WP2679,MHC class II antigen presentation,lucia:pathway/WP2679,0.9969
7,B3GALNT1,lucia:gene/ncbigene:8706,WP5292,Glycosphingolipid metabolism,lucia:pathway/WP5292,0.9966
8,DYNC1H1,lucia:gene/ncbigene:1778,WP2684,Host Interactions of HIV factors,lucia:pathway/WP2684,0.996
9,RXFP1,lucia:gene/ncbigene:59350,WP4423,G alpha (i) signaling events,lucia:pathway/WP4423,0.9958
10,ADRA1A,lucia:gene/ncbigene:148,WP4993,Anti-inflammatory response favouring Leishmania parasite infection,lucia:pathway/WP4993,0.9957
11,HEPH,lucia:gene/ncbigene:9843,WP2007,Iron metabolism in placenta,lucia:pathway/WP2007,0.9956
12,RXFP1,lucia:gene/ncbigene:59350,WP536,Calcium regulation in cardiac cells,lucia:pathway/WP536,0.9953
13,COL5A3,lucia:gene/ncbigene:50509,WP1793,Cell junction organization,lucia:pathway/WP1793,0.9953
14,UBXN1,lucia:gene/ncbigene:51035,WP5153,N-glycan biosynthesis,lucia:pathway/WP5153,0.9953
15,FBF1,lucia:gene/ncbigene:85302,WP5234,Bardet-Biedl syndrome,lucia:pathway/WP5234,0.9952
16,RXFP1,lucia:gene/ncbigene:59350,WP455,"GPCRs, class A rhodopsin-like",lucia:pathway/WP455,0.9951
17,UBXN1,lucia:gene/ncbigene:51035,WP1424,Globo sphingolipid metabolism,lucia:pathway/WP1424,0.9949
18,B3GALNT1,lucia:gene/ncbigene:8706,WP3829,rRNA processing,lucia:pathway/WP3829,0.9948
19,GDI2,lucia:gene/ncbigene:2665,WP2679,MHC class II antigen presentation,lucia:pathway/WP2679,0.9947
20,EXTL3,lucia:gene/ncbigene:2137,WP1887,Post-translational modification: synthesis of GPI-anchored proteins,lucia:pathway/WP1887,0.9946
