child,childLabel,parent,parentLabel
http://www.w3.org/2002/07/owl#Restriction,Restriction,http://www.w3.org/2002/07/owl#Class,Class
http://www.w3.org/2002/07/owl#SymmetricProperty,SymmetricProperty,http://www.w3.org/2002/07/owl#ObjectProperty,ObjectProperty
http://www.w3.org/2002/07/owl#InverseFunctionalProperty,InverseFunctionalProperty,http://www.w3.org/2002/07/owl#ObjectProperty,ObjectProperty
http://www.w3.org/2002/07/owl#TransitiveProperty,TransitiveProperty,http://www.w3.org/2002/07/owl#ObjectProperty,ObjectProperty
http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#biospecimen/cohort/COHORT_COMBINED_COHORTS,Combined cohorts,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#studypopulation/POP_0001,Bronchus and lung cancer cases
http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#biospecimen/cohort/COHORT_ATBC,"ATBC (Alpha-Tocopherol, Beta-Carotene Cancer Prevention Study)",http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#studypopulation/POP_0002,Lung cancer cases
http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#biospecimen/cohort/COHORT_CCHS,Copenhagen City Heart Study,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#studypopulation/POP_0002,Lung cancer cases
http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#biospecimen/cohort/COHORT_COMBINED_COHORTS,Combined cohorts,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#studypopulation/POP_0002,Lung cancer cases
http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#biospecimen/cohort/COHORT_ESTHER,ESTHER,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#studypopulation/POP_0002,Lung cancer cases
http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#biospecimen/cohort/COHORT_FINNISH_MOBILE_CLINIC_SUR,Finnish Mobile Clinic Surveys,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#studypopulation/POP_0002,Lung cancer cases
http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#biospecimen/cohort/COHORT_HIMS,HIMS (Health in Men Study),http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#studypopulation/POP_0002,Lung cancer cases
http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#biospecimen/cohort/COHORT_HUNT_NORD_TRA_NDELAG_HEAL,HUNT (Nord-TrÃ¸ndelag Health Study),http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#studypopulation/POP_0002,Lung cancer cases
http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#biospecimen/cohort/COHORT_JPHC,JPHC (Japan Public Health Center-based Prospective Study on Cancer and Cardiovascular Diseases),http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#studypopulation/POP_0002,Lung cancer cases
http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#biospecimen/cohort/COHORT_KIHD,KIHD (Kuopio Ischaemic Heart Disease Risk Factor),http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#studypopulation/POP_0002,Lung cancer cases
http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#biospecimen/cohort/COHORT_ATBC,"ATBC (Alpha-Tocopherol, Beta-Carotene Cancer Prevention Study)",http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#studypopulation/POP_0003,Lung cancer cases and their controls
http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#biospecimen/cohort/COHORT_CLUE,CLUE,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#studypopulation/POP_0003,Lung cancer cases and their controls
http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#biospecimen/cohort/COHORT_EPIC,EPIC (European Prospective Investigation into Cancer and Nutrition),http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#studypopulation/POP_0003,Lung cancer cases and their controls
http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#biospecimen/cohort/COHORT_FINNISH_MOBILE_CLINIC_SUR,Finnish Mobile Clinic Surveys,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#studypopulation/POP_0003,Lung cancer cases and their controls
http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#biospecimen/cohort/COHORT_JPHC,JPHC (Japan Public Health Center-based Prospective Study on Cancer and Cardiovascular Diseases),http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#studypopulation/POP_0003,Lung cancer cases and their controls
http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#biospecimen/cohort/COHORT_KPNC,Kaiser Permanente Northern California (KPNC),http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#studypopulation/POP_0003,Lung cancer cases and their controls
