class,count
http://semanticscience.org/resource/SIO_000983,7844217
https://w3id.org/LUCIA/sem-lucia#meanrankscore,6886899
http://purl.obolibrary.org/obo/0000006,6886899
http://purl.obolibrary.org/obo/0000218,6886899
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#68741,6886899
https://w3id.org/LUCIA/sem-lucia#cooccurrencescore,6886899
http://purl.org/dc/terms/SIO_000983,6190024
http://semanticscience.org/resource/SIO_000897,2961968
http://purl.obolibrary.org/obo/SO_0001060,1091635
http://purl.obolibrary.org/obo/GENO_0000152,1051675
http://purl.obolibrary.org/obo/GENO_0000476,1035642
http://semanticscience.org/resource/SIO_000792,832288
http://semanticscience.org/resource/SIO_000791,832270
http://semanticscience.org/resource/SIO_000899,807088
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C13355,466871
http://purl.org/dc/terms/SIO_000897,400455
http://www.w3.org/2004/02/skos/core#C13355,400273
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C47902,386001
https://w3id.org/LUCIA/sem-lucia#C13355,276274
http://purl.org/dc/terms/SIO_000791,270335
http://purl.org/dc/terms/SIO_000899,270334
http://purl.org/dc/terms/SIO_000792,270309
http://purl.org/dc/terms/C13355,137979
http://www.w3.org/2004/02/skos/core#SIO_000983,97804
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25338,81414
http://semanticscience.org/resource/SIO_001257,79400
https://w3id.org/LUCIA/sem-lucia#EvidenceIndex,78285
https://w3id.org/LUCIA/sem-lucia#SIO_000897,71598
http://semanticscience.org/resource/C13355,67979
https://w3id.org/LUCIA/sem-lucia#SIO_000899,61077
https://w3id.org/LUCIA/sem-lucia#SIO_000792,61055
https://w3id.org/LUCIA/sem-lucia#SIO_000791,61043
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#SIO_000983,41972
http://www.w3.org/2004/02/skos/core#SIO_000897,30993
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C16612,29843
http://www.w3.org/2004/02/skos/core#SIO_000899,21232
http://www.w3.org/2004/02/skos/core#SIO_000792,21207
http://www.w3.org/2004/02/skos/core#SIO_000791,21198
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17021,19083
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48807,18508
http://semanticscience.org/resource/SIO_000993,18460
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C43568,17645
http://semanticscience.org/resource/SIO_001121,15387
http://semanticscience.org/resource/SIO_001350,15387
http://www.w3.org/2004/02/skos/core#C43568,12335
http://www.w3.org/2004/02/skos/core#C16612,12335
https://w3id.org/LUCIA/sem-lucia#C43568,7472
https://w3id.org/LUCIA/sem-lucia#C16612,7472
http://www.w3.org/TR/vocab-dcat#SO_0001060,5517
http://www.w3.org/TR/vocab-dcat#GENO_0000476,5288
http://www.w3.org/TR/vocab-dcat#GENO_0000152,5240
http://semanticscience.org/resource/SIO_001348,4267
http://purl.org/dc/terms/C43568,4038
http://purl.org/dc/terms/C16612,4038
http://www.w3.org/TR/vocab-dcat#C16612,2627
http://www.w3.org/TR/vocab-dcat#C43568,2627
http://www.bioassayontology.org/bao#C43568,2563
http://www.bioassayontology.org/bao#C16612,2563
http://semanticscience.org/resource/SIO_001352,2132
http://semanticscience.org/resource/SIO_001351,2132
http://semanticscience.org/resource/SIO_001349,1993
http://www.w3.org/TR/vocab-dcat#C47902,1935
http://semanticscience.org/resource/C43568,1823
http://semanticscience.org/resource/C16612,1823
http://www.w3.org/2004/02/skos/core#C47902,1657
http://www.bioassayontology.org/bao#C47902,1619
http://purl.obolibrary.org/obo/C47902,1525
https://w3id.org/LUCIA/sem-lucia#Pathway,1495
http://xmlns.com/foaf/0.1/C47902,637
https://w3id.org/LUCIA/sem-lucia#ChemicalLocationAssociation,542
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C0008848,542
https://w3id.org/LUCIA/sem-lucia#Probability_of_being_loss_of_funtion_intolerant,500
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17258,310
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25464,176
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,170
http://semanticscience.org/resource/SIO_001399,144
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C15639,137
http://vocabularies.wikipathways.org/wp#GeneProduct,133
http://www.openlinksw.com/schemas/virtrdf#QuadMapFormat,130
http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMapFormat,98
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C7057,74
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C95553,66
http://www.w3.org/2000/01/rdf-schema#Class,56
http://purl.org/dc/terms/C47902,50
http://www.w3.org/TR/vocab-dcat#C7057,49
http://www.w3.org/2004/02/skos/core#C7057,48
http://www.bioassayontology.org/bao#C7057,45
http://www.bioassayontology.org/bao#C13355,44
http://xmlns.com/foaf/0.1/C7057,44
http://www.w3.org/TR/vocab-dcat#C13355,44
http://purl.obolibrary.org/obo/C7057,44
http://purl.org/dc/terms/C7057,32
http://purl.obolibrary.org/obo/C43568,29
http://purl.obolibrary.org/obo/C16612,29
http://purl.obolibrary.org/obo/PR_000000001,29
http://snomed.info/id/277267003,26
https://w3id.org/LUCIA/sem-lucia#BiomarkerDiseaseAssociations,25
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C16342,24
http://semanticscience.org/resource/C7057,18
http://purl.obolibrary.org/obo/C13355,18
https://w3id.org/LUCIA/sem-lucia#C7057,18
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C61512,16
http://vocabularies.wikipathways.org/wp#Metabolite,15
http://purl.org/dc/terms/DCMITypeDataset,13
http://www.w3.org/TR/vocab-dcat#Distribution,13
https://w3id.org/LUCIA/sem-lucia#C47902,11
http://semanticscience.org/resource/SIO_001353,10
http://semanticscience.org/resource/C47902,9
http://www.openlinksw.com/schemas/virtrdf#QuadMapColumn,8
http://www.openlinksw.com/schemas/virtrdf#QuadMapValue,8
http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMapColumn,8
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C70699,7
http://xmlns.com/foaf/0.1/C13355,6
http://xmlns.com/foaf/0.1/C16612,6
http://xmlns.com/foaf/0.1/C43568,6
http://purl.obolibrary.org/obo/C43817,5
http://www.w3.org/2002/07/owl#AnnotationProperty,5
http://www.w3.org/TR/vocab-dcat#C43817,5
http://phenomebrowser.net/ontologies/mesh/mesh.owl#D015854,5
http://www.bioassayontology.org/bao#C43817,5
http://xmlns.com/foaf/0.1/C43817,5
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C43817,5
http://www.w3.org/2002/07/owl#OntologyProperty,4
http://semanticscience.org/resource/SIO_001394,4
http://www.w3.org/2002/07/owl#Class,4
http://www.openlinksw.com/schemas/virtrdf#QuadMapFText,4
http://www.w3.org/2004/02/skos/core#C43817,4
http://www.w3.org/2002/07/owl#inverseFunctionalProperty,4
http://www.openlinksw.com/schemas/virtrdf#QuadStorage,3
http://semanticscience.org/resource/SIO_001041,3
http://purl.org/goodrelations/v1#Offering,3
http://purl.org/goodrelations/v1#TypeAndQuantityNode,3
http://purl.org/goodrelations/v1#ProductOrServicesSomeInstancesPlaceholder,3
http://purl.org/dc/terms/C43817,3
https://w3id.org/biolink/vocab/StudyPopulation,3
http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMap,3
http://www.w3.org/2002/07/owl#InverseFunctionalProperty,3
http://snomed.info/id/246514001,2
http://www.w3.org/2001/vcard-rdf/3.0#internet,2
http://www.openlinksw.com/schemas/virtrdf#QuadMap,2
http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMapATable,2
http://www.w3.org/2002/07/owl#Ontology,2
https://w3id.org/LUCIA/sem-lucia#PathwayDiseaseAssociation,2
http://www.w3.org/2001/vcard-rdf/3.0#work,2
http://www.openlinksw.com/schemas/virtrdf#array-of-string,2
http://www.w3.org/2001/vcard-rdf/3.0#voice,2
http://www.openlinksw.com/schemas/virtrdf#QuadMapATable,2
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C13419,1
http://semanticscience.org/resource/C14250,1
http://purl.org/goodrelations/v1#LocationOfSalesOrServiceProvisioning,1
http://www.openlinksw.com/schemas/VSPX#,1
http://www.w3.org/TR/vocab-dcat#C14250,1
http://purl.org/dc/terms/C14250,1
http://semanticscience.org/resource/C43817,1
http://xmlns.com/foaf/0.1/GENO_0000914,1
http://purl.obolibrary.org/obo/GENO_0000914,1
http://purl.org/goodrelations/v1#BusinessEntity,1
http://purl.org/goodrelations/v1#Manufacturer,1
http://www.ebusiness-unibw.org/ontologies/eclass/5.1.4/#C_AKE112003-tax,1
https://w3id.org/LUCIA/sem-lucia#C43817,1
http://www.w3.org/TR/vocab-dcat#GENO_0000914,1
http://www.ebusiness-unibw.org/ontologies/eclass/5.1.4/#C_AKJ315005-tax,1
http://www.ebusiness-unibw.org/ontologies/eclass/5.1.4/#C_AAB316003-tax,1
http://www.bioassayontology.org/bao#C14250,1
https://w3id.org/LUCIA/sem-lucia#C14250,1
http://purl.obolibrary.org/obo/C14250,1
http://purl.org/goodrelations/v1#PriceSpecification,1
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C14250,1
http://purl.org/goodrelations/v1#ProductOrServiceSomeInstancePlaceholder,1
http://www.w3.org/ns/sparql-service-description#Service,1
http://www.w3.org/2004/02/skos/core#C14250,1
http://xmlns.com/foaf/0.1/C14250,1
http://snomed.info/id/260864003,1
http://purl.org/goodrelations/v1#ActualProductOrServicesInstance,1
