count,p
60991820,http://www.w3.org/1999/02/22-rdf-syntax-ns#type
26729645,http://purl.org/dc/terms/SIO_000216
21789589,http://semanticscience.org/resource/SIO_000628
13239192,http://purl.org/dc/terms/SIO_000300
13108917,http://purl.org/dc/terms/SIO_000628
10904613,http://semanticscience.org/resource/SIO_000253
10806002,http://semanticscience.org/resource/SIO_000772
10767729,http://purl.org/dc/terms/identifier
8032113,http://semanticscience.org/resource/SIO_000300
7401336,http://semanticscience.org/resource/SIO_000216
6729995,http://semanticscience.org/resource/identifier
6590479,http://purl.org/dc/terms/SIO_000253
6590479,http://purl.org/dc/terms/SIO_000772
4624044,http://semanticscience.org/resource/SIO_000061
1832768,http://semanticscience.org/resource/SIO_000223
1492457,http://www.w3.org/2004/02/skos/core#exactMatch
1419208,http://purl.org/dc/terms/SIO_000061
1071319,http://www.w3.org/2004/02/skos/core#identifier
1031734,https://w3id.org/LUCIA/sem-lucia#identifier
997311,http://semanticscience.org/resource/SIO_001403
620901,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#R178
537758,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#identifier
531812,http://purl.org/dc/terms/SIO_000223
489020,http://www.w3.org/2004/02/skos/core#SIO_000216
463038,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#consequence
454787,http://www.w3.org/2000/01/rdf-schema#label
453303,https://w3id.org/LUCIA/sem-lucia#consequence
422406,http://purl.org/dc/terms/exactMatch
422153,http://www.w3.org/2004/02/skos/core#R178
409055,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#exactMatch
398054,https://w3id.org/LUCIA/sem-lucia#exactMatch
388607,http://www.w3.org/2000/01/rdf-schema#comment
363737,https://w3id.org/LUCIA/sem-lucia#SIO_000300
350226,http://semanticscience.org/resource/title
349650,http://semanticscience.org/resource/issued
349062,http://semanticscience.org/resource/exactMatch
348531,http://www.w3.org/2004/02/skos/core#consequence
337936,http://www.w3.org/2004/02/skos/core#SIO_000300
308096,https://w3id.org/LUCIA/sem-lucia#SIO_000061
303920,http://purl.org/dc/terms/consequence
288454,https://w3id.org/LUCIA/sem-lucia#R178
281869,http://purl.org/dc/terms/SIO_001403
256313,http://www.w3.org/2004/02/skos/core#SIO_000628
251652,http://purl.org/dc/terms/title
249770,http://purl.org/dc/terms/issued
143196,https://w3id.org/LUCIA/sem-lucia#SIO_000628
142844,http://purl.org/dc/terms/R178
142175,http://www.w3.org/2004/02/skos/core#title
142156,http://www.w3.org/2004/02/skos/core#issued
128797,http://www.w3.org/2004/02/skos/core#SIO_000772
